Category: All categories

Region,energia solar: (3/23/24 - 4/23/24)
State of Roraima,100
State of Mato Grosso,99
State of Rio Grande do Norte,95
State of Mato Grosso do Sul,94
State of Espírito Santo,78
State of Alagoas,76
State of Piauí,75
State of Tocantins,73
State of Acre,73
State of Rondônia,72
State of Pernambuco,69
State of Bahia,67
State of Pará,61
State of Goiás,57
State of Ceará,56
State of Maranhão,54
State of Paraná,54
State of Rio Grande do Sul,54
State of Sergipe,52
State of Paraíba,52
State of Minas Gerais,50
State of Santa Catarina,50
State of São Paulo,43
Federal District,43
State of Amazonas,39
State of Rio de Janeiro,37
State of Amapá,28
