Category: All categories

Week,energia solar: (Brazil)
2019-04-21,40
2019-04-28,47
2019-05-05,50
2019-05-12,49
2019-05-19,54
2019-05-26,51
2019-06-02,47
2019-06-09,45
2019-06-16,42
2019-06-23,53
2019-06-30,47
2019-07-07,42
2019-07-14,39
2019-07-21,43
2019-07-28,50
2019-08-04,54
2019-08-11,57
2019-08-18,55
2019-08-25,61
2019-09-01,54
2019-09-08,67
2019-09-15,64
2019-09-22,62
2019-09-29,57
2019-10-06,51
2019-10-13,72
2019-10-20,72
2019-10-27,69
2019-11-03,76
2019-11-10,61
2019-11-17,64
2019-11-24,56
2019-12-01,48
2019-12-08,40
2019-12-15,36
2019-12-22,37
2019-12-29,43
2020-01-05,65
2020-01-12,52
2020-01-19,46
2020-01-26,42
2020-02-02,44
2020-02-09,44
2020-02-16,43
2020-02-23,40
2020-03-01,44
2020-03-08,44
2020-03-15,32
2020-03-22,27
2020-03-29,31
2020-04-05,28
2020-04-12,30
2020-04-19,36
2020-04-26,35
2020-05-03,38
2020-05-10,41
2020-05-17,43
2020-05-24,45
2020-05-31,47
2020-06-07,39
2020-06-14,43
2020-06-21,44
2020-06-28,43
2020-07-05,42
2020-07-12,41
2020-07-19,48
2020-07-26,50
2020-08-02,44
2020-08-09,45
2020-08-16,47
2020-08-23,45
2020-08-30,48
2020-09-06,45
2020-09-13,50
2020-09-20,51
2020-09-27,50
2020-10-04,54
2020-10-11,46
2020-10-18,46
2020-10-25,47
2020-11-01,47
2020-11-08,46
2020-11-15,51
2020-11-22,54
2020-11-29,55
2020-12-06,47
2020-12-13,44
2020-12-20,36
2020-12-27,33
2021-01-03,44
2021-01-10,51
2021-01-17,45
2021-01-24,44
2021-01-31,44
2021-02-07,47
2021-02-14,45
2021-02-21,48
2021-02-28,47
2021-03-07,48
2021-03-14,51
2021-03-21,50
2021-03-28,47
2021-04-04,55
2021-04-11,57
2021-04-18,55
2021-04-25,54
2021-05-02,50
2021-05-09,57
2021-05-16,57
2021-05-23,61
2021-05-30,60
2021-06-06,60
2021-06-13,66
2021-06-20,73
2021-06-27,68
2021-07-04,69
2021-07-11,57
2021-07-18,52
2021-07-25,53
2021-08-01,53
2021-08-08,57
2021-08-15,71
2021-08-22,100
2021-08-29,96
2021-09-05,77
2021-09-12,80
2021-09-19,89
2021-09-26,79
2021-10-03,75
2021-10-10,66
2021-10-17,69
2021-10-24,69
2021-10-31,65
2021-11-07,78
2021-11-14,72
2021-11-21,72
2021-11-28,65
2021-12-05,61
2021-12-12,52
2021-12-19,44
2021-12-26,45
2022-01-02,64
2022-01-09,69
2022-01-16,71
2022-01-23,70
2022-01-30,66
2022-02-06,67
2022-02-13,71
2022-02-20,67
2022-02-27,65
2022-03-06,74
2022-03-13,79
2022-03-20,74
2022-03-27,76
2022-04-03,75
2022-04-10,66
2022-04-17,65
2022-04-24,64
2022-05-01,74
2022-05-08,71
2022-05-15,74
2022-05-22,73
2022-05-29,68
2022-06-05,67
2022-06-12,63
2022-06-19,72
2022-06-26,66
2022-07-03,61
2022-07-10,59
2022-07-17,58
2022-07-24,64
2022-07-31,66
2022-08-07,67
2022-08-14,68
2022-08-21,70
2022-08-28,65
2022-09-04,60
2022-09-11,70
2022-09-18,68
2022-09-25,72
2022-10-02,54
2022-10-09,58
2022-10-16,75
2022-10-23,75
2022-10-30,65
2022-11-06,70
2022-11-13,67
2022-11-20,63
2022-11-27,70
2022-12-04,59
2022-12-11,65
2022-12-18,52
2022-12-25,51
2023-01-01,72
2023-01-08,59
2023-01-15,57
2023-01-22,55
2023-01-29,54
2023-02-05,63
2023-02-12,63
2023-02-19,53
2023-02-26,64
2023-03-05,67
2023-03-12,69
2023-03-19,69
2023-03-26,79
2023-04-02,61
2023-04-09,59
2023-04-16,56
2023-04-23,59
2023-04-30,58
2023-05-07,62
2023-05-14,62
2023-05-21,63
2023-05-28,69
2023-06-04,60
2023-06-11,61
2023-06-18,60
2023-06-25,55
2023-07-02,51
2023-07-09,52
2023-07-16,50
2023-07-23,52
2023-07-30,57
2023-08-06,56
2023-08-13,62
2023-08-20,62
2023-08-27,60
2023-09-03,52
2023-09-10,62
2023-09-17,66
2023-09-24,69
2023-10-01,63
2023-10-08,55
2023-10-15,67
2023-10-22,68
2023-10-29,61
2023-11-05,72
2023-11-12,79
2023-11-19,76
2023-11-26,65
2023-12-03,64
2023-12-10,62
2023-12-17,57
2023-12-24,53
2023-12-31,51
2024-01-07,63
2024-01-14,67
2024-01-21,66
2024-01-28,59
2024-02-04,57
2024-02-11,59
2024-02-18,63
2024-02-25,66
2024-03-03,68
2024-03-10,71
2024-03-17,77
2024-03-24,65
2024-03-31,68
2024-04-07,62
2024-04-14,63
2024-04-21,58
