Category: All categories

Region,energia solar: (1/1/04 - 4/23/24)
State of Mato Grosso,100
State of Tocantins,95
State of Piauí,90
State of Mato Grosso do Sul,82
State of Rondônia,73
State of Rio Grande do Norte,73
State of Maranhão,70
State of Pará,69
State of Roraima,68
State of Espírito Santo,67
State of Goiás,67
State of Ceará,65
State of Pernambuco,65
State of Amapá,65
State of Minas Gerais,64
State of Bahia,63
State of Alagoas,62
State of Rio Grande do Sul,61
State of Acre,60
State of Paraíba,59
State of Amazonas,55
State of Santa Catarina,54
State of Sergipe,53
State of Paraná,52
Federal District,51
State of São Paulo,49
State of Rio de Janeiro,45
