rank,titulo,autores,autores_lista,data,data_completa,link,resumo,categorias,categorias_lista,arxiv_id,doi,comment,journal_ref,primary_category,termo
1,"ABAC Lab: An Interactive Platform for Attribute-based Access Control Policy Analysis, Tools, and Datasets","Thang Bui, Anthony Matricia, Emily Contreras, Ryan Mauvais, Luis Medina, Israel Serrano","['Thang Bui', 'Anthony Matricia', 'Emily Contreras', 'Ryan Mauvais', 'Luis Medina', 'Israel Serrano']",2025-05-13,2025-05-13T03:53:19Z,https://arxiv.org/abs/2505.08209v1,"Attribute-Based Access Control (ABAC) provides expressiveness and flexibility, making it a compelling model for enforcing fine-grained access control policies. To facilitate the transition to ABAC, extensive research has been conducted to develop methodologies, frameworks, and tools that assist policy administrators in adapting the model. Despite these efforts, challenges remain in the availability and benchmarking of ABAC datasets. Specifically, there is a lack of clarity on how datasets can be systematically acquired, no standardized benchmarking practices to evaluate existing methodologies and their effectiveness, and limited access to real-world datasets suitable for policy analysis and testing.
  This paper introduces ABAC Lab, an interactive platform that addresses these challenges by integrating existing ABAC policy datasets with analytical tools for policy evaluation. Additionally, we present two new ABAC datasets derived from real-world case studies. ABAC Lab serves as a valuable resource for both researchers studying ABAC policies and policy administrators seeking to adopt ABAC within their organizations. By offering an environment for dataset exploration and policy analysis, ABAC Lab facilitates research, aids policy administrators in transitioning to ABAC, and promotes a more structured approach to ABAC policy evaluation and development.",cs.CR,['cs.CR'],2505.08209v1,,,,cs.CR,abacate
2,Adaptive ABAC Policy Learning: A Reinforcement Learning Approach,"Leila Karimi, Mai Abdelhakim, James Joshi","['Leila Karimi', 'Mai Abdelhakim', 'James Joshi']",2021-05-18,2021-05-18T15:18:02Z,https://arxiv.org/abs/2105.08587v1,"With rapid advances in computing systems, there is an increasing demand for more effective and efficient access control (AC) approaches. Recently, Attribute Based Access Control (ABAC) approaches have been shown to be promising in fulfilling the AC needs of such emerging complex computing environments. An ABAC model grants access to a requester based on attributes of entities in a system and an authorization policy; however, its generality and flexibility come with a higher cost. Further, increasing complexities of organizational systems and the need for federated accesses to their resources make the task of AC enforcement and management much more challenging. In this paper, we propose an adaptive ABAC policy learning approach to automate the authorization management task. We model ABAC policy learning as a reinforcement learning problem. In particular, we propose a contextual bandit system, in which an authorization engine adapts an ABAC model through a feedback control loop; it relies on interacting with users/administrators of the system to receive their feedback that assists the model in making authorization decisions. We propose four methods for initializing the learning model and a planning approach based on attribute value hierarchy to accelerate the learning process. We focus on developing an adaptive ABAC policy learning model for a home IoT environment as a running example. We evaluate our proposed approach over real and synthetic data. We consider both complete and sparse datasets in our evaluations. Our experimental results show that the proposed approach achieves performance that is comparable to ones based on supervised learning in many scenarios and even outperforms them in several situations.","cs.LG, cs.AI, cs.CR","['cs.LG', 'cs.AI', 'cs.CR']",2105.08587v1,,,,cs.LG,abacate
3,Towards Harnessing the Power of LLMs for ABAC Policy Mining,"More Aayush Babasaheb, Shamik Sural","['More Aayush Babasaheb', 'Shamik Sural']",2025-11-22,2025-11-22T15:49:36Z,https://arxiv.org/abs/2511.18098v1,"This paper presents an empirical investigation into the capabilities of Large Language Models (LLMs) to perform automated Attribute-based Access Control (ABAC) policy mining. While ABAC provides fine-grained, context-aware access management, the increasing number and complexity of access policies can make their formulation and evaluation rather challenging. To address the task of synthesizing concise yet accurate policies, we evaluate the performance of some of the state-of-the-art LLMs, specifically Google Gemini (Flash and Pro) and OpenAI ChatGPT, as potential policy mining engines. An experimental framework was developed in Python to generate randomized access data parameterized by varying numbers of subjects, objects, and initial policy sets. The baseline policy sets, which govern permission decisions between subjects and objects, serve as the ground truth for comparison. Each LLM-generated policy was evaluated against the baseline policy using standard performance metrics. The results indicate that LLMs can effectively infer compact and valid ABAC policies for small-scale scenarios. However, as the system size increases, characterized by higher numbers of subjects and objects, LLM outputs exhibit declining accuracy and precision, coupled with significant increase in the size of policy generated, which is beyond the optimal size. These findings highlight both the promise and limitations of current LLM architectures for scalable policy mining in access control domains. Future work will explore hybrid approaches that combine prompt optimization with classical rule mining algorithms to improve scalability and interpretability in complex ABAC environments.","cs.CR, cs.LG","['cs.CR', 'cs.LG']",2511.18098v1,,,,cs.CR,abacate
4,Reachability Analysis for Attributes in ABAC with Group Hierarchy,"Maanak Gupta, Ravi Sandhu","['Maanak Gupta', 'Ravi Sandhu']",2021-01-11,2021-01-11T07:47:40Z,https://arxiv.org/abs/2101.03736v1,"Attribute-based access control (ABAC) models are widely used to provide fine-grained and adaptable authorization based on the attributes of users, resources, and other relevant entities. Hierarchial group and attribute based access control (HGABAC) model was recently proposed which introduces the novel notion of attribute inheritance through group membership. GURAG was subsequently proposed to provide an administrative model for user attributes in HGABAC, building upon the ARBAC97 and GURA administrative models. The GURA model uses administrative roles to manage user attributes. The reachability problem for the GURA model is to determine what attributes a particular user can acquire, given a predefined set of administrative rules. This problem has been previously analyzed in the literature. In this paper, we study the user attribute reachability problem based on directly assigned attributes of the user and attributes inherited via group memberships. We first define a restricted form of GURAG, called rGURAG scheme, as a state transition system with multiple instances having different preconditions and provide reachability analysis for each of these schemes. In general, we show PSPACE-complete complexity for all rGURAG schemes. We further present polynomial time algorithms to solve special instances of rGURAG schemes under restricted conditions.",cs.CR,['cs.CR'],2101.03736v1,,,,cs.CR,abacate
5,"Stacking disorder in novel ABAC-stacked brochantite, Cu$_4$SO$_4$(OH)$_6$","Aswathi Mannathanath Chakkingal, Chloe Fuller, Maxim Avdeev, Roman Gumeniuk, Kaushick K. Parui, Marein C. Rahn, Falk Pabst, Yiran Wang, Sergey Granovsky, Artem Korshunov, Dmitry Chernyshov, Dmytro S. Inosov, Darren C. Peets","['Aswathi Mannathanath Chakkingal', 'Chloe Fuller', 'Maxim Avdeev', 'Roman Gumeniuk', 'Kaushick K. Parui', 'Marein C. Rahn', 'Falk Pabst', 'Yiran Wang', 'Sergey Granovsky', 'Artem Korshunov', 'Dmitry Chernyshov', 'Dmytro S. Inosov', 'Darren C. Peets']",2025-01-16,2025-01-16T16:51:34Z,https://arxiv.org/abs/2501.09654v2,"In geometrically frustrated magnetic systems, weak interactions or slight changes to the structure can tip the delicate balance of exchange interactions, sending the system into a different ground state. Brochantite, Cu$_4$SO$_4$(OH)$_6$, has a copper sublattice composed of distorted triangles, making it a likely host for frustrated magnetism, but exhibits stacking disorder. The lack of synthetic single crystals has limited research on the magnetism in brochantite to powders and natural mineral crystals. We grew crystals which we find to be a new polytype with a tendency toward ABAC stacking and some anion disorder, alongside the expected stacking disorder. Comparison to previous results on natural mineral specimens suggests that cation disorder is more deleterious to the magnetism than anion and stacking disorder. Our specific heat data suggest a double transition on cooling into the magnetically ordered state.","cond-mat.str-el, cond-mat.mtrl-sci","['cond-mat.str-el', 'cond-mat.mtrl-sci']",2501.09654v2,10.1103/PhysRevMaterials.9.054407,"10+$ε$ pages, CIF files available as arXiv ancillary files","Phys. Rev. Mater. 9, 054407 (2025)",cond-mat.str-el,abacate
6,TDACS: an ABAC and Trust-based Dynamic Access Control Scheme in Hadoop,Min Yang,['Min Yang'],2020-11-16,2020-11-16T12:08:38Z,https://arxiv.org/abs/2011.07895v1,"The era of big data has promoted the vigorous development of many industries, boosting the full potential of holistic data-driven analysis. Hadoop has become the primary choice for mainstream platforms used by stakeholders to process big data. Thereafter, the security of Hadoop platform has arisen tremendous attention worldwide. In this paper, we mainly concentrate on enforcing access control on users to ensure platform security. First, we leverage access proxy integrated with attribute-based access control (ABAC) model to implement front-end authorization, which can fully reflect and cope with the flexible nature of the complex access control process in Hadoop platform, as well as can release back-end resources from complex authorization process through access proxy. Moreover, in order to ensure the fine-granularity of authorization, the access proxy maintains a list composed of trust threshold value provided by each resource according to its importance. The access proxy interacts with the blockchain network to obtain the user's trust evaluation value, which serves as an important basis for dynamic authorization determination. More specifically, blockchain network works together on-chain and off-chain modes. The user's historical behavior data is stored off-chain, and the corresponding hash value is anchored on-chain. Consequently, the user's trust value is evaluated based on his historical behavior stored on the blockchain platform. Meanwhile, the authenticity of user behavior data can be guaranteed, thereby ensuring the reliability of trust assessment results. Our experiment demonstrates that the proposed model can dynamically and flexibly adjust user permissions to ensure the security of the platform, while time and money are consumed within a reasonable range.",cs.CR,['cs.CR'],2011.07895v1,,,,cs.CR,abacate
7,Mining Attribute-Based Access Control Policies from Logs,"Zhongyuan Xu, Scott D. Stoller","['Zhongyuan Xu', 'Scott D. Stoller']",2014-03-23,2014-03-23T03:09:28Z,https://arxiv.org/abs/1403.5715v5,"Attribute-based access control (ABAC) provides a high level of flexibility that promotes security and information sharing. ABAC policy mining algorithms have potential to significantly reduce the cost of migration to ABAC, by partially automating the development of an ABAC policy from information about the existing access-control policy and attribute data. This paper presents an algorithm for mining ABAC policies from operation logs and attribute data. To the best of our knowledge, it is the first algorithm for this problem.","cs.CR, cs.DB","['cs.CR', 'cs.DB']",1403.5715v5,,arXiv admin note: substantial text overlap with arXiv:1306.2401,,cs.CR,abacate
8,Mining Attribute-based Access Control Policies,"Zhongyuan Xu, Scott D. Stoller","['Zhongyuan Xu', 'Scott D. Stoller']",2013-06-11,2013-06-11T02:00:07Z,https://arxiv.org/abs/1306.2401v4,"Attribute-based access control (ABAC) provides a high level of flexibility that promotes security and information sharing. ABAC policy mining algorithms have potential to significantly reduce the cost of migration to ABAC, by partially automating the development of an ABAC policy from an access control list (ACL) policy or role-based access control (RBAC) policy with accompanying attribute data. This paper presents an ABAC policy mining algorithm. To the best of our knowledge, it is the first ABAC policy mining algorithm. Our algorithm iterates over tuples in the given user-permission relation, uses selected tuples as seeds for constructing candidate rules, and attempts to generalize each candidate rule to cover additional tuples in the user-permission relation by replacing conjuncts in attribute expressions with constraints. Our algorithm attempts to improve the policy by merging and simplifying candidate rules, and then it selects the highest-quality candidate rules for inclusion in the generated policy.",cs.CR,['cs.CR'],1306.2401v4,,,,cs.CR,abacate
9,An Approach for Handling Missing Attribute Values in Attribute-Based Access Control Policy Mining,"Thang Bui, Elliot Shabram, Anthony Matricia","['Thang Bui', 'Elliot Shabram', 'Anthony Matricia']",2025-05-03,2025-05-03T17:34:46Z,https://arxiv.org/abs/2505.01873v1,"Attribute-Based Access Control (ABAC) enables highly expressive and flexible access decisions by considering a wide range of contextual attributes. ABAC policies use logical expressions that combine these attributes, allowing for precise and context-aware control. Algorithms that mine ABAC policies from legacy access control systems can significantly reduce the costs associated with migrating to ABAC. However, a major challenge in this process is handling incomplete entity information, where some attribute values are missing.
  This paper introduces an approach that enhances the policy mining process by predicting or inferring missing attribute values. This is accomplished by employing a contextual clustering technique that groups entities according to their known attributes, which are then used to analyze and refine authorization decisions. By effectively managing incomplete data, our approach provides security administrators with a valuable tool to improve their attribute data and ensure a smoother, more efficient transition to ABAC.",cs.CR,['cs.CR'],2505.01873v1,,,,cs.CR,abacate
10,PAMMELA: Policy Administration Methodology using Machine Learning,"Varun Gumma, Barsha Mitra, Soumyadeep Dey, Pratik Shashikantbhai Patel, Sourabh Suman, Saptarshi Das","['Varun Gumma', 'Barsha Mitra', 'Soumyadeep Dey', 'Pratik Shashikantbhai Patel', 'Sourabh Suman', 'Saptarshi Das']",2021-11-13,2021-11-13T07:05:22Z,https://arxiv.org/abs/2111.07060v1,"In recent years, Attribute-Based Access Control (ABAC) has become quite popular and effective for enforcing access control in dynamic and collaborative environments. Implementation of ABAC requires the creation of a set of attribute-based rules which cumulatively form a policy. Designing an ABAC policy ab initio demands a substantial amount of effort from the system administrator. Moreover, organizational changes may necessitate the inclusion of new rules in an already deployed policy. In such a case, re-mining the entire ABAC policy will require a considerable amount of time and administrative effort. Instead, it is better to incrementally augment the policy. Keeping these aspects of reducing administrative overhead in mind, in this paper, we propose PAMMELA, a Policy Administration Methodology using Machine Learning to help system administrators in creating new ABAC policies as well as augmenting existing ones. PAMMELA can generate a new policy for an organization by learning the rules of a policy currently enforced in a similar organization. For policy augmentation, PAMMELA can infer new rules based on the knowledge gathered from the existing rules. Experimental results show that our proposed approach provides a reasonably good performance in terms of the various machine learning evaluation metrics as well as execution time.","cs.CR, cs.LG","['cs.CR', 'cs.LG']",2111.07060v1,,This work is under progress,,cs.CR,abacate
