rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,termo
1,AbacatePay/abacatepay-nodejs-sdk,https://github.com/AbacatePay/abacatepay-nodejs-sdk,AbacatePay NodeJS SDK for you to start receiving payments in seconds,78,78,19,TypeScript,2024-11-30T19:05:08Z,2025-12-09T15:52:20Z,2025-11-24T06:22:07Z,227,MIT License,,27,main,False,False,False,False,AbacatePay,Organization,abacate
2,AbacatePay/abacate-chat,https://github.com/AbacatePay/abacate-chat,,46,46,15,TypeScript,2025-06-13T17:23:24Z,2025-12-09T15:52:21Z,2025-12-07T01:14:25Z,738,MIT License,,8,main,False,False,False,False,AbacatePay,Organization,abacate
3,AbacatePay/abacatepay-python-sdk,https://github.com/AbacatePay/abacatepay-python-sdk,AbacatePay Python SDK for you to start receiving payments in seconds,26,26,14,Python,2024-12-03T00:36:28Z,2025-12-02T02:29:00Z,2025-09-09T21:46:19Z,1010,,,4,main,False,False,False,False,AbacatePay,Organization,abacate
4,AbacatePay/abacatepay-cli,https://github.com/AbacatePay/abacatepay-cli,AbacatePay CLI for you to run your webhooks locally,26,26,4,,2024-11-18T12:36:37Z,2025-08-21T16:08:56Z,2025-02-27T13:28:04Z,10,MIT License,,2,main,False,False,False,False,AbacatePay,Organization,abacate
5,AbacatePay/abacatepay-java-sdk,https://github.com/AbacatePay/abacatepay-java-sdk,AbacatePay Java SDK for you to start receiving payments in seconds,25,25,8,Java,2024-12-05T17:09:14Z,2025-12-05T17:01:29Z,2025-02-11T20:06:12Z,26,MIT License,,5,main,False,False,False,False,AbacatePay,Organization,abacate
6,AbacatePay/abacatepay-php-sdk,https://github.com/AbacatePay/abacatepay-php-sdk,AbacatePay PHP SDK for you to start receiving payments in seconds,19,19,7,PHP,2024-12-03T14:59:52Z,2025-10-30T01:56:17Z,2025-10-28T23:28:16Z,66,MIT License,,2,main,False,False,False,False,AbacatePay,Organization,abacate
7,AbacatePay/abacatepay-go-sdk,https://github.com/AbacatePay/abacatepay-go-sdk,AbacatePay #Golang SDK for you to start receiving payments in seconds,14,14,6,Go,2024-12-01T19:51:49Z,2025-10-01T18:04:39Z,2024-12-14T15:00:32Z,18,,,6,main,False,False,False,False,AbacatePay,Organization,abacate
8,AbacatePay/abacatepay-rust-sdk,https://github.com/AbacatePay/abacatepay-rust-sdk,AbacatePay Rust SDK for you to start receiving payments in seconds,12,12,1,,2024-12-05T17:13:01Z,2025-11-17T12:41:34Z,2024-12-01T15:31:01Z,35,,,0,main,False,False,False,False,AbacatePay,Organization,abacate
9,basementdevs/abacatepay-php-sdk,https://github.com/basementdevs/abacatepay-php-sdk,SDK para o provedor de pagamentos AbacatePay,10,10,0,PHP,2025-10-27T16:50:20Z,2025-12-08T12:07:27Z,2025-10-31T10:32:02Z,147,MIT License,"abacatepay, payment-provider, php, sdk",1,1.x,False,False,False,False,basementdevs,Organization,abacate
10,m1guer/abacatepay-rust-sdk,https://github.com/m1guer/abacatepay-rust-sdk,Official Rust SDK for AbacatePay API,9,9,1,Rust,2024-12-01T00:10:17Z,2025-05-25T16:28:18Z,2025-05-27T21:28:01Z,116,,"gateway-api, payment",0,main,False,False,False,False,m1guer,User,abacate
