engine,rank,title,link,snippet,age,language,regiao,termo
brave,1,"Abacate – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Abacate,"O abacate, também conhecido como pera-abacate, <strong>é o fruto comestível do abacateiro (nome científico: Persea americana), uma árvore da família da Lauraceae nativa do México e da América do Sul</strong>, hoje extensamente cultivada em regiões tropicais e subtropicais, inclusive nas Ilhas Canárias, ...",1 week ago,pt,br,abacate
brave,2,11 benefícios do abacate para a saúde (com receitas) - Tua Saúde,https://www.tuasaude.com/beneficios-do-abacate/,"O <strong>abacate</strong> é uma fruta que possui diversos benefícios para saúde como melhorar a memória, hidratar a pele e os cabelos, e prevenir doenças cardíacas. Conheça outros benefícios do <strong>abacate</strong> e confira algumas receitas","October 28, 2025",pt,br,abacate
brave,3,O Abacate | Abacates do Brasil,https://abacatesdobrasil.org.br/abacates-do-brasil/,"Sou o menor da família dos <strong>abacate</strong>s! Mas ser pequeno traz suas vantagens: minha polpa é super concentrada com vitaminas, antioxidantes e sais minerais. O segredo é que, dentro da minha casca verde escura, carrego menos água e mais óleos essenciais. Isso também me garante uma textura mais ...",,pt,br,abacate
brave,4,Os efeitos que o abacate tem no corpo e quem não deve comê-lo,https://www.correiobraziliense.com.br/cbradar/os-efeitos-que-o-abacate-tem-no-corpo-e-quem-nao-deve-come-lo/,"O abacate, também conhecida como aguacate ou palta, <strong>é um fruto originário da América Central</strong> que conquistou o mundo por seu sabor único, valor nutricional e versatilidade em receitas do cotidiano e da alta gastronomia, como a famosa ‘avocado ...","October 22, 2025",pt,br,abacate
brave,5,"William Arias, especialista médico em nutrição: ""Comer abacate diariamente melhora significativamente os níveis de colesterol, além de fornecer fibras, potássio, magnésio e antioxidantes.""","https://www.terra.com.br/vida-e-estilo/degusta/william-arias-especialista-medico-em-nutricao-comer-abacate-diariamente-melhora-significativamente-os-niveis-de-colesterol-alem-de-fornecer-fibras-potassio-magnesio-e-antioxidantes,8370156ef5b396d096d8b43b03084cf0kl7p68a8.html","&quot;Comer apenas um <strong>abacate</strong> por dia melhora significativamente a ingestão de gorduras boas, fibras, potássio, magnésio e antioxidantes&quot;, afirma o Dr.",1 week ago,pt,br,abacate
brave,6,Abacate - Zaffari,https://www.zaffari.com.br/abacate-1001916/p,"<strong>Abacate</strong>, vendido por unidade ou por peso. Com casca de coloração verde característica, possui grande caroço em seu interior, tendo sua polpa uma textura ligeiramente cremosa, quando maduro.",,pt,br,abacate
brave,7,"Conhecida como a fruta da longevidade, ela possui mais potássio do que uma banana",https://catracalivre.com.br/saude-bem-estar/conhecida-como-a-fruta-da-longevidade-ela-possui-mais-potassio-do-que-uma-banana/,"O <strong>abacate</strong> recebe esse título devido à variedade de nutrientes essenciais em sua polpa e à sua alta concentração de potássio, com mais de 600 mg a cada 100 g, enquanto a banana apresenta cerca de 390 mg.",2 weeks ago,pt,br,abacate
brave,8,O truque genial para manter os abacates frescos por meses e não ficarem marrons - Minha Vida,https://www.minhavida.com.br/materias/materia-27045,"O <strong>abacate</strong> contém até dez tipos diferentes de vitaminas, entre as quais se destaca a vitamina E, ácido fólico e glutationa, que possuem propriedades relacionadas à prevenção de doenças cardiovasculares e degenerativas do organismo.",1 month ago,pt,br,abacate
brave,9,Abacate Granel 900g (1 Unid) | Pão de Açúcar,https://www.paodeacucar.com/produto/99040/abacate-granel-900g-(1-unid),Procurando Abacate Granel 900g (1 Unid)? Encontre aqui no Pão de Açúcar!,,pt,br,abacate
brave,10,Abacate KG | Supermercados Pague Menos,https://www.superpaguemenos.com.br/abacate-kg/p,"Pode ajudar a reduzir o risco de doenças crônicas: Devido aos seus nutrientes e propriedades antioxidantes, o consumo de <strong>abacate</strong> pode ajudar a reduzir o risco de doenças crônicas, como doenças cardíacas e diabetes tipo 2.",,pt,br,abacate
