rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,regiao,idioma,termo
1,Veja os benefícios do abacate para a saúde,https://www.youtube.com/watch?v=R23jsSIkqVI,R23jsSIkqVI,Metrópoles,UC9mdw2mmn49ZuqGOpSri7Fw,2022-09-21T20:34:53Z,"Você gosta de #abacate? O fruto é considerado um superalimento, rico em muitos nutrientes como vitaminas, minerais, fibras e ...",41206,1675,0,15,0,PT27S,hd,false,"notícias, jornal, portal, metrópoles, Brasil, DF, notícias do DF, notícias do Brasil, ao vivo, live",25,br,pt,abacate
2,3 TIPOS DE ABACATES E SEUS BENEFÍCIOS - AVOCADO - GEADA - FORTUNA -  Dr Alain Dutra #abacate #shorts,https://www.youtube.com/watch?v=w5h0TgO-GNo,w5h0TgO-GNo,Dr. Alain Dutra,UCRLKi_9gQNthwlKi70qi54g,2023-08-05T13:45:03Z,3 TIPOS DE ABACATES E SEUS BENEFÍCIOS - AVOCADO - GEADA - FORTUNA - Dr Alain Dutra #abacate #shorts #saude O ...,8559,945,0,8,0,PT56S,hd,false,"alain dutra, dr alain dutra, dr alain dutra youtube, alimentação saudável, como, como tratar, medicina natural, cura natural, tratamento natural, vinagre de maçã",27,br,pt,abacate
3,ERRO AO COMER ABACATE - Não Faça Mais Isso!,https://www.youtube.com/watch?v=spnk6Rbbv6k,spnk6Rbbv6k,Nutricionista Patricia Leite,UCJCIbrvEJyRJnHGvh7z0-bQ,2024-06-26T00:30:32Z,"Clique no link dentro do vídeo, na parte inferior da tela, para ver 8 erros ao comer abacate ou busque por “Patricia Leite Erros ...",1808667,140965,0,969,0,PT42S,hd,false,"benefícios do abacate, abacate como comer, abacate engorda, abacate beneficios, abacate na dieta, benefícios de comer abacate, propriedades do abacate, abacate para diabético, abacate emagrece, abacate engorda ou emagrece",22,br,pt,abacate
4,ABACATE: Os benefícios incríveis para a saúde,https://www.youtube.com/watch?v=rjjIazIb3Bk,rjjIazIb3Bk, Dr. Christian Aguiar - Contra a Corrente ,UCcCq86XXw41aU4M9GS_9kdw,2024-04-04T23:30:15Z,Entre no canal que desafia o senso comum Suplementos • saúde • longevidade • IA prática ...,60230,3729,0,32,0,PT29S,hd,false,"ortomolecular, saúde, medicina funcional, medicina integrativa, abacate, abacate é bom para a saude, abacate faz bem",28,br,pt,abacate
5,Abacate baixa o colesterol? #endocrinologia #abacate #colesterol,https://www.youtube.com/watch?v=d0OIbtqYsfM,d0OIbtqYsfM,Dr. Mateus - Endocrinologista,UClziQMjiP6WpqvlNvpVckNA,2025-08-30T02:01:06Z,"O abacate é fonte de gorduras boas, fibras e fitoesteróis. Quando é consumido no lugar de fontes menos saudáveis se gordura, ...",4921,133,0,2,0,PT1M14S,hd,false,"Benefícios da abacate, Abacate baixa o colesterol, Valor nutricional do abacate, Alimentos que baixam o colesterol, Endocrinologia, Mateus Dornelles Severo",28,br,pt,abacate
6,🚨 A FRAUDE do ABACATE! TRISTE SEGREDO - MÉDICO faz ALERTA urgente!,https://www.youtube.com/watch?v=TqYKUZAP8rw,TqYKUZAP8rw,Dr. Fernando Lemos - Planeta Intestino,UChXNyp6dL_aY_3qwVgDd-EQ,2025-12-10T20:00:26Z,Abaixo link de votação do iBest: linkhttps://premioibest.vote/422592714 SOBRE ESSE VÍDEO Você vai ficar chocado com o ...,13820,2428,0,136,0,PT13M42S,hd,false,"abacate, fraude do abacate, mito do abacate, abacate faz mal, verdade sobre o abacate, calorias do abacate, como consumir abacate, informações sobre abacate, gordura saudável, tipos de abacate",22,br,pt,abacate
7,Dr. Tiago Rocha -  ABACATE A FRUTA MAIS POTENTE E MAIS PODEROSA DO MUNDO,https://www.youtube.com/watch?v=Ifib1ysRuAE,Ifib1ysRuAE,Palestrante Tiago Rocha,UCfMqB9cB9RfC1r2CMPnYDNw,2025-05-15T23:30:05Z,Drtiagorocha #palestrantetiagorocha #produtosnaturaistiagorocha LINK DO LIVRO: ...,13919,2205,0,63,0,PT4M10S,hd,false,"Tiago Rocha, Palestrante Tiago Rocha, Livro Curas extraordinárias",22,br,pt,abacate
8,Por que o ABACATE é tão MARAVILHOSO?,https://www.youtube.com/watch?v=VOwcRmU27a0,VOwcRmU27a0, Dr. Christian Aguiar - Contra a Corrente ,UCcCq86XXw41aU4M9GS_9kdw,2024-11-05T01:00:29Z,Entre no canal que desafia o senso comum Suplementos • saúde • longevidade • IA prática ...,17501,2888,0,32,0,PT1M,hd,false,"ortomolecular, saúde, medicina funcional, medicina integrativa",28,br,pt,abacate
9,"O que vai acontecer com seu corpo, se você comer abacate, todos os dias ?",https://www.youtube.com/watch?v=Q2TR2RgElIY,Q2TR2RgElIY,Dayan Siebra,UClN6OLbLp1YjTSwDOkEM2dA,2025-04-05T15:21:52Z,Quer saber como combater as principais doenças? Viver sem remédios? O Dr. Dayan tem um recado especial para você: ...,1075129,45163,0,791,0,PT2M51S,hd,false,,24,br,pt,abacate
10,BENÉFICOS CONSUMIR ABACATE A NOITE @renatocariani #cortescariani #cortesoficialfarma #abacate #gym,https://www.youtube.com/watch?v=lT3GSY3NW2o,lT3GSY3NW2o,Made in Cariani,UCR2lqeFru1o8ZLS6IAQK3pQ,2024-12-08T14:11:58Z,BENÉFICOS CONSUMIR ABACATE A NOITE #cortescariani #cortesoficialfarma #abacate #gym.,37009,1506,0,21,0,PT50S,hd,false,"BENÉFICOS CONSUMIR ABACATE A NOITE ​⁠ #cortescariani #cortesoficialfarma #abacate #gym, Renato Cariani, @renatocariani, renato cariani, #cortescariani, #cortesoficialfarma, dicas de dieta, cariri, cariane, cortes renato cariani",22,br,pt,abacate
