rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
1,"Daugiamečių pievų stebėsena, taikant sintetinės apertūros radaro (SAR) koherencijos ir intensyvumo bangų kompoziciją","Gustė Metrikaitytė-Gudelė, J. Sužiedelytė-Visockienė","['Gustė Metrikaitytė-Gudelė', 'J. Sužiedelytė-Visockienė']",2024,https://www.semanticscholar.org/paper/7d554dab5fd1c65e78fe5b9f2b034b99c5aed527,"Straipsnyje pateiktas tyrimas, kuriam naudojami sintetinės Apertūros radaro (SAR) palydovinių vaizdų duomenys. Taikant koherencijos ir intensyvumo bangų kompozicijas atikta daugiamečių pievų stebėsena. Penkerių metų periodo analizė, remiantis kasmetinėmis SAR vaizdų kompozicijomis, leido įvertinti šio metodo tinkamumą. Gautas rezultatas su išskirtinai aukštais tikslumo rodikliais – tikslumas siekia 95,8 %, daugiamečių pievų identifikavimo su kontroliniais duomenimis atitikimas – 97,1 %, o gauta svertinio tikslumo vidurkio F1 vertė – 96,5 %. Aukšti tikslumo rodikliai patvirtina, kad SAR palydoviniai vaizdai yra itin patikimi duomenys ir gali būti efektyviai naudojami nuosekliai (periodinei) daugiamečių pievų stebėsenai vykdyti.",0,2,27-osios jaunųjų mokslininkų konferencijos „Mokslas – Lietuvos ateitis“ teminės konferencijos DARNI APLINKA straipsnių rinkinys,None,None,2024-06-14,27-osios jaunųjų mokslininkų konferencijos „Mokslas – Lietuvos ateitis“ teminės konferencijos DARNI APLINKA straipsnių rinkinys,7d554dab5fd1c65e78fe5b9f2b034b99c5aed527,"{""DOI"": ""10.3846/da.2024.013"", ""CorpusId"": 270530961}",True,https://etalpykla.vilniustech.lt/bitstream/123456789/154466/1/13_Metrikaityte_27%20JMK%202024_DA.pdf,bangu,1
2,Calçadão de Bangu: urban models and ways of life,Marcelo de Medeiros Reis Filho,['Marcelo de Medeiros Reis Filho'],2024,https://www.semanticscholar.org/paper/99685ef6ed9896b37aeca23bcb3f9e600fc02dec,"O Calçadão de Bangu, inaugurado em 1992, pode ser visto como a fundação de um novo modelo para o bairro da Zona Oeste carioca. A partir de uma via exclusiva para pedestres, a Prefeitura do Rio de Janeiro reformulou uma rua que estava envolta por galerias comerciais, a estação ferroviária e a Fábrica de Tecidos Bangu. Passados cerca de trinta anos, o Calçadão passou por reformas, disputas e mantém o seu caráter central na região de Bangu, sendo tomado por camelôs, pedestres, mototáxis e lojistas de diversos ramos. Tendo em mente este objeto, debato o modelo de calçadão enquanto cenário de concepções de cidades e de modos de criar o cotidiano. Concluo que o modelo de calçadão visa ordenar as experiências no espaço público e delimitá-las dentro do plano urbano executado, enquanto os viventes destes espaços recriam e invertem o planejamento das cidades ao ocupar, transitar e comercializar.",0,0,Em Tese,None,JournalArticle,2024-03-11,Em Tese,99685ef6ed9896b37aeca23bcb3f9e600fc02dec,"{""DOI"": ""10.5007/1806-5023.2023.e96731"", ""CorpusId"": 268474534}",True,https://periodicos.ufsc.br/index.php/emtese/article/download/96731/55504,bangu,1
3,Challenges of implementing a land cadastre in Rio de Janeiro: the Bangu case study,"L. Barbalho, Fernando Rodrigues Lima, L. C. T. Coelho Filho","['L. Barbalho', 'Fernando Rodrigues Lima', 'L. C. T. Coelho Filho']",2023,https://www.semanticscholar.org/paper/5ae1c48bb1a0a47f8e58a54c298d8cad0b79a812,"The urban environment of Rio de Janeiro has its own complexities when compared with other large cities in Brazil and around the world. In addition to its peculiar topographic structure, the history of the city – from its foundation to the present day – has led to unique and contradictory characteristics. A multipurpose land cadastre (MLC, in Portuguese: Cadastro Técnico Multifinalitário), since its inception in Brazil, promises to adapt urban environments to a new reality, facilitating the management of their entire territories by using tools such as geographic information systems. This study intends to identify and analyse the main issues that prevent Rio de Janeiro from establishing an effective MLC, most notably the existence of a variety of land-use bases with legal value, but which are contradictory if examined cartographically. This study was carried out by examining a subset of Rio de Janeiro: the Bangu neighbourhood. Bangu was chosen for being a considerably complex neighbourhood, with a variety of land uses that reflects the urban fabric of Rio de Janeiro as a whole. The analysis not only points out inconsistencies in current cadastral bases, but also suggests tasks and policies to help overcome them and provide the city with appropriate cadastral bases that reflect the reality of its urban soil.",0,1,Proceedings of the Institution of Civil Engineers - Municipal Engineer,None,JournalArticle,2023-07-03,Proceedings of the Institution of Civil Engineers - Municipal Engineer,5ae1c48bb1a0a47f8e58a54c298d8cad0b79a812,"{""DOI"": ""10.1680/jmuen.22.00040"", ""CorpusId"": 259450172}",False,,bangu,1
4,"MILITARIZAÇÃO DA VIDA COTIDIANA NO PROCESSO DE FECHAMENTO DE RUAS NO BAIRRO DE BANGU, RIO DE JANEIRO (RJ)",S. Souza,['S. Souza'],2023,https://www.semanticscholar.org/paper/3d386a3db5e33d2407894713d2e6cb0c4f9b4536,"Neste artigo, proponho uma discussão acerca da militarização da vida cotidiana que acompanha o processo de fechamento de ruas na cidade do Rio de Janeiro, com especial atenção ao bairro de Bangu, localizado na Zona Oeste da capital. De 2016 a 2022, a partir da realização de diversos trabalhos de campo, foi possível constatar um significativo aumento no número de vias fechadas nesse local por meio da instalação de aparatos de segurança, tais como cancelas, guaritas, grades e portões, cujo propósito subjacente foi obstruir a livre circulação de pessoas consideradas ""estranhas"" e veículos automotores, com a justificativa de combater o recrudescimento da criminalidade decorrente da violência urbana e, por conseguinte, produzir uma espécie de sensação de segurança na localidade em questão. Ambos os temas, tanto o da militarização da vida cotidiana, quanto o fechamento de ruas, estiveram presentes em uma pesquisa de pós-graduação em Geografia, concluída em nível de mestrado. O objetivo deste trabalho é contribuir teoricamente para a compreensão de processos que se fazem presentes no espaço urbano do mundo contemporâneo.",0,0,Revista Tocantinense de Geografia,None,JournalArticle,2023-12-15,Revista Tocantinense de Geografia,3d386a3db5e33d2407894713d2e6cb0c4f9b4536,"{""DOI"": ""10.20873/rtg.v13i29.16978"", ""CorpusId"": 266339079}",True,https://sistemas.uft.edu.br/periodicos/index.php/geografia/article/download/16978/21794,bangu,1
5,"Sorin Bangu, Emiliano Ippoliti, and Marianna Antonutti Marfori, eds. Explanatory and Heuristic Power of Mathematics",,[],2023,https://www.semanticscholar.org/paper/69bdca719ef9dcc6689173c27a395b20dd22bc6e,,0,0,Philosophia Mathematica,None,JournalArticle,2023-10-16,Philosophia Mathematica,69bdca719ef9dcc6689173c27a395b20dd22bc6e,"{""DOI"": ""10.1093/philmat/nkad018"", ""CorpusId"": 264179794}",False,,bangu,1
6,PSICHOSOCIALINĘ NEGALIĄ TURINČIŲ ASMENŲ ARTIMŲJŲ NUOMONĖ APIE SOCIALINIŲ PASLAUGŲ ATITIKIMĄ NEĮGALIŲJŲ POREIKIUS: DVIEJŲ BANGŲ PAPLITIMO TYRIMO REZULTATAI,"Donatas Austys, Viltė Jonynaitė, Salvinija Bendikaitė, Marija Jakubauskienė, Rimantas Stukas","['Donatas Austys', 'Viltė Jonynaitė', 'Salvinija Bendikaitė', 'Marija Jakubauskienė', 'Rimantas Stukas']",2023,https://www.semanticscholar.org/paper/f2327ae7aeff81ba06dbc8c048bd4a83e2f6fd03,"Įvadas. 2014 metais Lietuvoje pradėta institucinės glo­bos pertvarka, kuria siekiama institucinę globą pakeisti neįgaliesiems skirtomis paslaugomis, teikiamomis ben­druomenėse, taip prisitaikant prie neįgaliųjų poreikių. Šio tyrimo tikslas – įvertinti psichosocialinę negalią turinčių asmenų artimųjų nuomonę apie neįgaliesiems teikiamų socialinių paslaugų atitikimą neįgaliųjų poreikius.

Medžiaga ir metodai. 2016 ir 2019 metais atlikti du pa­plitimo tyrimai, kurių tikslinė grupė buvo psichikos ir elgesio sutrikimų sukeliamą negalią turinčių asmenų ar­timieji Lietuvoje. Atitinkamai dalyvavo 334 ir 391 psi­chikos negalią turinčių asmenų artimieji. Nuomonė apie neįgaliesiems teikiamų socialinių paslaugų atitikimą ne­įgaliųjų poreikius vertinta taikant anoniminės anketinės apklausos metodą. Respondentų nuomonė apie paslaugas vertinta atsižvelgiant į tiriamųjų socialines ir demogra­fines charakteristikas.

Rezultatai. Dauguma (73,5%) tyrimo dalyvių abiejų ap­klausų metu nurodė, jog geriausiai neįgaliųjų poreikiai tenkinami dienos užimtumo centruose. Taip dažniau manė žemesnį išsimokslinimą įgiję asmenys (68,2% prieš 78,4%, p=0,003). Didesnė aukštesnį išsimokslinimą įgi­jusių respondentų dalis manė, jog neįgaliųjų poreikiai geriausiai tenkinami grupinio (savarankiško) gyvenimo namuose (19,9% prieš 11,2%, p=0,002). Respondentai, gyvenantys didmiesčiuose, moterys, įgiję aukštesnį iš­simokslinimą, neįgaliųjų tėvai, dažniau manė, jog ge­riausiai neįgaliųjų poreikius atitinka laikinojo atokvėpio paslaugos (atitinkamai, 37,4% prieš 26,8%, 31,0% prieš 14,0%, 36,1% prieš 21,3%, 30,3% prieš 20,0%, p<0,05). Respondentų amžius, užimtumas, šeiminė padėtis, gy­venamosios vietos tipas, pajamos bei negalią turinčių artimųjų lytis nebuvo susiję su nuomonės apie paslaugų atitikimą neįgaliųjų poreikius skirtumais (p>0,05).

Išvados. Trys ketvirtadaliai psichikos negalią turinčių as­menų artimųjų manė, kad geriausiai jų neįgalių artimųjų poreikiai atliepiami dienos užimtumo centruose, tačiau nuomonės skirtumai skirtingose respondentų socialinėse ir demografinėse grupėse gali būti susiję su paslaugų prieinamumo bei informuotumo apie teikiamas paslau­gas ypatumais.",0,0,Health Sciences,None,JournalArticle,2023-04-01,Health Sciences,f2327ae7aeff81ba06dbc8c048bd4a83e2f6fd03,"{""DOI"": ""10.35988/sm-hs.2023.046"", ""CorpusId"": 258272233}",True,https://sm-hs.eu/wp-content/uploads/2023/04/♥2023-SM2TIRAZAS-28-32.pdf,bangu,1
7,Além do muro da Fábrica: um estudo etnotopográfico das relações e usos no centro comercial de Bangu.,"Lígia Castanheira Magalhães, Ethel Pinheiro Santana","['Lígia Castanheira Magalhães', 'Ethel Pinheiro Santana']",2023,https://www.semanticscholar.org/paper/a3aeb68293d4efe2219efac751438d2c573bb24e,,0,0,Anais do Seminário Internacional PROJETAR: Projetar para quem? Projetar para quê? Projetar como?,None,None,,Anais do Seminário Internacional PROJETAR: Projetar para quem? Projetar para quê? Projetar como?,a3aeb68293d4efe2219efac751438d2c573bb24e,"{""DOI"": ""10.29327/projetar2023.658168"", ""CorpusId"": 266245855}",True,https://even3.blob.core.windows.net/anais/658168.pdf,bangu,1
8,On AI Alignment and the Later Wittgenstein: a Response To Sorin Bangu,"José Antonio Pérez-Escobar, Deniz Sarikaya","['José Antonio Pérez-Escobar', 'Deniz Sarikaya']",2025,https://www.semanticscholar.org/paper/24de20441ac656367238038f2c1c94a3a64e793a,,0,3,Philosophy & Technology,None,JournalArticle,2025-11-29,Philosophy & Technology,24de20441ac656367238038f2c1c94a3a64e793a,"{""DOI"": ""10.1007/s13347-025-00993-3"", ""CorpusId"": 283354110}",False,,bangu,1
9,"Análise das microbacias hidrográficas do córrego Apepu e da Sanga Bangu, no extremo oeste do Paraná, e seu uso para piscicultura","Pedro Rondon Werneck, Analice Timoteo de Araujo, Davi Silva de Jesus, Katianne Santos Freitas, A. Feiden","['Pedro Rondon Werneck', 'Analice Timoteo de Araujo', 'Davi Silva de Jesus', 'Katianne Santos Freitas', 'A. Feiden']",2025,https://www.semanticscholar.org/paper/790f84dbb8485c2e129b6f3a3fb4742669bb32c3,"O presente estudo analisa as microbacias hidrográficas do córrego Apepu e da Sanga Bangu, e seu uso para piscicultura, localizadas no município de Marechal Cândido Rondon, no extremo oeste do Paraná, com seus exutórios no reservatório da usina hidrelétrica de Itaipu Binacional. O enfoque foi sobre as alterações morfológicas e hidrológicas decorrentes das ações humanas. O objetivo foi caracterizar a morfologia, morfometria, uso e ocupação do solo e seu uso para piscicultura, além da análise do aporte de nitrogênio e fósforo da atividade instalada atualmente. Para tanto, foi empregada metodologia baseada em geotecnologias, utilizando imagens de sensoriamento remoto, Modelos Digitais de Elevação e softwares livres como QGIS e GRASS GIS para delimitação da bacia e geração de mapas temáticos. Os resultados apontam uma área de 34,37 km², formas alongadas, baixa densidade de drenagem e predominância de áreas agrícolas, seguido por formações florestais, pastagens e viveiros de piscicultura. Destaca-se ainda um tempo de concentração hidráulica de aproximadamente 3 horas e 13 minutos, indicando baixa tendência a enchentes e boa infiltração da água no solo. A pesquisa reforça a importância da gestão integrada e do planejamento territorial na conservação dos recursos hídricos, para promover uma piscicultura ambientalmente sustentável, com promoção do desenvolvimento regional.",0,0,Observatorio de la Economía Latinoamericana,None,JournalArticle,2025-08-07,OBSERVATÓRIO DE LA ECONOMÍA LATINOAMERICANA,790f84dbb8485c2e129b6f3a3fb4742669bb32c3,"{""DOI"": ""10.55905/oelv23n8-020"", ""CorpusId"": 280885625}",False,,bangu,1
10,"Volatile organic compounds in bangu, Rio de janeiro: an exploratory study of source apportionment in the neighborhood with integrated assessment of toxicity and reactivity over a Two-Month monitoring period","Vitor Maciel, Simone Lorena Quitério de Souza, Sergio Machado Corrêa, E. M. Martins","['Vitor Maciel', 'Simone Lorena Quitério de Souza', 'Sergio Machado Corrêa', 'E. M. Martins']",2025,https://www.semanticscholar.org/paper/94ac08a2cc1ea2a2934e1985f7cded673691be2a,,0,72,Brazilian Journal of Chemical Engineering,None,JournalArticle,2025-09-01,Brazilian Journal of Chemical Engineering,94ac08a2cc1ea2a2934e1985f7cded673691be2a,"{""DOI"": ""10.1007/s43153-025-00594-9"", ""CorpusId"": 281049193}",False,,bangu,1
