engine,rank,title,link,snippet,displayLink,formattedUrl,htmlTitle,htmlSnippet,htmlFormattedUrl,kind,cacheId,metatags_title,metatags_description,metatags_image,regiao,idioma,termo,tentativa
google,1,"Bangu – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Bangu,"Bangu é um bairro da Zona Oeste do Rio de Janeiro. ... É tido como um dos bairros mais populosos da cidade, com cerca de 250.000 habitantes, segundo estimativas ...",pt.wikipedia.org,https://pt.wikipedia.org/wiki/Bangu,"<b>Bangu</b> – Wikipédia, a enciclopédia livre","<b>Bangu</b> é um bairro da Zona Oeste do Rio de Janeiro. ... É tido como um dos bairros mais populosos da cidade, com cerca de 250.000 habitantes, segundo estimativas&nbsp;...",https://pt.wikipedia.org/wiki/<b>Bangu</b>,customsearch#result,,"Bangu – Wikipédia, a enciclopédia livre",,https://upload.wikimedia.org/wikipedia/commons/8/8a/Bangu_3.jpg,br,pt,bangu,1
google,2,Bangu Atlético Clube,https://www.bangu-ac.com.br/,Bangu confirma primeiras renovações para o elenco do Campeonato Carioca 2026 ... Dez atletas campeões da Série A2 permanecem no clube para a próxima temporada ...,www.bangu-ac.com.br,https://www.bangu-ac.com.br/,<b>Bangu</b> Atlético Clube,<b>Bangu</b> confirma primeiras renovações para o elenco do Campeonato Carioca 2026 ... Dez atletas campeões da Série A2 permanecem no clube para a próxima temporada&nbsp;...,https://www.<b>bangu</b>-ac.com.br/,customsearch#result,,,,,br,pt,bangu,1
google,3,"Bangu Atlético Clube – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Bangu_Atl%C3%A9tico_Clube,"O Bangu Atlético Clube, mais conhecido apenas como Bangu, é um clube esportivo brasileiro sediado no bairro de Bangu, no Rio de Janeiro, fundado em 17 de ...",pt.wikipedia.org,https://pt.wikipedia.org/wiki/Bangu_Atlético_Clube,"<b>Bangu</b> Atlético Clube – Wikipédia, a enciclopédia livre","O <b>Bangu</b> Atlético Clube, mais conhecido apenas como <b>Bangu</b>, é um clube esportivo brasileiro sediado no bairro de <b>Bangu</b>, no Rio de Janeiro, fundado em 17 de&nbsp;...",https://pt.wikipedia.org/wiki/<b>Bangu</b>_Atlético_Clube,customsearch#result,,"Bangu Atlético Clube – Wikipédia, a enciclopédia livre",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bangu_Atletico_Clube.svg/1125px-Bangu_Atletico_Clube.svg.png,br,pt,bangu,1
google,4,Bangu Shopping,https://bangushopping.com/,"Fique por dentro das promoções, horários de funcionamento e novidades em primeira mão! Facebook · Instagram · Twitter · Youtube · TikTok. Baixe o nosso ...",bangushopping.com,https://bangushopping.com/,<b>Bangu</b> Shopping,"Fique por dentro das promoções, horários de funcionamento e novidades em primeira mão! Facebook &middot; Instagram &middot; Twitter &middot; Youtube &middot; TikTok. Baixe o nosso&nbsp;...",https://<b>bangu</b>shopping.com/,customsearch#result,,Página Inicial,,,br,pt,bangu,1
google,5,"Bangu Atlético Clube (@banguoficial) · Rio de Janeiro, RJ",https://www.instagram.com/banguoficial/,"há 3 dias ... Conta oficial do Bangu Atlético Clube, o Gigante da Zona Oeste! · ☀️ Manhã de sol e treino forte na Zona Oeste! #SempreBangu @ ...",www.instagram.com,https://www.instagram.com/banguoficial/,"<b>Bangu</b> Atlético Clube (@banguoficial) · Rio de Janeiro, RJ","há 3 dias <b>...</b> Conta oficial do <b>Bangu</b> Atlético Clube, o Gigante da Zona Oeste! &middot; ☀️ Manhã de sol e treino forte na Zona Oeste! #SempreBangu @&nbsp;...",https://www.instagram.com/<b>bangu</b>oficial/,customsearch#result,,Bangu Atlético Clube (@banguoficial) • Instagram photos and videos,"108K Followers, 211 Following, 4,808 Posts - See Instagram photos and videos from Bangu Atlético Clube (@banguoficial)",https://scontent-atl3-3.cdninstagram.com/v/t51.82787-19/588442796_18495838948076822_6949877423238014346_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=109&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=fOuiCFym5sEQ7kNvwFYPxNK&_nc_oc=Adm58z9C96BFGVehFoSto7yjdFxVyXSAY2QRs8AmveNzGjL12_PRuSnBDRNBuC0DDIo&_nc_zt=24&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=iaQkAILbLvL8jSidxh5UYg&oh=00_AfmZoAnWMK9EIwTBFwBeF1PbXrSmvJwbwJaqY03_Rc_xVQ&oe=69413247,br,pt,bangu,1
google,6,Raphael Ghanem - Teatro Bangu Shopping,https://teatrobangushopping.com.br/evento/raphael-ghanem-a-carne-so-cai-no-prato-do-vegano,"Com texto, interpretação e direção de Raphael Ghanem, "" A carne só cai no prato do Vegano"" é um espetáculo de Talkshow com a plateia, o público vira ...",teatrobangushopping.com.br,https://teatrobangushopping.com.br/.../raphael-ghanem-a-carne-so-cai-no-p...,Raphael Ghanem - Teatro <b>Bangu</b> Shopping,"Com texto, interpretação e direção de Raphael Ghanem, &quot; A carne só cai no prato do Vegano&quot; é um espetáculo de Talkshow com a plateia, o público vira&nbsp;...",https://teatro<b>bangu</b>shopping.com.br/.../raphael-ghanem-a-carne-so-cai-no-p...,customsearch#result,,,,,br,pt,bangu,1
google,7,Regional Bangu - Tribunal de Justiça do Estado do Rio de Janeiro,https://www.tjrj.jus.br/servicos/processo-eletronico/rel-orgaos-julg-eletr/1-instancia/bangu,BANGU REGIONAL XVII JUI ESP CIV. BANGU REGIONAL 1 VARA CÍVEL. BANGU REGIONAL 2 VARA CÍVEL. BANGU REGIONAL 3 VARA CÍVEL. BANGU REGIONAL 4 VARA CÍVEL. BANGU ...,www.tjrj.jus.br,https://www.tjrj.jus.br/servicos/processo-eletronico/rel-orgaos.../bangu,Regional <b>Bangu</b> - Tribunal de Justiça do Estado do Rio de Janeiro,<b>BANGU</b> REGIONAL XVII JUI ESP CIV. <b>BANGU</b> REGIONAL 1 VARA CÍVEL. <b>BANGU</b> REGIONAL 2 VARA CÍVEL. <b>BANGU</b> REGIONAL 3 VARA CÍVEL. <b>BANGU</b> REGIONAL 4 VARA CÍVEL. <b>BANGU</b>&nbsp;...,https://www.tjrj.jus.br/servicos/processo-eletronico/rel-orgaos.../<b>bangu</b>,customsearch#result,,Regional Bangu - Tribunal de Justiça do Estado do Rio de Janeiro,,,br,pt,bangu,1
google,8,K-pop Jovens Guerreiras no Teatro - Teatro Bangu Shopping,https://teatrobangushopping.com.br/evento/k-pop-jovens-guerreiras-no-teatro,"JOVENS GUERREIRAS NO TEATRO” “Jovens Guerreiras No Teatro"", espetáculo infantil e infanto-juvenil, que traz aos palcos belas cantoras e guerreiras, que.",teatrobangushopping.com.br,https://teatrobangushopping.com.br/.../k-pop-jovens-guerreiras-no-teatro,K-pop Jovens Guerreiras no Teatro - Teatro <b>Bangu</b> Shopping,"JOVENS GUERREIRAS NO TEATRO” “Jovens Guerreiras No Teatro&quot;, espetáculo infantil e infanto-juvenil, que traz aos palcos belas cantoras e guerreiras, que.",https://teatro<b>bangu</b>shopping.com.br/.../k-pop-jovens-guerreiras-no-teatro,customsearch#result,,,,,br,pt,bangu,1
google,9,"TRE-RJ faz atendimento itinerante com foco em biometria, no ...",https://www.tre-rj.jus.br/comunicacao/noticias/2024/Fevereiro/tre-rj-faz-atendimento-itinerante-com-foco-em-biometria-no-bangu-shopping,"21 de fev. de 2024 ... Nesta terça-feira, o TRE-RJ iniciou mais uma ação de atendimento itinerante com foco na biometria, desta vez no Bangu Shopping, na Zona Oeste da ...",www.tre-rj.jus.br,https://www.tre-rj.jus.br/.../tre-rj-faz-atendimento-itinerante-com-foco-em-b...,"TRE-RJ faz atendimento itinerante com foco em biometria, no ...","21 de fev. de 2024 <b>...</b> Nesta terça-feira, o TRE-RJ iniciou mais uma ação de atendimento itinerante com foco na biometria, desta vez no <b>Bangu</b> Shopping, na Zona Oeste da&nbsp;...",https://www.tre-rj.jus.br/.../tre-rj-faz-atendimento-itinerante-com-foco-em-b...,customsearch#result,,"TRE-RJ faz atendimento itinerante com foco em biometria, no Bangu Shopping","Guichês da Justiça Eleitoral funcionarão até quinta-feira (22), das 11h às 17h",https://www.justicaeleitoral.jus.br/imagens/imagens/tre-rj-faz-atendimento-itinerante-com-foco-em-biometria-no-bangu-shopping/@@streaming/image/BanguShopping.jpg,br,pt,bangu,1
google,10,Mapa da Subprefeitura da Grande Bangu (julho/2024) | DATA RIO,https://www.data.rio/documents/89a7412a9a2f463792d197e6da7269e7,"1 de ago. de 2024 ... Mapa da Subprefeitura da Grande Bangu, contendo as Unidades de Saúde, as Unidades Educacionais e as Unidades de Assistência Social, ...",www.data.rio,https://www.data.rio/documents/89a7412a9a2f463792d197e6da7269e7,Mapa da Subprefeitura da Grande <b>Bangu</b> (julho/2024) | DATA RIO,"1 de ago. de 2024 <b>...</b> Mapa da Subprefeitura da Grande <b>Bangu</b>, contendo as Unidades de Saúde, as Unidades Educacionais e as Unidades de Assistência Social,&nbsp;...",https://www.data.rio/documents/89a7412a9a2f463792d197e6da7269e7,customsearch#result,,Mapa da Subprefeitura da Grande Bangu (julho/2024),"Mapa da Subprefeitura da Grande Bangu, contendo as Unidades de Saúde, as Unidades Educacionais e as Unidades de Assistência Social,  Municipais.",https://www.arcgis.com/sharing/rest/content/items/89a7412a9a2f463792d197e6da7269e7/info/thumbnail/ago_downloaded.png?w=500,br,pt,bangu,1
