rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,banguela,a-z,1250,QUERY,bangu,br,chrome,yt
2,banguela e soluço,a-z,601,QUERY,bangu,br,chrome,yt
3,banguela dançando,a-z,600,QUERY,bangu,br,chrome,yt
4,banguela amigurumi,a-z,561,QUERY,bangu,br,chrome,yt
5,bangue bangue,a-z,560,QUERY,bangu,br,chrome,yt
6,bangu ao vivo,a-z,559,QUERY,bangu,br,chrome,yt
7,bangu 1,a-z,558,QUERY,bangu,br,chrome,yt
8,bangu 8,a-z,557,QUERY,bangu,br,chrome,yt
9,banguela e furia da luz,a-z,556,QUERY,bangu,br,chrome,yt
10,banguela filme,a-z,555,QUERY,bangu,br,chrome,yt
11,banguela banguela,a-z,554,QUERY,bangu,br,chrome,yt
12,banguela 3,a-z,553,QUERY,bangu,br,chrome,yt
13,banguela 2,a-z,552,QUERY,bangu,br,chrome,yt
14,banguelinho,a-z,551,QUERY,bangu,br,chrome,yt
15,banguela salva soluço,a-z,550,QUERY,bangu,br,chrome,yt
