rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,default_language,default_audio_language,live_broadcast_content,thumbnail_default,thumbnail_high,thumbnail_maxres,channel_custom_url,channel_description,regiao,idioma,termo,order
1,JOVEM É VÍTIMA DE ESTUPRO COLETIVO EM BANGU,https://www.youtube.com/watch?v=p5Y-e7YV1mI,p5Y-e7YV1mI,Record Rio,UC-5q6GpZ1my8fV7VGT6LsWg,2025-12-11T11:43:19Z,"RJ no Ar, com Marcus Marinho
Saiba mais no R7.com 
Siga nossas redes sociais: 
Instagram: @recordRio | https://www.instagram.com/recordrio/ 
Facebook: @recordRio | https://www.facebook.com/recordtvrio 
WhatsApp: @recordRio | https://whatsapp.com/channel/0029VaDeCImJf05Uq5xNwc3P
Denúncias e Sugestões | WhatsApp: (21) 96500-0825

#recordrio #recordtvrio #balancogeralrj #rjnoar #cidadealertarj #riobomdemais #tinojunior #ernanialves #marcusmarinho #palomapoeta #noticias #r7falacomigo #podcast #news #hardnews #noticias #riodejaneiro #errejota #mosquitofofoqueiro #riodejaneiro #errejota #noticiasdorio 
#tinojuniorbalançogeralrjhoje",9194,267,0,100,0,PT4M2S,hd,false,"#recordrio, record, balacogeral, cidadealerta, rjnoar, riobomdemais, palomapoeta, tinojunior, ernanialves, marcusmarinho, venenosa, #noticias, riodejaneiro, news, podcast, r7, r7falacomigo, tino junior balanço geral rj hoje, rio de janeiro operações, sbt ao vivo",25,pt-PT,pt-BR,none,https://i.ytimg.com/vi/p5Y-e7YV1mI/default.jpg,https://i.ytimg.com/vi/p5Y-e7YV1mI/hqdefault.jpg,https://i.ytimg.com/vi/p5Y-e7YV1mI/maxresdefault.jpg,,,br,pt,bangu,relevance
2,HINO DO BANGU-RJ,https://www.youtube.com/watch?v=z7AcatmiwaM,z7AcatmiwaM,golaudio,UC1iEoX6l-esCDi68smT5qGA,2010-01-22T14:50:39Z,HINOS OFICIAIS DE CLUBES DE FUTEBOL,412437,4755,0,721,0,PT2M36S,sd,false,"HINO, DE, FUTEBOL, BANGU ATLÉTICO CLUBE, RIO DE JANEIRO",10,pt-PT,pt-PT,none,https://i.ytimg.com/vi/z7AcatmiwaM/default.jpg,https://i.ytimg.com/vi/z7AcatmiwaM/hqdefault.jpg,https://i.ytimg.com/vi/z7AcatmiwaM/maxresdefault.jpg,,,br,pt,bangu,relevance
3,Tô A Bangu,https://www.youtube.com/watch?v=V9aTtmJCeZA,V9aTtmJCeZA,Arlindo Cruz - Topic,UCk2JBBSzScCxwiFJK8D08Eg,2024-12-11T15:05:58Z,"Provided to YouTube by IIP-DDS

Tô A Bangu · Arlindo Cruz

Só Sucessos

℗ Radar Records

Released on: 2018-09-15

Music  Publisher: Universal MGB
Composer, Lyricist: Arlindo Cruz
Composer, Lyricist: Franco

Auto-generated by YouTube.",24984,347,0,0,0,PT3M54S,hd,false,"Arlindo Cruz, Só Sucessos, Tô A Bangu",10,pt-PT,pt-PT,none,https://i.ytimg.com/vi/V9aTtmJCeZA/default.jpg,https://i.ytimg.com/vi/V9aTtmJCeZA/hqdefault.jpg,https://i.ytimg.com/vi/V9aTtmJCeZA/maxresdefault.jpg,,,br,pt,bangu,relevance
4,Jojo Maronttinni - Bangu,https://www.youtube.com/watch?v=fKVf18DDZUw,fKVf18DDZUw,JojoMaronttinniVEVO,UC8uKTWUPZxy4w1QxWAK5J4Q,2022-08-19T14:00:22Z,"Clique e ouça: https://umusicbrazil.lnk.to/JojoComoVoceNuncaViu

SIGA JOJO MARONTTINNI
https://www.instagram.com/jojotodynho/ 
https://www.facebook.com/Jojotodynho/ 
https://twitter.com/jojotodynhoofc
https://www.tiktok.com/@jojotodynho

#JojoMaronttini #Bangu #JojoComoVoceNuncaViu 

Music video by Jojo Maronttinni performing Bangu. © 2022 Universal Music Ltda

http://vevo.ly/7r1bHF",3397443,39062,0,1700,0,PT2M59S,hd,false,"jojo, jojo todynho, jojo toddynho, jojo todinho, jojo fazenda, jojo maronttini, jojo maronttinni, jojo marontini, bangu, de onde eu venho, como voce nunca viu, jojo como você nunca viu, agora pau vai torar, ta no spa, que tiro foi esse",10,pt-PT,pt-PT,none,https://i.ytimg.com/vi/fKVf18DDZUw/default.jpg,https://i.ytimg.com/vi/fKVf18DDZUw/hqdefault.jpg,https://i.ytimg.com/vi/fKVf18DDZUw/maxresdefault.jpg,,,br,pt,bangu,relevance
5,Complexo de Bangu,https://www.youtube.com/watch?v=EKjhxdCXOPY,EKjhxdCXOPY,jean ribeiro,UCFh72XoTM2ecXth5IrB1SSw,2014-01-30T19:55:21Z,Pela primeira uma equipe de tv tem autorização para gravar dentro dos presidios de Bangu.,4869600,34323,0,1152,0,PT11M5S,sd,false,,22,pt-PT,pt-PT,none,https://i.ytimg.com/vi/EKjhxdCXOPY/default.jpg,https://i.ytimg.com/vi/EKjhxdCXOPY/hqdefault.jpg,,,,br,pt,bangu,relevance
6,PESQUISEI BANGU NO GOOGLE E...,https://www.youtube.com/watch?v=0L5FgDVAtTI,0L5FgDVAtTI,Braune - Esportes,UCulbkwODYlTqphYk3W50z8Q,2023-12-14T13:07:21Z,#bangu #futebol #brasileirão,116178,8897,0,300,0,PT57S,hd,false,"futebol, brasil, futebol brasileiro, braune, champions league, copa do mundo, fifa, seleção brasileira, futebol europeu, copa do brasil, brasileirão, liga europa, uefa, conmebol, botafogo, flamengo, vasco, fluminense, são paulo, palmeiras",17,pt-PT,pt-BR,none,https://i.ytimg.com/vi/0L5FgDVAtTI/default.jpg,https://i.ytimg.com/vi/0L5FgDVAtTI/hqdefault.jpg,,,,br,pt,bangu,relevance
7,BANGU x CAMPO GRANDE,https://www.youtube.com/watch?v=h5PTll3IINw,h5PTll3IINw,Braune - Esportes,UCulbkwODYlTqphYk3W50z8Q,2025-07-31T23:30:13Z,"Agora tem o Discord do Braune! Muito conteúdo novo por vir... Entra lá: https://discord.gg/FV3rR8xH

Tudo sobre #futebol #bangu #campogrande",5281,826,0,14,0,PT1M15S,hd,false,"futebol, brasil, futebol brasileiro, braune, champions league, copa do mundo, fifa, seleção brasileira, futebol europeu, copa do brasil, brasileirão, liga europa, uefa, conmebol, botafogo, flamengo, vasco, fluminense, são paulo, palmeiras",17,pt-PT,pt-BR,none,https://i.ytimg.com/vi/h5PTll3IINw/default.jpg,https://i.ytimg.com/vi/h5PTll3IINw/hqdefault.jpg,https://i.ytimg.com/vi/h5PTll3IINw/maxresdefault.jpg,,,br,pt,bangu,relevance
8,Bangu1,https://www.youtube.com/watch?v=Qteds88_f_A,Qteds88_f_A,jean ribeiro,UCFh72XoTM2ecXth5IrB1SSw,2014-01-30T20:07:48Z,O presidio mais temido dos bandidos,6942516,54602,0,1710,0,PT15M1S,sd,false,,22,pt-PT,pt-PT,none,https://i.ytimg.com/vi/Qteds88_f_A/default.jpg,https://i.ytimg.com/vi/Qteds88_f_A/hqdefault.jpg,,,,br,pt,bangu,relevance
9,Vou pro Sereno - Oyá / Tô a Bangu / Identidade / Singelo Menestral (Ao Vivo),https://www.youtube.com/watch?v=cwlV4-8-dXs,cwlV4-8-dXs,VouProSerenoVEVO,UCwO0BlAztHYaU6yCJW4FGsw,2018-10-05T22:00:02Z,"Vídeo Oficial do DVD ""A Força do Nosso Som"" de Vou Pro Sereno.

Ouça o álbum “A Força do Nosso Som” completo nas plataformas digitais: https://SMB.lnk.to/AForcadoNossoSom

Siga Vou Pro Sereno nas redes sociais!
Facebook: https://www.facebook.com/vouprosereno/
Instagram: https://www.instagram.com/vouproserenooficial/",44011299,124258,0,1242,0,PT7M43S,hd,false,"vou pro sereno, vou pro sereno oficial, vou pro sereno a força do nosso som, a força do nosso som, vou pro sereno dvd completo, vou pro sereno e marquinhos pqd, vou pro sereno e xande de pilares, vou pro sereno musica nova, vou pro sereno roda de samba, vou pro sereno frasco pequeno, vou pro sereno deixa clarear, samba, pagode, Oyá / Tô a Bangu / Identidade / Singelo Menestral, Pagode, Vou pro Sereno, Vou pro Sereno Produções Ltda.",10,pt-PT,pt-PT,none,https://i.ytimg.com/vi/cwlV4-8-dXs/default.jpg,https://i.ytimg.com/vi/cwlV4-8-dXs/hqdefault.jpg,https://i.ytimg.com/vi/cwlV4-8-dXs/maxresdefault.jpg,,,br,pt,bangu,relevance
10,BANGU DE VOLTA A SÉRIE A DO CARIOCA,https://www.youtube.com/watch?v=CMg3ri-i68w,CMg3ri-i68w,Braune - Esportes,UCulbkwODYlTqphYk3W50z8Q,2025-08-18T15:30:06Z,"Agora tem o Discord do Braune! Muito conteúdo novo por vir... Entra lá: https://discord.gg/FV3rR8xH

Tudo sobre #futebol #bangu",6177,839,0,28,0,PT1M5S,hd,false,"futebol, brasil, futebol brasileiro, braune, champions league, copa do mundo, fifa, seleção brasileira, futebol europeu, copa do brasil, brasileirão, liga europa, uefa, conmebol, botafogo, flamengo, vasco, fluminense, são paulo, palmeiras",17,pt-PT,pt-BR,none,https://i.ytimg.com/vi/CMg3ri-i68w/default.jpg,https://i.ytimg.com/vi/CMg3ri-i68w/hqdefault.jpg,https://i.ytimg.com/vi/CMg3ri-i68w/maxresdefault.jpg,,,br,pt,bangu,relevance
