rank,titulo,autores,data,link,resumo
1,An analysis of Bitcoin OP_RETURN metadata,"Massimo Bartoletti, Livio Pompianu",2017-02-03,https://arxiv.org/abs/1702.01024v2,"The Bitcoin protocol allows to save arbitrary data on the blockchain through a special instruction of the scripting language, called OP_RETURN. A growing number of protocols exploit this feature to ex"
2,Niji: Bitcoin Bridge Utilizing Payment Channels,"Hiroki Watanabe, Shigenori Ohashi, Shigeru Fujimura, Atsushi Nakadaira, Kota Hidaka, Jay Kishigami",2018-10-24,https://arxiv.org/abs/1810.10194v1,"Bitcoin's enormous success has inspired the development of alternative blockchains, such as consortium chains. Several cross-chain protocols have been proposed as ways of connecting these universes of"
3,The Economics of BitCoin Price Formation,"Pavel Ciaian, Miroslava Rajcaniova, d'Artis Kancs",2014-05-18,https://arxiv.org/abs/1405.4498v1,"This paper analyses the relationship between BitCoin price and supply-demand fundamentals of BitCoin, global macro-financial indicators and BitCoin attractiveness for investors. Using daily data for t"
4,The Price of BitCoin: GARCH Evidence from High Frequency Data,"Pavel Ciaian, d'Artis Kancs, Miroslava Rajcaniova",2018-12-22,https://arxiv.org/abs/1812.09452v1,This is the first paper that estimates the price determinants of BitCoin in a Generalised Autoregressive Conditional Heteroscedasticity framework using high frequency data. Derived from a theoretical 
5,Functional Classification of Bitcoin Addresses,"Manuel Febrero-Bande, Wenceslao González-Manteiga, Brenda Prallon, Yuri F. Saporito",2022-02-24,https://arxiv.org/abs/2202.12019v3,"This paper proposes a classification model for predicting the main activity of bitcoin addresses based on their balances. Since the balances are functions of time, we apply methods from functional dat"
6,Inferring the interplay of network structure and market effects in Bitcoin,"Dániel Kondor, István Csabai, János Szüle, Márton Pósfai, Gábor Vattay",2014-12-12,https://arxiv.org/abs/1412.4042v1,A main focus in economics research is understanding the time series of prices of goods and assets. While statistical models using only the properties of the time series itself have been successful in 
7,How to Charge Lightning: The Economics of Bitcoin Transaction Channels,"Simina Brânzei, Erel Segal-Halevi, Aviv Zohar",2017-12-29,https://arxiv.org/abs/1712.10222v2,"Off-chain transaction channels represent one of the leading techniques to scale the transaction throughput in cryptocurrencies. However, the economic effect of transaction channels on the system has n"
8,"A System Dynamics Model of Bitcoin: Mining as an Efficient Market and the Possibility of ""Peak Hash""","Davide Lasi, Lukas Saul",2020-04-20,https://arxiv.org/abs/2004.09212v1,"The mining of bitcoin is modeled using system dynamics, showing that the past evolution of the network hash rate can be explained to a large extent by an efficient market hypothesis applied to the min"
9,The Redundancy of Full Nodes in Bitcoin: A Network-Theoretic Demonstration of Miner-Centric Propagation Topologies,Dr Craig S Wright,2025-06-17,https://arxiv.org/abs/2506.14197v1,This paper formally examines the network structure of Bitcoin CORE (BTC) and Bitcoin Satoshi Vision (BSV) using complex graph theory to demonstrate that home-hosted full nodes are incapable of partici
10,Regulating Facial Processing Technologies: Tensions Between Legal and Technical Considerations in the Application of Illinois BIPA,"Rui-Jie Yew, Alice Xiang",2022-05-15,https://arxiv.org/abs/2205.07299v1,Harms resulting from the development and deployment of facial processing technologies (FPT) have been met with increasing controversy. Several states and cities in the U.S. have banned the use of faci
