rank,titulo,autores,ano,link,resumo,citacoes,referencias,venue
1,Analysis of Bitcoin Price Prediction Using Machine Learning,Junwei Chen,2023,https://www.semanticscholar.org/paper/b5494d463623b91e63fee94c9e5976fdc7e888b7,"The research purpose of this paper is to obtain an algorithm model with high prediction accuracy for the price of Bitcoin on the next day through random forest regression and LSTM, and to explain which variables have influence on the price of Bitcoin. There is much prior literature on Bitcoin price prediction research, and the research methods mainly revolve around the ARMA model of time series and the LSTM algorithm of deep learning. Although it cannot be proved by the Diebold–Mariano test that",100,37,Journal of Risk and Financial Management
2,Demystifying Fraudulent Transactions and Illicit Nodes in the Bitcoin Network for Financial Forensics,"Youssef Elmougy, Ling Liu",2023,https://www.semanticscholar.org/paper/75c4f0f3afc809f446daa157851a2c5a2af6075c,"Blockchain provides the unique and accountable channel for financial forensics by mining its open and immutable transaction data. A recent surge has been witnessed by training machine learning models with cryptocurrency transaction data for anomaly detection, such as money laundering and other fraudulent activities. This paper presents a holistic applied data science approach to fraud detection in the Bitcoin network with two original contributions. First, we contribute the Elliptic++dataset, wh",60,49,Knowledge Discovery and Data Mining
3,Monetary Policy and Bitcoin,Sören Karau,2023,https://www.semanticscholar.org/paper/7c571fefa57c3dc36f01918726f2f9824f87abbb,"Bitcoin was conceptualized in response to perceived shortcomings in the monetary and financial system, not only related to large financial institutions but also to discretionary decision making in monetary policy. Using high-frequency data and a weekly proxy VAR model, I study the impact of monetary policy on Bitcoin. The paper shows that monetary shocks have sizable effects on Bitcoin prices, but that these differ in sign: a disinflationary monetary tightening by the ECB lowers valuations – con",34,112,Social Science Research Network
4,Are Bitcoin and Gold a Safe Haven during COVID-19 and the 2022 Russia–Ukraine War?,"Ihsan Erdem Kayral, A. Jeribi, S. Loukil",2023,https://www.semanticscholar.org/paper/6b95e2dba7f133a5dc5cc76f5bb00c59e2395d64,Our investigation strives to unearth the best portfolio hedging strategy for the G7 stock indices through Bitcoin and gold using daily data relevant to the period 2 January 2016 to 5 January 2023. This study uses the DVECH-GARCH model to model dynamic correlation and then compute optimal hedge ratios and hedging effectiveness. The empirical findings show that Bitcoin and gold were rather effective hedge assets before COVID-19 and diversifiers during the pandemic and Russia–Ukraine war. From hedg,44,82,Journal of Risk and Financial Management
5,Predicting Bitcoin Prices Using Machine Learning,"Athanasia Dimitriadou, A. Gregoriou",2023,https://www.semanticscholar.org/paper/17468b7092a2e5fc0f09d194026aae7252fe644a,"In this paper we predict Bitcoin movements by utilizing a machine-learning framework. We compile a dataset of 24 potential explanatory variables that are often employed in the finance literature. Using daily data from 2nd of December 2014 to July 8th 2019, we build forecasting models that utilize past Bitcoin values, other cryptocurrencies, exchange rates and other macroeconomic variables. Our empirical results suggest that the traditional logistic regression model outperforms the linear support",39,31,Entropy
6,Diversification evidence of bitcoin and gold from wavelet analysis,"Rubaiyat Ahsan Bhuiyan, Afzol Husain, Changyong Zhang",2023,https://www.semanticscholar.org/paper/351363f0406ef13556da250ef1e30cb6a4013cbc,"To measure the diversification capability of Bitcoin, this study employs wavelet analysis to investigate the coherence of Bitcoin price with the equity markets of both the emerging and developed economies, considering the COVID-19 pandemic and the recent Russia-Ukraine war. The results based on the data from January 9, 2014 to May 31, 2022 reveal that compared with gold, Bitcoin consistently provides diversification opportunities with all six representative market indices examined, specifically ",35,139,Financial Innovation
7,Bitcoin and Beyond,,2022,https://www.semanticscholar.org/paper/0ba48c173818397e0cb92b7d3e93e4c73b9ea5a8,,73,0,Annual Review of Financial Economics
8,Risk Transmissions between Bitcoin and Traditional Financial Assets during the COVID-19 Era: The Role of Global Uncertainties,"Ahmed H. Elsayed, Giray Gozgor, Chi Keung Marco Lau",2022,https://www.semanticscholar.org/paper/4eb8ef70ca301552b09dbbc449011e62fb2d419c,"This paper examines return and volatility connectedness between Bitcoin, traditional financial assets (Crude Oil, Gold, Stocks, Bonds, and the United States Dollar-USD), and major global uncertainty measures (the Economic Policy Uncertainty-EPU, the Twitter-based Economic Uncertainty-TEU, and the Volatility Index-VIX) from April 29, 2013, to June 30, 2020. To this end, the Time-Varying Parameter Vector Autoregression (TVP-VAR) model, dynamic connectedness approaches, and network analyses are use",170,56,Social Science Research Network
9,Bitcoin Proof of Stake: A Peer-to-Peer Electronic Cash System,,2020,https://www.semanticscholar.org/paper/433561f47f9416a6500c8350414fdd504acd2e5e,,626,5,
10,Crypto Trading and Bitcoin Prices: Evidence from a New Database of Retail Adoption,"Raphael A. Auer, Giulio Cornelli, S. Doerr, Jon Frost, L. Gambacorta",2025,https://www.semanticscholar.org/paper/e2e64e93f133891bbbd1c3c5b4e5fb799b230670,"Prices for cryptocurrencies have undergone multiple boom-bust cycles, together with ongoing entry by retail investors. To investigate the drivers of crypto adoption, we assemble a novel publicly available database on retail use of crypto exchange apps at daily frequency for 95 countries over 2015–22. We show that a rising Bitcoin price is followed by entry of new users, in particular among more risk-seeking segments of the population. Moreover, we find that when prices rise larger holders sell, ",46,62,Social Science Research Network
