rank,sugestao,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,bitcoin hoje,1251,QUERY,bitcoin,br,chrome,web
2,bitcoin dolar,1250,QUERY,bitcoin,br,chrome,web
3,bitcoin hoje dólar,750,QUERY,bitcoin,br,chrome,web
4,bitcoin usd,601,QUERY,bitcoin,br,chrome,web
5,bitcoin cotação,600,QUERY,bitcoin,br,chrome,web
6,bitcoin hoje real,559,QUERY,bitcoin,br,chrome,web
7,bitcoin real,558,QUERY,bitcoin,br,chrome,web
8,bitcoin price,557,QUERY,bitcoin,br,chrome,web
9,bitcoin price usd,556,QUERY,bitcoin,br,chrome,web
10,bitcoin grafico,555,QUERY,bitcoin,br,chrome,web
11,bitcoin noticias,554,QUERY,bitcoin,br,chrome,web
12,bitcoin bank é seguro,553,QUERY,bitcoin,br,chrome,web
13,bitcoin em queda,552,QUERY,bitcoin,br,chrome,web
14,bitcoin red pill,551,QUERY,bitcoin,br,chrome,web
15,bitcoin usd hoje,550,QUERY,bitcoin,br,chrome,web
