rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,licenca_spdx,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,owner_url,owner_avatar,has_issues,has_projects,has_wiki,has_pages,has_downloads,allow_forking,is_template,web_commit_signoff_required,visibility,forks_url,clone_url,homepage,termo
1,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,87195,87195,38340,C++,2010-12-19T15:16:43Z,2025-12-12T02:35:29Z,2025-12-11T19:56:24Z,300294,MIT License,MIT,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",714,master,False,False,False,False,bitcoin,Organization,https://github.com/bitcoin,https://avatars.githubusercontent.com/u/528860?v=4,True,True,False,False,False,True,False,False,public,https://api.github.com/repos/bitcoin/bitcoin/forks,https://github.com/bitcoin/bitcoin.git,https://bitcoincore.org/en/download,bitcoin
2,freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot",45224,45224,9387,Python,2017-05-17T23:48:53Z,2025-12-12T03:41:53Z,2025-12-11T17:24:03Z,662990,GNU General Public License v3.0,GPL-3.0,"algorithmic-trading, bitcoin, cryptocurrencies, cryptocurrency, freqtrade, python, telegram-bot, trade, trading-bot",44,develop,False,False,False,False,freqtrade,Organization,https://github.com/freqtrade,https://avatars.githubusercontent.com/u/37536846?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/freqtrade/freqtrade/forks,https://github.com/freqtrade/freqtrade.git,https://www.freqtrade.io,bitcoin
3,ccxt/ccxt,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go ,40154,40154,8411,Python,2017-05-14T15:41:56Z,2025-12-12T03:07:09Z,2025-12-12T00:40:26Z,5880497,MIT License,MIT,"altcoin, api, arbitrage, bitcoin, bot, btc, crypto, cryptocurrencies, cryptocurrency, eth, ethereum, exchange, invest, library, market-data, memecoin, merchant, strategy, trade, trading",1303,master,False,False,False,False,ccxt,Organization,https://github.com/ccxt,https://avatars.githubusercontent.com/u/31901609?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/ccxt/ccxt/forks,https://github.com/ccxt/ccxt.git,https://docs.ccxt.com,bitcoin
4,bitcoinbook/bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,Mastering Bitcoin 3rd Edition - Programming the Open Blockchain,24935,24935,6202,HTML,2013-08-11T23:18:28Z,2025-12-11T15:16:18Z,2024-12-26T18:18:32Z,62974,Other,NOASSERTION,"bitcoin, bitcoin-api, blockchain, oreilly, oreilly-books",188,develop,False,False,False,False,bitcoinbook,Organization,https://github.com/bitcoinbook,https://avatars.githubusercontent.com/u/5091621?v=4,True,False,False,False,True,True,False,False,public,https://api.github.com/repos/bitcoinbook/bitcoinbook/forks,https://github.com/bitcoinbook/bitcoinbook.git,https://aantonop.com/books,bitcoin
5,HelloZeroNet/ZeroNet,https://github.com/HelloZeroNet/ZeroNet,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network,18700,18700,2289,JavaScript,2015-01-12T00:41:38Z,2025-12-11T11:20:51Z,2024-01-31T07:47:58Z,13772,Other,NOASSERTION,"anonymity, anticensorship, bitcoin, bittorrent, decentralized, internet-freedom, p2p, python, realtime, tor, torrent, web",776,py3,False,False,False,False,HelloZeroNet,User,https://github.com/HelloZeroNet,https://avatars.githubusercontent.com/u/10350359?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/HelloZeroNet/ZeroNet/forks,https://github.com/HelloZeroNet/ZeroNet.git,https://zeronet.io,bitcoin
6,bbfamily/abu,https://github.com/bbfamily/abu,阿布量化交易系统(股票，期权，期货，比特币，机器学习) 基于python的开源量化交易，量化投资架构,15558,15558,4307,Python,2016-09-19T15:31:53Z,2025-12-12T01:18:00Z,2025-03-11T05:57:03Z,96507,GNU General Public License v3.0,GPL-3.0,"algorithmic-trading, bitcoin, machine-learning, matplotlib, numpy, pandas, quant, quantitative-trading, stock, trade, trading",3,master,False,False,False,False,bbfamily,User,https://github.com/bbfamily,https://avatars.githubusercontent.com/u/6149331?v=4,False,True,True,False,True,True,False,False,public,https://api.github.com/repos/bbfamily/abu/forks,https://github.com/bbfamily/abu.git,http://www.abuquant.com/,bitcoin
7,UFund-Me/Qbot,https://github.com/UFund-Me/Qbot,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,15367,15367,2192,Jupyter Notebook,2022-11-23T01:37:43Z,2025-12-12T01:45:05Z,2025-07-06T12:49:31Z,405761,MIT License,MIT,"backtest, bitcoin, blockchain, deep-learning, fintech, funds, machine-learning, pytrade, qlib, quant-trade, quant-trader, quantitative-finance, quantitative-trading, quantization, strategies, trade-bot, trademarks",70,main,False,False,False,False,UFund-Me,Organization,https://github.com/UFund-Me,https://avatars.githubusercontent.com/u/75005393?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/UFund-Me/Qbot/forks,https://github.com/UFund-Me/Qbot.git,https://github.com/Charmve,bitcoin
8,hummingbot/hummingbot,https://github.com/hummingbot/hummingbot,Open source software that helps you create and deploy high-frequency crypto trading bots,15312,15312,4195,Python,2019-04-02T21:41:52Z,2025-12-12T03:41:51Z,2025-12-10T14:20:27Z,560019,Apache License 2.0,Apache-2.0,"algotrading, arbitrage, backtesting, bitcoin, bot, crypto, cryptocurrency, cython, dex, docker, ethereum, hft, marketmaking, orderbook, python, trading",308,master,False,False,False,False,hummingbot,Organization,https://github.com/hummingbot,https://avatars.githubusercontent.com/u/88165212?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/hummingbot/hummingbot/forks,https://github.com/hummingbot/hummingbot.git,https://hummingbot.org,bitcoin
9,solana-labs/solana,https://github.com/solana-labs/solana,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",14683,14683,5418,Rust,2018-02-14T04:26:27Z,2025-12-12T00:05:45Z,2025-01-22T19:41:54Z,448781,Apache License 2.0,Apache-2.0,"bitcoin, blockchain, ledger, performance-blockchain, rust, rustc, solana",265,master,True,False,False,False,solana-labs,Organization,https://github.com/solana-labs,https://avatars.githubusercontent.com/u/35608259?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/solana-labs/solana/forks,https://github.com/solana-labs/solana.git,https://solanalabs.com,bitcoin
10,bitcoin/bips,https://github.com/bitcoin/bips,Bitcoin Improvement Proposals,10412,10412,5834,Wikitext,2013-11-19T17:18:41Z,2025-12-12T02:29:48Z,2025-12-09T16:33:04Z,18482,,,,70,master,False,False,False,False,bitcoin,Organization,https://github.com/bitcoin,https://avatars.githubusercontent.com/u/528860?v=4,False,False,True,False,True,True,False,False,public,https://api.github.com/repos/bitcoin/bips/forks,https://github.com/bitcoin/bips.git,,bitcoin
11,askmike/gekko,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/,10166,10166,3882,JavaScript,2013-05-12T22:52:01Z,2025-12-11T10:36:51Z,2020-02-16T14:25:26Z,6046,MIT License,MIT,"bitcoin, exchange, gekko, trading-bot, trading-strategies",0,develop,True,False,False,False,askmike,User,https://github.com/askmike,https://avatars.githubusercontent.com/u/969743?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/askmike/gekko/forks,https://github.com/askmike/gekko.git,,bitcoin
12,getumbrel/umbrel,https://github.com/getumbrel/umbrel,"A beautiful home server OS for self-hosting with an app store. Buy a pre-built Umbrel Home with umbrelOS, or install on a Raspberry Pi or any x86 system.",9875,9875,664,TypeScript,2020-07-06T18:40:02Z,2025-12-11T23:34:02Z,2025-11-05T11:06:25Z,48774,Other,NOASSERTION,"bitcoin, docker, home-server, homeserver, lightning, personal-server, raspberry-pi, raspberrypi, self-hosted, self-hosting, selfhosted",367,master,False,False,False,False,getumbrel,Organization,https://github.com/getumbrel,https://avatars.githubusercontent.com/u/59408891?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/getumbrel/umbrel/forks,https://github.com/getumbrel/umbrel.git,https://umbrel.com,bitcoin
