rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,bitcoin hoje,a-z,1250,QUERY,bitcoin,br,chrome,yt
2,bitcoinheiros,a-z,650,QUERY,bitcoin,br,chrome,yt
3,bitcoin ao vivo,a-z,602,QUERY,bitcoin,br,chrome,yt
4,bitcoin live,a-z,601,QUERY,bitcoin,br,chrome,yt
5,bitcoin caindo,a-z,600,QUERY,bitcoin,br,chrome,yt
6,bitcoin hoje ao vivo,a-z,559,QUERY,bitcoin,br,chrome,yt
7,bitcoin hyper,a-z,558,QUERY,bitcoin,br,chrome,yt
8,bitcoin autocustódia,a-z,557,QUERY,bitcoin,br,chrome,yt
9,bitcoins,a-z,556,QUERY,bitcoin,br,chrome,yt
10,bitcoin miner,a-z,555,QUERY,bitcoin,br,chrome,yt
