rank,title,link,source,source_url,published,description,image,content,termo,idioma,pais,metodo
1,Pedro treina com bola ao lado dos companheiros na reapresentação do Flamengo,https://www.espn.com.br/futebol/flamengo/artigo/_/id/16072742/pedro-treina-bola-lado-companheiros-reapresentacao-flamengo,Espn Brazil,https://www.espn.com.br,2025-12-11T18:47:00Z,Atacante Pedro foi a novidade no Flamengo e treinou com bola ao lado dos demais atletas do elenco,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F1211%2Fr1588194_1296x729_16%2D9.jpg,"Um dia depois da classificação contra o Cruz Azul, o Flamengo treinou nesta quinta-feira (11), no Qatar, e segue a preparação para o duelo contra o Pyramids FC, pela semifinal da Copa Intercontinental.
O atacante Pedro foi a novidade e treinou com bo... [997 chars]",bola,pt,br,api
2,"Curitiba oferece piscinas, lazer nos parques e festa do Maestro da Bola no fim de semana",https://www.tribunapr.com.br/noticias/curitiba-regiao/curitiba-oferece-piscinas-lazer-nos-parques-e-festa-do-maestro-da-bola-no-fim-de-semana/,Tribuna Pr,https://www.tribunapr.com.br,2025-12-11T18:03:00Z,"A Secretaria Municipal do Esporte, Lazer e Juventude (SMELJ) de Curitiba promoverá um fim de semana repleto de atividades gratuitas para encerrar o ano de Leia mais na Tribuna do Paraná",https://www.tribunapr.com.br/wp-content/uploads/2025/12/11150244/00535650-scaled.jpg,"A Secretaria Municipal do Esporte, Lazer e Juventude (SMELJ) de Curitiba promoverá um fim de semana repleto de atividades gratuitas para encerrar o ano de 2025. A programação inclui os programas Viva o Sábado, com atividades nas piscinas municipais, ... [1662 chars]",bola,pt,br,api
3,"Flamengo reage à nota de Palmeiras e outros sobre gramado sintético: 'Se é para machucar, a bola podia ser de ferro'",https://www.espn.com.br/futebol/flamengo/artigo/_/id/16072496/flamengo-reage-nota-palmeiras-outros-clubes-gramado-sintetico-e-aponta-fatos-fakes,Espn Brazil,https://www.espn.com.br,2025-12-11T17:55:00Z,Flamengo elenca seis 'fatos' e 'fakes' sobre debate dos gramados sintéticos e posta montagem do Allianz Parque,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F1010%2Fr1558305_1296x729_16%2D9.jpg,"O debate sobre a utilização de gramados sintéticos no futebol brasileiro esquentou novamente nesta quarta-feira (11). Após o Palmeiras e mais quatro clubes emitirem um comunicado conjunto em defesa do campo artificial, o Flamengo fez uma publicação a... [2884 chars]",bola,pt,br,api
4,Bola de Ouro detona comportamento de Salah no Liverpool: 'Cérebro de inseto',https://www.otempo.com.br/sports/futebol-internacional/2025/12/11/bola-de-ouro-detona-comportamento-de-salah-no-liverpool-cerebro-de-inseto,O Tempo,https://www.otempo.com.br,2025-12-11T16:55:40Z,Marco van Basten criticou a postura do camisa 11 dos Reds,https://www.otempo.com.br/content/dam/otempo/editorias/sports/futebol-internacional/2025/12/bola-de-ouro-detona-comportamento-de-salah-no-liverpool-cerebro-de-inseto.jpeg,"A crise interna no Liverpool entre Mohamed Salah e Arne Slot segue repercutindo na Europa. A reação do atacante egípcio após três partidas consecutivas no banco abriu espaço para avaliações de ex-jogadores, entre eles Marco van Basten, que criticou a... [1728 chars]",bola,pt,br,api
5,Pedro participa de treino do Flamengo com bola no Catar,https://www.futebolinterior.com.br/pedro-participa-de-treino-do-flamengo-com-bola-no-catar/,Futebol Interior,https://www.futebolinterior.com.br,2025-12-11T16:49:30Z,Pedro participa de treino do Flamengo após vitória sobre o Cruz Azul e pode ser opção na próxima fase da Copa Intercontinental,https://images.futebolinterior.com.br/2025/12/wPDFLAD8-Pedro.webp,"Rio de Janeiro, RJ, 11 – O torcedor do Flamengo tem motivos para estar um pouco mais otimista nesta quinta-feira. Em recuperação de uma grave lesão muscular na coxa esquerda, o atacante Pedro foi a novidade no treinamento. Ele não sentiu limitação no... [1301 chars]",bola,pt,br,api
6,Bola de Ouro detona comportamento de Salah no Liverpool: 'Cérebro de inseto',https://www.lance.com.br/futebol-internacional/bola-de-ouro-detona-comportamento-de-salah-no-liverpool-cerebro-de-inseto.html,LANCE,https://www.lance.com.br,2025-12-11T16:46:28Z,"A crise interna no Liverpool entre Mohamed Salah e Arne Slot segue repercutindo na Europa, e o egípcio foi criticado pela postura.","https://lncimg.lance.com.br/cdn-cgi/image/width=1280,height=720,quality=75,fit=cover,format=webp/uploads/2025/12/AFP__20251019__79BU8H8__v1__HighRes__FblEngPrLiverpoolManUtd-scaled-aspect-ratio-512-320.jpg","A crise interna no Liverpool entre Mohamed Salah e Arne Slot segue repercutindo na Europa. A reação do atacante egípcio após três partidas consecutivas no banco abriu espaço para avaliações de ex-jogadores, entre eles Marco van Basten, que criticou a... [2363 chars]",bola,pt,br,api
7,Pedro treina com bola ao lado dos companheiros na reapresentação do Flamengo,https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/12/11/pedro-treina-com-bola-ao-lado-dos-companheiros-na-reapresentacao-do-flamengo.htm,UOL,https://www.uol.com.br,2025-12-11T16:35:32Z,"Veja resultados, notícias, entrevistas, fotos, vídeos e os bastidores do esporte. Acompanhe ao vivo os principais eventos esportivos no Brasil e do mundo.",https://conteudo.imguol.com.br/c/_layout/v3/jupiter/share.png,"Um dia depois da classificação contra o Cruz Azul, o Flamengo treinou nesta quinta-feira, no Catar, e segue a preparação para o duelo contra o Pyramids pela Copa Intercontinental. O atacante Pedro foi a novidade e treinou com bola ao lado dos demais ... [946 chars]",bola,pt,br,api
8,Pedro é a novidade no treino do Flamengo e participa de atividade com bola no Catar,https://www.uol.com.br/esporte/ultimas-noticias/agencia/2025/12/11/pedro-e-a-novidade-no-treino-do-flamengo-e-participa-de-atividade-com-bola-no-catar.htm,UOL,https://www.uol.com.br,2025-12-11T16:07:00Z,"Veja resultados, notícias, entrevistas, fotos, vídeos e os bastidores do esporte. Acompanhe ao vivo os principais eventos esportivos no Brasil e do mundo.",https://conteudo.imguol.com.br/c/_layout/v3/jupiter/share.png,"O torcedor do Flamengo tem motivos para estar um pouco mais otimista nesta quinta-feira. Em recuperação de uma grave lesão muscular na coxa esquerda, o atacante Pedro foi a novidade no treinamento. Ele não sentiu limitação nos movimentos e fez ainda ... [1405 chars]",bola,pt,br,api
9,Cruzeiro: Jardim reclama de mão de Memphis na bola em gol do Corinthians,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-brasil/cruzeiro-jardim-reclama-de-mao-de-memphis-na-bola-em-gol-do-corinthians/,CNN Brasil,https://www.cnnbrasil.com.br,2025-12-11T15:33:45Z,Técnico da Raposa publicou vídeo nas redes sociais para apontar irregularidade no tento alvinegro,https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/12/gol-memphis-corinthians-cruzeiro_54f39e-e1765467001685.webp?w=1000&h=563&crop=1,"Técnico do Cruzeiro, Leonardo Jardim usou as redes sociais nesta quinta-feira (11) para reclamar de uma irregularidade no gol marcado pelo Corinthians contra o time mineiro nesta quarta (10).
O treinador compartilhou um vídeo que circula nas redes so... [386 chars]",bola,pt,br,api
10,Torcedores do Vasco apostam em herói improvável contra o Fluminense,https://www.lance.com.br/fora-de-campo/torcedores-do-vasco-apostam-em-heroi-improvavel-contra-o-fluminense.html,LANCE,https://www.lance.com.br,2025-12-11T14:35:46Z,"Apoiado na sina dos heróis improváveis, a torcida do Vasco já escolheu sua aposta contra o Fluminense. A bola rola às 20h","https://lncimg.lance.com.br/cdn-cgi/image/width=1280,height=720,quality=75,fit=cover,format=webp/uploads/2025/12/Torcida-do-Vasco-em-Sao-Januario-aspect-ratio-512-320.jpg","Apoiado na sina dos heróis improváveis, a torcida do Vasco já escolheu sua aposta contra o Fluminense: Pumita Rodríguez. O uruguaio ganha uma nova chance na lateral-esquerda após a lesão do titular Lucas Piton e busca repetir o bom desempenho.
contin... [1578 chars]",bola,pt,br,api
