rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
1,Cargo-selective and adaptive delivery of nucleic acid therapeutics by bola-amphiphilic dendrimers,"Jiaxuan Chen, Da-Ni Zhu, Baoping Lian, K. Shi, Peng Chen, Ying Li, Wenyi Lin, Ling Ding, Qiulin Long, Yang Wang","['Jiaxuan Chen', 'Da-Ni Zhu', 'Baoping Lian', 'K. Shi', 'Peng Chen', 'Ying Li', 'Wenyi Lin', 'Ling Ding', 'Qiulin Long', 'Yang Wang', 'E. Laurini', 'Wenjun Lan', 'Yun Li', 'Aura Tintaru', 'Caoyun Ju', 'Can Zhang', 'S. Pricl', 'J. Iovanna', 'Xiaoxuan Liu', 'Ling Peng']",2023,https://www.semanticscholar.org/paper/1512a8a7299a68c9be4646c9ee0431613a659323,"Significance Tailor-made functional materials to fulfill specific requirements for different applications are of great importance in material and biomedical research. In this study, we report bola-amphiphilic dendrimers for cargo-selective delivery of DNA and small interfering RNA, both important nucleic acid therapeutics used in gene therapy. The observed distinct cargo-selective delivery performance can be ascribed to the differences in the size of nucleic acid cargos and the generation number of the dendrimer vectors. These factors dually impact the cooperative multivalent interaction in nucleic acid binding and release from the vector, thus leading to cargo-adaptive and selective delivery. This study will inspire further exploitation of tailor-made dendrimer platforms for the cargo-selective delivery of various therapeutics in precision medicine.",25,1,Proceedings of the National Academy of Sciences of the United States of America,Medicine,JournalArticle,2023-05-15,Proceedings of the National Academy of Sciences of the United States of America,1512a8a7299a68c9be4646c9ee0431613a659323,"{""PubMedCentral"": ""10214173"", ""DOI"": ""10.1073/pnas.2220787120"", ""CorpusId"": 258715662, ""PubMed"": ""37186846""}",True,https://doi.org/10.1073/pnas.2220787120,bola,1
2,Upaya Meningkatkan Perkembangan Motorik Kasar Anak Prasekolah melalui Permainan Lempar Tangkap Bola Kecil,"G. Gunawan, Masna Masna, I. P. Suwika, Zakiyyatul Imamah, Upaya Meningkatkan, Perkembangan Motorik Kasar, Anak Prasekolah, Permainan Lempar, Tangkap Bola Kecil","['G. Gunawan', 'Masna Masna', 'I. P. Suwika', 'Zakiyyatul Imamah', 'Upaya Meningkatkan', 'Perkembangan Motorik Kasar', 'Anak Prasekolah', 'Permainan Lempar', 'Tangkap Bola Kecil']",2024,https://www.semanticscholar.org/paper/9eb5ad3779b7edc7de278020d9295d3d0e389d83,"Aktif secara fisik memainkan peran dalam perkembangan fisik anak. Meskipun ada banyak bukti hubungan positif antara aktivitas fisik dan keterampilan motorik pada anak. Bagaimana aktivitas fisik yang seharusnya dilaksanakan untuk meningkatkan perkembangan keterampilan motorik kasar secara optimal masih kurang jelas. Penelitian ini bertujuan untuk melihat efektivitas permainan lempar tangkap bola kecil terhadap perkembangan motorik kasar anak prasekolah. Desain penelitian pre eksperimen dengan the one group pre test-post test, sampel penelitian anak prasekolah usia 4-6 tahun. Pengumpulan data dilakukan melalui observasi dan uji coba dengan analisis data menggunakan statistik deskriptif dan inferensial. Hasil penelitian menujukan, terdapat peningkatan perkembangan keterampilan motorik kasar antara sebelum dan sesudah diberikan perlakuan. Kesimpulannya, pemberian permainan lempar tangkap bola kecil secara rutin melalui pembelajaran memberikan pengaruh terhadap perkembangan motorik kasar anak prasekolah. Hasil penelitian ini menambah pengetahuan guru dan orang tua murid akan pentingnya permainan lempar tangkap bola kecil terhadap peningkatan kemampuan motorik kasar anak prasekolah. ",3,44,Jurnal Obsesi,None,JournalArticle,2024-05-21,Jurnal Obsesi : Jurnal Pendidikan Anak Usia Dini,9eb5ad3779b7edc7de278020d9295d3d0e389d83,"{""DOI"": ""10.31004/obsesi.v8i2.5393"", ""CorpusId"": 270372932}",True,https://obsesi.or.id/index.php/obsesi/article/download/5393/pdf,bola,1
3,BOLA: Near-optimal bitrate adaptation for online videos,"Kevin Spiteri, Rahul Urgaonkar, R. Sitaraman","['Kevin Spiteri', 'Rahul Urgaonkar', 'R. Sitaraman']",2016,https://www.semanticscholar.org/paper/fa8ae3cece8b35bcb31cf64ec30e20ebc2139c94,"Modern video players employ complex algorithms to adapt the bitrate of the video that is shown to the user. Bitrate adaptation requires a tradeoff between reducing the probability that the video freezes and enhancing the quality of the video shown to the user. A bitrate that is too high leads to frequent video freezes (i.e., rebuffering), while a bitrate that is too low leads to poor video quality. Video providers segment the video into short chunks and encode each chunk at multiple bitrates. The video player adaptively chooses the bitrate of each chunk that is downloaded, possibly choosing different bitrates for successive chunks. While bitrate adaptation holds the key to a good quality of experience for the user, current video players use ad-hoc algorithms that are poorly understood. We formulate bitrate adaptation as a utility maximization problem and devise an online control algorithm called BOLA that uses Lyapunov optimization techniques to minimize rebuffering and maximize video quality. We prove that BOLA achieves a time-average utility that is within an additive term O(1/V) of the optimal value, for a control parameter V related to the video buffer size. Further, unlike prior work, our algorithm does not require any prediction of available network bandwidth. We empirically validate our algorithm in a simulated network environment using an extensive collection of network traces. We show that our algorithm achieves near-optimal utility and in many cases significantly higher utility than current state-of-the-art algorithms. Our work has immediate impact on real-world video players and BOLA is part of the reference player implementation for the evolving DASH standard for video transmission.",776,19,IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications,Computer Science,"JournalArticle, Conference",2016-01-25,IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications,fa8ae3cece8b35bcb31cf64ec30e20ebc2139c94,"{""DBLP"": ""conf/infocom/SpiteriUS16"", ""MAG"": ""2963191323"", ""ArXiv"": ""1601.06748"", ""DOI"": ""10.1109/INFOCOM.2016.7524428"", ""CorpusId"": 8294501}",True,https://arxiv.org/pdf/1601.06748,bola,1
4,Pengaruh Modifikasi Permainan Bola Voli terhadap Motivasi Belajar Siswa dalam Pembelajaran PJOK,"A. Dwi, . Putri1, Andhega Wijaya, Pendidikan Jasmani, Dan Kesehatan, Rekreasi, F. Ilmu, Keolahragaan Dan, Kesehatan, I. Artikel","['A. Dwi', '\uf02a. Putri1', 'Andhega Wijaya', 'Pendidikan Jasmani', 'Dan Kesehatan', 'Rekreasi', 'F. Ilmu', 'Keolahragaan Dan', 'Kesehatan', 'I. Artikel', 'Kata Kunci', 'Kasvol', 'Motivasi Modifikasi', 'P. Belajar', 'Pjok Permainan Bola', 'Voli']",2024,https://www.semanticscholar.org/paper/af334f54a997623da3f4aee717d4a641fe90932b,"Modifikasi permainan sangat penting dilakukan dalam upaya meningkatkan motivasi belajar siswa. Modifikasi permainan dalam pembelajaran PJOK merupakan sebuah inovasi dan kebutuhan untuk menarik siswa dalam melakukan pembelajaran sehingga siswa dapat termotivasi dan proses pembelajaran lebih efektif dan efisien. Modifikasi permainan bola voli yang diadaptasi adalah kasvol, kolaborasi antara kasti dan voli. Tujuan dari penelitian ini adalah untuk melihat apakah penggunaan permainan bola voli yang dimodifikasi memiliki pengaruh terhadap motivasi belajar siswa pada mata pelajaran PJOK. Penelitian ini menggunakan pendekatan kuantitatif, dengan menggunakan desain penelitian eksperimen semu dengan one group pre-test and post-test. Penelitian menggunakan 29 siswa kelas sebagai sampel. Hasil dari analisis data yang telah dilakukan peneliti menggunakan angket motivasi mendapatkan hasil rata-rata nilai pre-test 111,76 sedangkan hasil rata-rata nilai post-test sebesar 129,76. Signifikansi pre-test-post-test sebesar 0,00, Ho ditolak dan Ha diterima. Berdasarkan hasil temuan penelitian ini, modifikasi permainan bola voli dengan kasvol dapat memengaruhi motivasi belajar siswa. Modifikasi permainan bola voli dapat meningkatkan motivasi belajar siswa dalam pembelajaran PJOK dengan peningkatan rata-rata sebesar 18.",2,19,SPRINTER: Jurnal Ilmu Olahraga,None,JournalArticle,2024-04-26,SPRINTER: Jurnal Ilmu Olahraga,af334f54a997623da3f4aee717d4a641fe90932b,"{""DOI"": ""10.46838/spr.v5i1.482"", ""CorpusId"": 271072309}",False,,bola,1
5,Efektivitas Metode Mengajar Resiprokal Dalam Meningkatkan Kemampuan Menggiring Bola,"Oktaffi Arinna, Noer Manasikana, Andhika Af’idah, Gunawan Mayasari, M. Faizah, Tuti Nur, Junaidi Liana, Pengaruh Implementasi, Geoboard Melalui, Pendekatan Open-Ended","['Oktaffi Arinna', 'Noer Manasikana', 'Andhika Af’idah', 'Gunawan Mayasari', 'M. Faizah', 'Tuti Nur', 'Junaidi Liana', 'Pengaruh Implementasi', 'Geoboard Melalui', 'Pendekatan Open-Ended', 'Terhadap Peningkatan', 'Kemampuan Eksplorasi', 'Matematis Ditinjau', 'Dari Gender Martines', 'Fita Ruslaini', 'Nelyza', 'Penerapan Metode', 'Scaffolding Berbantuan Soal', 'Hots Untuk', 'Meningkatkan Kemampuan', 'Berpikir Kritis', 'Matematis Siswa', 'Pada Materi', 'Trigonometri Wulandari', 'Marina Nuraina', 'Eri Fadhilla', 'Erna Saputra', 'Isfayani', 'Pemanfaatan Legenda', 'Aceh Sebagai', 'Pembelajaran Nilai-Nilai', 'Cut Faizah Basri Nasionalisme Asriani', 'Edi Azwar', 'T. Riswan', 'Makmur', 'Banda Aceh', 'Muhammad Azzarkasyi', 'Syamsul Rizal', '•. Sosialisasi', 'P. Kesehatan', 'Melalui Pemanfaatan', 'Jahe Sebagai', 'Sumber Kesehatan', 'Lokal Bagi', 'Penderita Diabetes', 'Mellitus Asri Jumadewi', 'Yenni Sasmita', 'Muhammad Rasima', 'Aris Ridhwan', 'Munandar', '•. Meningkatkan', 'Penguasaan Kosakata', 'Siswa Dengan', 'Menggunakan Permainan', 'Teka-Teki Megi', 'Puspa Syahrir', 'Sari', 'Pengaruh Penerapan', 'Model Sq3r', 'Kemampuan Penguasaan', 'Konseptual Siswa', 'Evi Apriana', 'Samsul Rubiah', 'Ernawati Bahri', 'Peningkatan Pengetahuan', 'Dampak Sampah', 'Terhadap Diare', 'Uji Korelasi', 'Bagi Masyarakat', 'Di Gampong', 'Jawa Kota', 'Madya Banda', 'Aceh Nurlena Andalia', 'Roslina Yuliana Usman M. Ridhwan', 'Pembentukan Akhlak', 'Takzeem Keuguree', 'Pendekatan Sosiologi-Antropology', 'Pada Pendidikan', 'Pasantren Tradisional', 'Aceh Fahmi Arfan', 'Ida Hasanah', 'Mustafa Usman', 'Abubakar Anwar Irwan M. Chalis', 'M. Nur', 'Efektivitas Metode', 'Mengajar Resiprokal', 'Dalam Meningkatkan', 'Kemampuan Menggiring', 'Bola Rahmat', 'Putra Perdana', 'Pengaruh Ketulusan', 'Etos Kerja', 'Dan Kepuasan', 'Kerja Terhadap', 'Kinerja Guru', 'Milkessa Negeri', 'di Kota', 'Medan Rizki', 'Utami Batubara', 'Salman Bintang', 'Maret', 'M. Dr. Abubakar', '.Si', 'Dr. Dian Aswita', 'S.Pd.', 'M. Pd', 'Dr. Magdalena Mo', 'Ching Mok', 'Dr. Hj. Darmawati', 'Serambi Mekkah', 'Dr. Arfriani', 'S. Anita Noviyanti', 'Pd', 'Drs', 'Ridhwan Ismail', 'ID Scopus', 'Universitas Serambi Yulsafli - MA', 'ID Mekkah', 'Sinta', 'S. Anwar', 'Ojs Manager', 'ST. MT Universitas Munawir Munawir', 'English Language', 'A. 1. S. Irnanda', 'S. Sabrina', 'M. Appling.', 'Universitas Serambi Tran', 'Banda Mekkah', 'Aceh Indonesia', 'S. Muhammad Aulia', 'Dr. Asnawi Abdullah', 'BSc.PH', 'Negeri Jakarta', 'S. A. Muslem Daud', 'Dr. Faradiba Sari', 'S. Harahap', 'Dr. Muhammad Subhan', 'Aff.M.ASCE MLogM', 'King Abdul', 'Yunisrina Qismullah', 'S. Yusuf', 'Dr. H. Muhammad', 'Alfatih Suryadilaga', 'M. Ag', 'Jurnal Serambi']",2024,https://www.semanticscholar.org/paper/08a76b621f7f4636ac285245c69d8e55c177e416,"Penelitian ini bertujuan untuk membuktikan efektivitas metode mengajar resiprokal dalam meningkatkan keterampilan menggiring dalam sepak bola. Jenis Studi yang  digunakan ialah rancangan Penelitian Tindakan Kelas. Penelitian ini menggunakan populasi Sekolah Menengah Atas Abdi Wacana Pontianak Tahun ajaran 2021 - 2022 khususnya siswa kelas XI. Teknik sampling dengan sampling jenuh sehingga 39 orang siswa yang dijadikan sampel. Hasil penelitian menunjukan adanya peningkatan pada siklus I yaitu 15,38 % tuntas, namun masih banyak siswa yang belum tuntas dengan persentase 84,62%. Berdasarkan hasil pada siklus II menunjukan adanya perbedaan persentase yang dicapai pada saat pra siklus yakni 2,6%, dilanjutkan siklus I  15,38 % dan yang terakhir di siklus II menunjukan persentase 89,74% siswa tuntas dalam kemampuan menggiring bola. Kesimpulan bahwa kemampuan membawa bola dengan cara ditendang pada sepak bola bisa tingkatkan dengan menggunakan metode resiprokal dapat meningkatkan hasil belajar",1,30,JURNAL SERAMBI ILMU,None,JournalArticle,2024-02-06,Jurnal Serambi Ilmu,08a76b621f7f4636ac285245c69d8e55c177e416,"{""DOI"": ""10.32672/jsi.v24i1.922"", ""CorpusId"": 277302792}",True,https://doi.org/10.32672/jsi.v24i1.922,bola,1
6,Pengaruh Motivasi Terhadap Hasil Belajar Dribbling Permainan Bola Basket,"R. Prabowo, I. P. A. D. Hita, Fatimah Malini Lubis, Siti Patimah, Eskawida Eskawida, Siska Siska","['R. Prabowo', 'I. P. A. D. Hita', 'Fatimah Malini Lubis', 'Siti Patimah', 'Eskawida Eskawida', 'Siska Siska']",2023,https://www.semanticscholar.org/paper/78510644c86f390be5fe8c312bc15ea6ce154932,"Learning outcomes play a very important role in the teaching and learning process as they can be used as a standard to measure the extent of changes that occur in students after receiving learning experiences that can be observed and measured through the knowledge, attitudes, and skills they acquire. This study aims to determine the influence of motivation on the learning outcomes of dribbling in basketball. This study uses a correlational research design with a simple regression technique. The study was conducted at Triatma Mulya University with a sample size of 16 students in the Primary School Teacher Education Program. The data collection technique for the level of motivation in this study uses a questionnaire, while the learning outcomes are measured using the skills score in the Physical Education course with dribbling basketball material. The results of this study show that learning motivation has a positive influence on the learning outcomes of dribbling basketball material by 86.8%.",25,0,Journal of education,None,None,2023-03-15,Journal on Education,78510644c86f390be5fe8c312bc15ea6ce154932,"{""DOI"": ""10.31004/joe.v5i4.2253"", ""CorpusId"": 257642181}",True,https://jonedu.org/index.php/joe/article/download/2253/2033,bola,1
7,"New Perspectives on BolA: A Still Mysterious Protein Connecting Morphogenesis, Biofilm Production, Virulence, Iron Metabolism, and Stress Survival","Ana Alves da Silva, L. Galego, C. Arraiano","['Ana Alves da Silva', 'L. Galego', 'C. Arraiano']",2023,https://www.semanticscholar.org/paper/e020d9cf5ea500e96df2c5598a8d4c7f4d71131d,"The BolA-like protein family is widespread among prokaryotes and eukaryotes. BolA was originally described in E. coli as a gene induced in the stationary phase and in stress conditions. The BolA overexpression makes cells spherical. It was characterized as a transcription factor modulating cellular processes such as cell permeability, biofilm production, motility, and flagella assembly. BolA is important in the switch between motile and sedentary lifestyles having connections with the signaling molecule c-di-GMP. BolA was considered a virulence factor in pathogens such as Salmonella Typhimurium and Klebsiella pneumoniae and it promotes bacterial survival when facing stresses due to host defenses. In E. coli, the BolA homologue IbaG is associated with resistance to acidic stress, and in Vibrio cholerae, IbaG is important for animal cell colonization. Recently, it was demonstrated that BolA is phosphorylated and this modification is important for the stability/turnover of BolA and its activity as a transcription factor. The results indicate that there is a physical interaction between BolA-like proteins and the CGFS-type Grx proteins during the biogenesis of Fe-S clusters, iron trafficking and storage. We also review recent progress regarding the cellular and molecular mechanisms by which BolA/Grx protein complexes are involved in the regulation of iron homeostasis in eukaryotes and prokaryotes.",9,95,Microorganisms,Medicine,"Review, JournalArticle",2023-03-01,Microorganisms,e020d9cf5ea500e96df2c5598a8d4c7f4d71131d,"{""PubMedCentral"": ""10051749"", ""DOI"": ""10.3390/microorganisms11030632"", ""CorpusId"": 257326119, ""PubMed"": ""36985206""}",True,https://www.mdpi.com/2076-2607/11/3/632/pdf?version=1677668700,bola,1
8,TINGKAT KONSENTRASI DAN POWER OTOT TUNGKAI TERHADAP KETEPATAN SHOOTING SEPAK BOLA,"Adi Imam Sarifudin, Khoiril Anam, Heny Setyawati, Dhias Fajar Widya Permana, S. Mukarromah","['Adi Imam Sarifudin', 'Khoiril Anam', 'Heny Setyawati', 'Dhias Fajar Widya Permana', 'S. Mukarromah']",2023,https://www.semanticscholar.org/paper/a2805d1e423970f1b22a9219bb682d916dba02c1,"Shooting menjadi teknik yang paling berpengaruh dalam Sepak bola karena kemenangan tim diperoleh dari shooting yang menghasilkan poin. Shooting dipengaruhi oleh faktor fisik, teknik, serta psikologis yang menghasilkan tembakan yang kuat dan tendangan yang akurat. Kuatnya tendangan salah satunya dapat dilihat dengan seberapa kuat power otot tungkai yang dimiliki oleh pemain. Begitu juga dengan keakuratan shooting, kemampuan konsentrasi pemain mampu mempengaruhi keakuratan sebuah tendangan. Penelitian ini bertujuan untuk mengetahui apakah terdapat pengaruh tingkat konsentrasi dan power otot tungkai terhadap ketepatan shooting Sepak bola pada siswa Academy R19 Kendal. Populasi dalam penelitian ini sebanyak 20 siswa, dengan teknik penarikan sampel yaitu purposive sampling. Instrumen yang digunakan untuk mengukur tingkat konsentrasi yaitu grid concentration test, mengukur power otot tungkai menggunakan vertical jump test, dan mengukur ketepatan shooting menggunakan gawang bertarget. Analisis data yang digunakan adalah analisis regresi sederhana dan berganda, untuk mencari hubungan pada masing-maing variabel. Berdasarkan hasil analisis yang dilakukan, diperoleh hasil bahwa tingkat konsentrasi memiliki pengaruh yang signifikan terhadap ketepatan shooting yang dilakukan oleh siswa Academy R19 Kendal. Begitu juga power otot tungkai juga memiliki pengaruh yang signifikan terhadap ketepatan shooting yang dilakukan oleh siswa Academy R19 Kendal. Sehingga dapat disimpulkan bahwa tingkat konsentrasi dan power otot tungkai yang dimiliki oleh pemain Sepak bola mempengaruhi hasil ketepatan shooting yang dilakukan oleh pemain Sepak bola.",9,0,Jambura Health and Sport Journal,None,None,2023-02-28,Jambura Health and Sport Journal,a2805d1e423970f1b22a9219bb682d916dba02c1,"{""DOI"": ""10.37311/jhsj.v5i1.18421"", ""CorpusId"": 257276678}",True,https://ejurnal.ung.ac.id/index.php/jhsj/article/download/18421/6185,bola,1
9,"Identification of Anaplasma marginale, Babesia bovis and Babesia bigemina resistance alleles in Crioulo Lageano cattle using PCR-SBT and BoLA-DRB3 gene sequencing","M. Casa, G. Giovambattista, G. V. Fonteque, Ellen Lara Miguel, C. Vogel, L. Miletti, S. Takeshima, J. H. Fonteque","['M. Casa', 'G. Giovambattista', 'G. V. Fonteque', 'Ellen Lara Miguel', 'C. Vogel', 'L. Miletti', 'S. Takeshima', 'J. H. Fonteque']",2023,https://www.semanticscholar.org/paper/366ffd33baf40c72293f9fb4c75087341e8290d3,"Introduction The BoLA-DRB3 gene in cattle is associated with tolerance to several infectious diseases, such as neosporosis, dermatophilosis, leukosis, and mastitis. Methods This study used PCR-SBT and BoLA-DRB3 gene sequencing to determine the association between the presence or absence of Anaplasma marginale, Babesia bovis, and Babesia bigemina infections in 208 Crioulo Lageano cattle and alleles present in the population. The chi-square test and odds ratio analysis were employed to establish the association. Results Of the BoLA-DRB3 gene alleles present in the population, two alleles were significantly associated with resistance to A. marginale infections: BoLA-DRB3001:01 (p < 0.001; OR = 0.224), which had a frequency of 7.93%, and BoLA-DRB3024:06 (p = 0.007; OR < 0.00001), which had a frequency of 0.72%. Regarding B. bovis infection, the BoLA-DRB3*011:01 allele (p = 0.002; OR = 0.271) had a frequency of 6% in the population and was associated with resistance to the infection. None of the alleles was associated with resistance to infection by B. bigemina. Discussion The Crioulo Lageano breed has alleles that may confer resistance against infection by A. marginale and B. bovis.",8,47,Frontiers in Veterinary Science,Medicine,JournalArticle,2023-09-15,Frontiers in Veterinary Science,366ffd33baf40c72293f9fb4c75087341e8290d3,"{""PubMedCentral"": ""10540679"", ""DOI"": ""10.3389/fvets.2023.1256928"", ""CorpusId"": 262167398, ""PubMed"": ""37781282""}",True,https://www.frontiersin.org/articles/10.3389/fvets.2023.1256928/pdf?isPublishedV2=False,bola,1
10,Meningkatkan Kemampuan Hasil Belajar PJOK Materi Sepak Bola dengan Menerapkan Model Pembelajaraan Kooperatif TGT (Teams Games Tournament) Berbasis ICT,"Afthonul Fikri, I Putu Darmayasa, I Made Satyawan","['Afthonul Fikri', 'I Putu Darmayasa', 'I Made Satyawan']",2023,https://www.semanticscholar.org/paper/7265e7011e36caa9e94bac562564c6e35f687332,"Kemampuan siswa dalam mengikuti pelajaran PJOK khususnya pembelajaran bola pada permainan sepak bola  belum memenuhi kriteria ketuntasan maksimum KKM. Penelitian ini disusun untuk bertujuan untuk meningkatkan nilai hasil belajar dalam materi sepak bola pada peserta didik smp dengan menerapkan model pembelajaraan TGT Teams Games Tournament berbasis ICT pada peserta didik kelas VII A SMP. Metode yang di gunakan adalah penelitian tindakan kelas PTK.Teknik pengumpulan data menggunakan pengamataan langsung, Subjek dalam penelitian ini adalah seluruh peserta didik kelas VII A di SMP yang berjumlah 32 peserta didik. Urutan kegiatan penelitian ini terdiri dari perencanaan, pelaksanaan, pengamatan, dan refleksi. Teknik pengumpulan data menggunakan observasi dan tes. Instrumen pengumpulan data menggunakan RPP, lembar observasi, dan dokumentasi. Analisis datanya menggunakan deskripsi presentase. Hasil penelitian menunjukkan bahwa ketuntasan belajar aspek sikap pada siklus I yaitu 87%, pada siklus II 100%. Ketuntasan aspek belajar pengetahuaan siklus I 43%, Pada siklus II 100%. Ketuntasan pada aspek ketrampilaan siklus I 68%, Saiklus II 90%. Disimpulkan bahwa penerapan model pembelajaran kooperatif tipe TGT Teams Games Tournament berbasis ICT dapat meningkatkan hasil belajar materi sepak bola pada peserta didik kelas VII A SMP. Berdasarkan penelitian tindakan kelas ini diharapkan dapat digunakan sebagai bahan referensi dalam melaksanakaan proses pembelajaraan.",8,18,Jurnal Ilmu Keolahragaan Undiksha,None,None,2023-03-04,Jurnal Ilmu Keolahragaan Undiksha,7265e7011e36caa9e94bac562564c6e35f687332,"{""DOI"": ""10.23887/jiku.v10i3.53241"", ""CorpusId"": 257368863}",True,https://ejournal.undiksha.ac.id/index.php/JJIK/article/download/53241/24890,bola,1
