rank,title,link,object_id,score,comments,author,created,created_at_i,story_text,comment_text,num_points,story_id,story_title,story_url,parent_id,relevancy_score,termo
1,Roberto Gómez Bolaños ‘Chespirito’ Dies,http://www.latintimes.com/roberto-gomez-bolanos-chespirito-dies-mexican-legend-dead-85-heart-failure-169736,8672556,25,9,rhapsodyv,2014-11-28T23:46:37Z,1417218397,,,25,8672556,,,,0,bola
2,The Once and Future Bolaño,https://www.publicbooks.org/the-once-and-future-bolano/,19180240,9,6,pepys,2019-02-16T18:52:20Z,1550343140,,,9,19180240,,,,0,bola
3,How to Deploy a Node Application and Database to Heroku by Bolaji Ayodeji,https://bolajiayodeji.hashnode.dev/how-to-deploy-a-node-application-and-database-to-heroku-ck132inhz004kqns1mo2ixtph,21098622,5,0,bolajiayodeji,2019-09-28T05:22:36Z,1569648156,,,5,21098622,,,,0,bola
4,"Algorithmic Harm, Explained by Former Meta Vice President Brian Boland",https://overturned.substack.com/p/algorithmic-harm-explained-by-former,46042267,2,0,kellystonelake,2025-11-25T04:09:51Z,1764043791,,,2,46042267,,,,0,bola
5,A day with dispatch on a pilot boat with Shawn Boland(F bombs aplenty),https://www.youtube.com/watch?v=090sSt3vpqs,32572048,2,0,jelliclesfarm,2022-08-23T21:52:15Z,1661291535,,,2,32572048,,,,0,bola
6,"BOX Partners Up with Intel, Baidu Cloud and Nasdaq to Unveil Bolaxy",https://venturebeat.com/2018/12/02/box-partners-up-with-intel-baidu-cloud-and-nasdaq-to-unveil-bolaxy/,18586530,2,0,pplonski86,2018-12-03T05:25:58Z,1543814758,,,2,18586530,,,,0,bola
7,"Mirá, las bolas de Galileo tenían razón",http://www.tecniageek.com/2014/11/las-bolas-de-galileo.html,8590774,1,0,diegohc,2014-11-11T16:51:39Z,1415724699,,,1,8590774,,,,0,bola
8,"Real Time Reads: ""A Literary Adventure"" by Roberto Bolaño",https://realtimeshortstories.wordpress.com/2012/06/10/real-time-reads-a-literary-adventure-by-roberto-bolano/,44290921,1,0,wahnfrieden,2025-06-16T16:11:35Z,1750090295,,,1,44290921,,,,0,bola
9,A Deep Dive on the Most Critical API Vulnerability – BOLA,https://www.traceable.ai/blog-post/a-deep-dive-on-the-most-critical-api-vulnerability-bola-broken-object-level-authorization,36173305,1,0,mooreds,2023-06-03T03:04:11Z,1685761451,,,1,36173305,,,,0,bola
10,Granta: HTML5 Graphic Novel Based on a Bolano Story,http://nothingbutamovie.com/,3261362,1,0,mikecane,2011-11-21T15:19:41Z,1321888781,,,1,3261362,,,,0,bola
11,Wrap Technologies' Bolawrap remote handcuffs,https://wraptechnologies.com/,23206135,1,0,elsewhen,2020-05-16T18:56:49Z,1589655409,,,1,23206135,,,,0,bola
12,Hashnode Series: The What and How by Bolaji Ayodeji,https://townhall.hashnode.com/hashnode-series-the-what-and-how-ck1gsngtu0001pts13i9hb6aq,21201249,1,0,bolajiayodeji,2019-10-09T08:41:56Z,1570610516,,,1,21201249,,,,0,bola
13,Hashnode Channels by Bolaji Ayodeji,https://townhall.hashnode.com/introducing-hashnode-channels-ck1bwa0tw00m6v6s196r7g2c3,21156065,1,0,bolajiayodeji,2019-10-04T09:22:51Z,1570180971,,,1,21156065,,,,0,bola
14,"Hacktoberfest is here again, what are your plans? by Bolaji Ayodeji",https://hashnode.com/post/hacktoberfest-is-here-again-what-are-your-plans-ck17vf8tf006dsvs1afsz790n,21125112,1,0,bolajiayodeji,2019-10-01T13:33:02Z,1569936782,,,1,21125112,,,,0,bola
15,Women in Tech: Rachel Smith by Bolaji Ayodeji,https://townhall.hashnode.com/women-in-tech-rachel-smith-ck0yi0l4y0011uas1a5s40b9j,21094260,1,0,bolajiayodeji,2019-09-27T17:32:46Z,1569605566,,,1,21094260,,,,0,bola
16,Women in Tech: Liz Fong-Jones by Bolaji Ayodeji,https://hashnode.com/post/women-in-tech-liz-fong-jones-ck07uek4g002g4zs1yty5ihjy,20894182,1,0,bolajiayodeji,2019-09-06T09:13:38Z,1567761218,,,1,20894182,,,,0,bola
17,LIVE Casino Sbobet WAP Judi Bola Online,http://deposbobet.co/,13791470,1,0,Nonu,2017-03-04T16:13:51Z,1488644031,,,1,13791470,,,,0,bola
