engine,rank,title,link,snippet,age,language,meta_url,meta_desc,family_friendly,regiao,termo,tentativa
brave,1,"Bolas Penalty Oficiais | Futsal, Society e Campo | Linha Completa - Penalty",https://www.penalty.com.br/bolas,"Encontre <strong>bola</strong>s Penalty oficiais de futsal, society e campo. Alta durabilidade, precisão e aprovação em ligas. Confira lançamentos e ofertas.",,pt,www.penalty.com.br,,True,br,bola,1
brave,2,"Bolas de Futebol - Campo, Futsal, Society | Netshoes",https://www.netshoes.com.br/futebol/bolas,"Bola De Futebol na Netshoes com Frete Grátis, Entrega Rápida e Parcelamento em até 10 vezes sem juros no cartão. Confira as regras!",,pt,www.netshoes.com.br,,True,br,bola,1
brave,3,Ball - Wikipedia,https://en.wikipedia.org/wiki/Ball,"<strong>A ball</strong> is a round object (usually spherical, but sometimes ovoid) with several uses. It is used in ball games, where the play of the game follows the state of the ball as it is hit, kicked or thrown by players. Balls can also be used for simpler activities, such as catch or juggling.",5 days ago,en,en.wikipedia.org,,True,br,bola,1
brave,4,Bola De Campo - Umbro,https://www.umbro.com.br/acessorio/bola-de-campo,BOLAS · BOLSAS E MOCHILAS · GORROS E BONÉS · CANELEIRAS · LUVAS DE GOLEIRO · MEIAS E MEIÕES · APITO E CARTÕES · JOELHEIRA E COTOVELEIRA · FAIXAS DE CAPITÃO · Ver todos · CLUBES · ATHLETICO PR · CHAPECOENSE · FLUMINENSE · GRÊMIO · SANTOS ·,,pt,www.umbro.com.br,,True,br,bola,1
brave,5,Ofertas de bola | Centauro,https://www.centauro.com.br/busca/bola,"Bola de Basquete Indoor Puma SOBRE O PRODUTO Jogue como os profissionais com nossa <strong>bola</strong> de basquete indoor, uma peça de equipamento esportivo de alto desempenho projetada para jogos em ambientes fechados, para que você possa fazer o que mais ama, independentemente das condições externas.",,pt,www.centauro.com.br,,True,br,bola,1
brave,6,Bola de Futebol em Oferta,https://shopee.com.br/list/Bola/Futebol,We cannot provide a description for this page right now,,pt,shopee.com.br,,True,br,bola,1
brave,7,Voleibol | Mikasa - Qualidade e Tradição em Jogos de Alto Nível!,https://www.mikasa.com.br/voleibol,"As <strong>bola</strong>s de voleibol Mikasa são autoridade no mundo todo, na quadra, é a <strong>bola</strong> oficial das olimpíadas. Com <strong>bola</strong>s Mikasa você traz para o seu jogo toda a tecnologia, qualidade e desempenho das melhores <strong>bola</strong>s de voleibol do mundo, escolhida pelos maiores atletas e federações como <strong>bola</strong> oficial da categoria.",,pt,www.mikasa.com.br,,True,br,bola,1
brave,8,Bola,https://lista.mercadolivre.com.br/bola,"Já a <strong>bola</strong> de society S11 R2 XXlll proporciona excelente aderência ao campo, facilitando os movimentos dos jogadores. Para o futebol de campo, a marca oferece a <strong>bola</strong> Asa Branca R2 XXIII Oficial Nordeste, que possui características específicas para se adaptar às condições do jogo.",,pt,lista.mercadolivre.com.br,,True,br,bola,1
brave,9,Bolas | adidas Brasil,https://www.adidas.com.br/bolas,"Compre <strong>bola</strong>s adidas oficiais dos eventos de futebol mais importantes do mundo, ou do seu time favorito, e curta jogando em campo",,pt,www.adidas.com.br,,True,br,bola,1
brave,10,Bola | Decathlon,https://www.decathlon.com.br/equipamentos/bola,"Bola | Decathlon, a Decathlon online é a maior loja de esportes com produtos fitness, de musculação, ciclismo, futebol, corrida, camping, trilha, natação e mais. Confira!",,pt,www.decathlon.com.br,,True,br,bola,1
brave,11,Instituto Bola Pra Frente – Há 24 anos utilizando o esporte e a cultura como ferramentas para o desenvolvimento social.,https://bolaprafrente.org.br/,"crianças, adolescentes, jovens e suas famílias por meio da educação, utilizando o esporte e a cultura como ferramentas impulsionadoras. O Bola Pra Frente é uma Organização da Sociedade Civil fundada em 29 de junho de 2000 pelo tetracampeão mundial de futebol Jorginho. Há 24 anos, atuamos ...","July 22, 2025",pt,bolaprafrente.org.br,,True,br,bola,1
brave,12,Bola Copa do Mundo da FIFA 26™ Trionda Pro - Branco adidas | adidas Brasil,https://www.adidas.com.br/bola-copa-do-mundo-da-fifa-26-tm-trionda-pro/JD8021.html,A <strong>bola</strong> oficial da Copa do Mundo da FIFA 26™. Usada pelos maiores craques do mundo.,"October 15, 2025",pt,www.adidas.com.br,,True,br,bola,1
