rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,bola de futebol,a-z,601,QUERY,bola,br,chrome,web
2,bola de volei,a-z,600,QUERY,bola,br,chrome,web
3,bola de ouro,a-z,562,QUERY,bola,br,chrome,web
4,bola de basquete,a-z,561,QUERY,bola,br,chrome,web
5,bolas de natal,a-z,560,QUERY,bola,br,chrome,web
6,bolavip,a-z,559,QUERY,bola,br,chrome,web
7,bola de ouro 2025,a-z,558,QUERY,bola,br,chrome,web
8,bolacha de maizena,a-z,557,QUERY,bola,br,chrome,web
9,bola de futevôlei,a-z,556,QUERY,bola,br,chrome,web
10,bola de futsal,a-z,555,QUERY,bola,br,chrome,web
11,bolacha,a-z,554,QUERY,bola,br,chrome,web
12,bolao mega da virada,a-z,553,QUERY,bola,br,chrome,web
13,bolas de aniversário,a-z,552,QUERY,bola,br,chrome,web
14,bola da copa 2026,a-z,551,QUERY,bola,br,chrome,web
15,bola de pilates,a-z,550,QUERY,bola,br,chrome,web
