title,developer,rating,installs,id
"Bipa - Cartão, Pix & Bitcoin",Bipa,4.7,500.000+,
BitPay - Compre Cripto,"BitPay, Inc.",3.4,1.000.000+,com.bitpay.wallet
MoonPay: Buy Crypto & Bitcoin,MoonPay,3.8,1.000.000+,com.moonpay
Coinbase: Bitcoin & Ethereum,Coinbase Inc,4.6,50.000.000+,com.coinbase.android
Bybit: Compre Bitcoin & Cripto,Bybit,4.8,10.000.000+,com.bybit.app
Wise,Wise Payments Ltd.,4.9,10.000.000+,com.transferwise.android
Binance: Compre BTC e Cripto,Binance Inc.,4.8,100.000.000+,com.binance.dev
MetaMask - Crypto Wallet,MetaMask Web3 Wallet,4.7,10.000.000+,io.metamask
Bitybank: Bitcoin e Crypto,bity.com.br,4.8,100.000+,io.biscoint.lite
MB | Mercado Bitcoin: criptos,MERCADO BITCOIN SERVICOS DIGITAIS LTDA,4.5,1.000.000+,br.com.mercadobitcoin.android
