"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Wesley xrp","https://itunes.apple.com/br/reviews/id1617551173","1","Corretora me roubou 95 xrp ,","Fiz a retirada da corretora CoinEx e mandei pra corretora hantec , não sei oq aconteceu que a hantec não aceitou o depósito e devolveu no mesmo dia , já fazem 3 meses que estou enviando  e-mail pra eles já preenchi os dados de depósito não realizado 3 vezes e é só isso q eles me pedem pra fazer toda vez q mando e-mail, infelizmente aceitei que fui roubado pq não creditaram minhas moedas até hoje ! Eu ainda vou processar vocês deixa só a xrp subir pra 100$ aí eu já entro com o processo até lá já vale mais de 1000$ , diferente de você a corretora NovaDAX me devolveu as moedas com menos de 3 dias 472 moedas pq eh esqueci a tag memo na hora de depositar o erro foi meu mas me devolveram , diferente de vcs que o erro foi só de vocês eu não posso fazer nada está nas suas mãos , depositem minhas xrp !!!!!","0","2025-01-18T15:10:01-07:00","12201179370","3.9.5","0","1","Mais novos"
"LDJ 777","https://itunes.apple.com/br/reviews/id1673418096","1","A pior escolha","Só atrasei minhas negociações","0","2025-01-01T13:42:50-07:00","12133038504","3.9.2","0","1","Mais novos"
"FiinDusT","https://itunes.apple.com/br/reviews/id1025583069","5","Crashes","After the last update, I can't log in. It gets to the part where I enter my email and password, the app crashes after a while, I close it, my phone is an iPhone 7s, is there any solution?","0","2024-11-08T21:38:24-07:00","11928977334","3.6.2","0","1","Mais novos"
"Ashuabsuabsuahsia","https://itunes.apple.com/br/reviews/id346111190","3","Preço médio","Não acho muito intuitivo o App no celular. Onde se vê o preço médio de uma determinada cripto? Pelo menos não exige KYC","0","2024-04-10T21:23:50-07:00","11144728977","2.13.1","0","1","Mais novos"
"ggfhbvhngy","https://itunes.apple.com/br/reviews/id581221179","3","Biometria","Poderia colocar biometria para acessar o app. Nao tem nenhuma segurança neste sentido.

Please install biometry as security when opening the app.  Face id or touch finger!","0","2024-03-01T21:58:30-07:00","10998644566","2.11.0","0","1","Mais novos"
"01Jheff","https://itunes.apple.com/br/reviews/id1475938806","4","Difícil de usar","Achei difícil de usar a Exchange, mas obrigado disponibilizar o idioma Português na plataforma.","0","2024-01-20T13:38:15-07:00","10844803382","2.10.2","0","1","Mais novos"
"Sanya-","https://itunes.apple.com/br/reviews/id1553611381","5",".",".","0","2023-08-02T18:51:57-07:00","10213259753","2.2.0","0","1","Mais novos"
"gomezfy","https://itunes.apple.com/br/reviews/id1474867748","1","MELHORAR","Tradução pro português horrível","0","2023-05-21T22:49:43-07:00","9952751650","2.2.0","0","1","Mais novos"
"Mateusfn","https://itunes.apple.com/br/reviews/id297726916","5","where’s scan qr code button ??","i can’t find in home app the scan button to sign in my desktop browser","0","2023-04-14T16:27:50-07:00","9822414433","2.1.0","0","1","Mais novos"
"jardelpo","https://itunes.apple.com/br/reviews/id511775870","1","Idioma","Idioma.. Matheus bordin em parceria com o app, mostra em português pra PC, já pra celular não tem. Muito ruim pra ser usado.","0","2023-03-13T08:08:15-07:00","9709392451","1.7","0","1","Mais novos"
"Welger Tiengo","https://itunes.apple.com/br/reviews/id1300847905","1","Linguagem","Poxa vida põe o app em português meu querido!!!! 
Como assim ????","0","2023-03-01T02:52:32-07:00","9667388842","1.7","0","1","Mais novos"
"vbrito7@vini","https://itunes.apple.com/br/reviews/id425688930","1","Código acesso","Digito codigo de acesso recebido do e-mail e aparece mensagem que código não existe. Não comsigo concluir cadastro","0","2023-02-13T22:26:48-07:00","9615885665","1.6","0","1","Mais novos"
