"data","valor"
"2025-11-12","0"
"2025-11-13","0"
"2025-11-14","0"
"2025-11-15","0"
"2025-11-16","0"
"2025-11-17","0"
"2025-11-18","0"
"2025-11-19","0"
"2025-11-20","0"
"2025-11-21","0"
"2025-11-22","0"
"2025-11-23","0"
"2025-11-24","0"
"2025-11-25","0"
"2025-11-26","0"
"2025-11-27","0"
"2025-11-28","0"
"2025-11-29","0"
"2025-11-30","0"
"2025-12-01","86"
"2025-12-02","82"
"2025-12-03","0"
"2025-12-04","0"
"2025-12-05","0"
"2025-12-06","0"
"2025-12-07","0"
"2025-12-08","100"
"2025-12-09","0"
"2025-12-10","0"
"2025-12-11","0"
"2025-12-12","0"
