"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"mzapqlhfd","https://itunes.apple.com/br/reviews/id1403969957","5","Muito bom","Só as taxas que não me agradam muito.","0","2024-01-18T16:19:49-07:00","10837529530","3.52.1","0","3","Melhores avaliadas"
"Zequinha digital","https://itunes.apple.com/br/reviews/id1445351028","5","App excelente, recomendo muito … muito fácil e seguro movimentar as cripto","5","0","2025-03-14T19:37:16-07:00","12421640626","3.81.0","0","3","Melhores avaliadas"
"mbyheme","https://itunes.apple.com/br/reviews/id800263312","5","Prático","só uso o app para converter reais a pesos, e nisso ele cumpre muito bem a função, não depender de cambista ajuda muito no dia a dia. sempre que precisei do suporte recebi um ótimo atendimento","0","2025-11-27T04:50:22-07:00","13446708217","4.4.4","0","3","Melhores avaliadas"
"Nadinho1996","https://itunes.apple.com/br/reviews/id1181614977","5","Muito bom!","Gosto da simplicidade do app, não é o que tem as melhores taxas mais está bem fundamentado","0","2025-11-26T10:17:24-07:00","13444022636","4.4.4","0","3","Melhores avaliadas"
"mariahfulco","https://itunes.apple.com/br/reviews/id198963173","5","Excelente","A bitso manteve sua qualidade dentro do app, além da facilidade na usabilidade é a exchange mais segura de cripto. Recomendo !","0","2024-04-01T12:53:11-07:00","11110781859","3.57.0","0","3","Melhores avaliadas"
"Fontes de abundância","https://itunes.apple.com/br/reviews/id1723305937","5","Top","Nunca falha.","0","2025-01-30T18:12:29-07:00","12251084553","3.78.1","0","3","Melhores avaliadas"
"h.wso","https://itunes.apple.com/br/reviews/id311193182","4","Bug da interface","Após a nova atualização que alterou a interface do aplicativo, surgiu um problema: quando o tema do celular está configurado para Modo Escuro, a seção onde selecionamos a moeda para conversão fica completamente preta, impossibilitando até mesmo a visualização dos nomes das moedas.

A única forma de enxergar as opções é mudar o tema do aparelho para Modo Claro, o que torna o uso menos prático para quem prefere o modo escuro.","0","2025-12-05T22:24:37-07:00","13480623129","4.5.1","0","3","Melhores avaliadas"
"gabriel198","https://itunes.apple.com/br/reviews/id611966043","2","Pésimo","Fiz una transação de reais a pesos argentinos, e estou aguardando a quase 30h para que me enviem o dinheiro. Uma palhaçada com o cliente!","0","2024-04-04T12:35:14-07:00","11121707421","3.58.0","0","3","Melhores avaliadas"
"Maikon10","https://itunes.apple.com/br/reviews/id195208608","1","Saque travado","Abri a conta e infelizmente no primeiro dia, já bloquearam meu dinheiro e não deixa eu sacar nada mais! Fica dificil assim, não da pra confiar!","0","2025-10-22T11:26:52-07:00","13300588776","4.2.2","0","3","Melhores avaliadas"
"Palestr","https://itunes.apple.com/br/reviews/id1652908912","1","Não presta","Tome cuidado  não deixam sacar seu dinheiro e ainda te roubam","0","2025-10-18T05:31:00-07:00","13282152008","4.2.1","0","3","Melhores avaliadas"
