"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"vini-1987","https://itunes.apple.com/br/reviews/id1383125771","1","Don't spend money, they'll steal it","This game is abandoned. They delete the purchased content and charged again. The game is over, close your doors!","0","2025-12-03T06:24:00-07:00","13470406849","3.21.3","0","4","Piores avaliadas"
"gnrjnrnt","https://itunes.apple.com/br/reviews/id1631064790","1","Vampire update","No vampire, no five stars","0","2024-11-07T09:39:58-07:00","11923457942","3.15.15","0","4","Piores avaliadas"
"Hartkoff","https://itunes.apple.com/br/reviews/id310948984","1","Já foi um bom jogo","É necessário gastar muito dinheiro para jogar. A maioria das atividades requer que você assista um anúncio. Não é o mesmo jogo de seis anos atrás, por exemplo. BitLife se considera muito mais do que ele é, na verdade. E quer cobrar preços absurdos por um jogo básico. Não baixem, não vale a pena.","0","2025-01-19T06:18:16-07:00","12203716882","3.17.4","0","4","Piores avaliadas"
"Nathália R.","https://itunes.apple.com/br/reviews/id246632739","1","Muitos anúncios e muito caro","Impossível fazer qualquer coisa nesse jogo sem que tenha algum anúncio LONGO antes, além de que tudo é muito caro","0","2025-02-11T21:17:58-07:00","12300835527","3.17.7","0","4","Piores avaliadas"
"jvpioli","https://itunes.apple.com/br/reviews/id1392747142","1","Muito anuncio","E caro demais pela versao sem anuncio pra um jogo tao simples","0","2025-02-20T16:23:12-07:00","12335437082","3.17.9","0","4","Piores avaliadas"
"Talian.","https://itunes.apple.com/br/reviews/id1746143808","1","Game Turn Into A Money Exploit","I use to play this game a long time ago, before it’s turn into a money exploit, we hadn’t so many ads, the video ads are the most annoying ones, sometimes even when i don’t select the ads option a ads pop up in my screen, that’s disgusting, a long time ago while playing i were willing to pay for some content on the gane, but now… lord have mercy.","0","2025-04-11T21:46:48-07:00","12532873278","3.17.17","0","4","Piores avaliadas"
"Theus_Baldez","https://itunes.apple.com/br/reviews/id644946699","1","Too much adds","Trashy app, pay to play, every click is a add, it wasn’t that way before, so sad","0","2025-03-01T09:43:14-07:00","12369993300","3.17.12","0","4","Piores avaliadas"
"Rojaah12","https://itunes.apple.com/br/reviews/id1513715916","1","Just impossible to play","Impossible to play, almost every action requires that you watch an ad, you’ll spend more time watching ads than playing the game.","0","2025-04-22T00:34:07-07:00","12572070288","3.18.2","0","4","Piores avaliadas"
"Juju21ll","https://itunes.apple.com/br/reviews/id1593961240","1","Precisa da versão em português","…","0","2025-07-02T11:58:23-07:00","12844513943","3.19.3","0","4","Piores avaliadas"
"guilhermedamaral","https://itunes.apple.com/br/reviews/id1343494740","1","tudo tem que pagar","voce nao consegue fazer nada se nao pagar ou ver propaganda, pessimo","0","2025-07-27T11:08:20-07:00","12943537757","3.19.7","0","4","Piores avaliadas"
"Pectrotyp","https://itunes.apple.com/br/reviews/id308076950","1","Unplayable","There are simply too many ads to enjoy this game in its current state. A real shame.","0","2025-10-27T16:34:47-07:00","13322934229","3.21","0","4","Piores avaliadas"
"oten__","https://itunes.apple.com/br/reviews/id1541210264","2","muita compra no pp","está impossível jogar porque tudo que for pra fazer tu precisa pagar já gastei mais de R$300 e ainda tem que pagar pra fazer coisas específicas e tu não tem nem a opção de assistir um vídeo pra liberar","0","2024-10-19T21:41:15-07:00","11853585183","3.15.11","0","4","Piores avaliadas"
"Jujucmaciel","https://itunes.apple.com/br/reviews/id1494477628","3","Portuguese","Please make a Portuguese version.","0","2025-11-12T08:01:01-07:00","13389228277","3.21.1","0","4","Piores avaliadas"
"Mandyy230","https://itunes.apple.com/br/reviews/id613610676","3","Ótimo","É legal  mas tudo é pago agora, então fica difícil","0","2024-09-29T06:11:45-07:00","11777734952","3.15.8","0","4","Piores avaliadas"
"Idiots squad","https://itunes.apple.com/br/reviews/id1160519682","4","Love it but","I love this game but I wish we were allowed to date more than one person just to stir up drama","0","2024-10-07T09:21:41-07:00","11808068490","3.15.9","0","4","Piores avaliadas"
"Gabikkkp","https://itunes.apple.com/br/reviews/id856036470","4","Jogo muito bom, mas…","O jogo é muito bom, mas as adições pagas são muito caras, e depois de um tempo, a versão de graça chega a ficar muito limitada. De qualquer forma o jogo é bem bom!","0","2025-02-08T10:13:15-07:00","12286911874","3.17.7","0","4","Piores avaliadas"
"Naoteimportas","https://itunes.apple.com/br/reviews/id251215035","4","*MONEGASQUE* ROYAL FAMILY","“Monacan” doesn’t exist, the Royal Family is the Monegasque Royal Family. Do your research please. O jogo é super divertido, mas super viciante, e super irritante se você não pagar pra tirar as propagandas.","0","2024-10-19T16:36:34-07:00","11852869684","3.15.11","0","4","Piores avaliadas"
"Alexia Miranda","https://itunes.apple.com/br/reviews/id1469845356","4","SO MANY ADS","it gets boring at some point","0","2025-04-20T05:39:31-07:00","12565436430","3.18.2","0","4","Piores avaliadas"
"Sam Sanefuji","https://itunes.apple.com/br/reviews/id1600897160","5","cloud storage","It's a really good game and helps you pass the time in a fun way, the only thing that discourages me from continuing to play is always having to start from scratch when I reinstall. I changed my phone and lost absolutely everything I had, find a way to have cloud storage, please!","0","2025-03-14T21:17:04-07:00","12421896150","3.17.13","0","4","Piores avaliadas"
"IsaacOFC","https://itunes.apple.com/br/reviews/id1222900078","5","Great, but…","Please, add Boxer/MMA carrer.","0","2024-11-27T16:02:50-07:00","11999494391","3.16.3","0","4","Piores avaliadas"
