title,developer,rating,installs,id
Coinbase: Bitcoin & Ethereum,Coinbase Inc,4.6,50.000.000+,com.coinbase.android
"Bipa - Cartão, Pix & Bitcoin",Bipa,4.7,500.000+,bipa.app.bipa
MB | Mercado Bitcoin: criptos,MERCADO BITCOIN SERVICOS DIGITAIS LTDA,4.5,1.000.000+,br.com.mercadobitcoin.android
Binance: Compre BTC e Cripto,Binance Inc.,4.8,100.000.000+,com.binance.dev
Base: Antiga Coinbase Wallet,Coinbase Wallet,4.0,10.000.000+,org.toshi
Paybis: Cripto e Bitcoin BTC,PAYBIS,4.7,500.000+,com.paybis
Bybit: Compre Bitcoin & Cripto,Bybit,4.8,10.000.000+,com.bybit.app
BitPay - Compre Cripto,"BitPay, Inc.",3.4,1.000.000+,com.bitpay.wallet
MEXC: Compre Bitcoin e Cripto,MEXC Ltd,4.7,10.000.000+,com.mexcpro.client
Trust: Crypto & Bitcoin Wallet,"DApps Platform, Inc.",4.6,50.000.000+,com.wallet.crypto.trustapp
