author,rating,title,content,votes,date
h.wso,4,Bug da interface,"Após a nova atualização que alterou a interface do aplicativo, surgiu um problema: quando o tema do celular está configurado para Modo Escuro, a seção onde selecionamos a moeda para conversão fica completamente preta, impossibilitando até mesmo a visualização dos nomes das moedas.

A única forma de enxergar as opções é mudar o tema do aparelho para Modo Claro, o que torna o uso menos prático para quem prefere o modo escuro.",0,2025-12-05T22:24:37-07:00
Jam Br. 1234,1,Worst version ever,I have been using the app for the past 2 years with no problems. In this new version I can’t even talk with support. 20h and counting. How could you make such a bad update?!???!,0,2025-12-01T14:11:53-07:00
mbyheme,5,Prático,"só uso o app para converter reais a pesos, e nisso ele cumpre muito bem a função, não depender de cambista ajuda muito no dia a dia. sempre que precisei do suporte recebi um ótimo atendimento",0,2025-11-27T04:50:22-07:00
Nadinho1996,5,Muito bom!,"Gosto da simplicidade do app, não é o que tem as melhores taxas mais está bem fundamentado",0,2025-11-26T10:17:24-07:00
pablosuris,1,fiz um depósito de pix e o app não abre mais,"sempre usei essa corretora pra fazer envio de cripto mas tem muitos bugs, você vai escanear um qr code o app fecha, agora não consigo nem entrar no app e meu dinheiro está lá dentro que acabei de depositar, são erros que nunca foram corrigidos e estão aí até hoje.",0,2025-11-18T16:30:58-07:00
Kl2k25,1,CUIDADO PESSOAL,Então baixei depositei 50 e tals 2 dias depois hoje deposito 2k eles travam toda minha conta e não tenho suporte já contratei meu advogado aguardem.,0,2025-11-16T00:38:13-07:00
Horrível demais Zé não usem,1,Horrível,"Estou com meu dinheiro preso tem 4 dias, não consigo sacar já falei com suporte com tudo e todos eles não resolvem meu caso, vou processar essa empresa lixo que não resolveram meu problema não recomendo pra ngm usar, ainda por cima estou com um valor alto lá preso que Presciso usar e eles não libera",0,2025-11-12T23:00:47-07:00
Maikon10,1,Saque travado,"Abri a conta e infelizmente no primeiro dia, já bloquearam meu dinheiro e não deixa eu sacar nada mais! Fica dificil assim, não da pra confiar!",0,2025-10-22T11:26:52-07:00
Palestr,1,Não presta,Tome cuidado  não deixam sacar seu dinheiro e ainda te roubam,0,2025-10-18T05:31:00-07:00
ptrtng,1,App dá pau e restringem sua retirada.,"Como você vai vender ou comprar criptos se os valores para ""última hora"" nunca atualizam e quando voltam a funcionar o mercado já está em queda?!! 🤡😏",0,2025-08-08T09:00:09-07:00
guilhermefpf,1,UM LI….,"SIMPLESMENTE UMA M…, QUANDO ENTRA EM MANUTENÇÃO PIORA, SUPORTE HORRÍVEL USEM A NOVADAX…",0,2025-06-15T04:13:35-07:00
Crise profile,1,Não compensa,"Enfrentando problemas com desativação de saque. Você deixa o dinheiro, vai tirar toda vez tem que aguardar 3 dias úteis, porque desativaram o saque da conta !",0,2025-05-07T11:22:39-07:00
Zequinha digital,5,"App excelente, recomendo muito … muito fácil e seguro movimentar as cripto",5,0,2025-03-14T19:37:16-07:00
Fontes de abundância,5,Top,Nunca falha.,0,2025-01-30T18:12:29-07:00
smoke7676,1,Não consigo terminar o cadastro,"Simplesmente na hora de fazer o deposito na conta pede o número de celular, coloco certinho e fala que está tendo muitas solicitações e não vai, não consigo fazer transações no app.",0,2024-12-29T14:55:59-07:00
tchacatchabum,1,Botões não funcionam,"Nenhum botão funciona, exceto o que vai pra carteira no menu inferior. O resto não funciona",0,2024-11-26T17:33:39-07:00
@LuanGustavoof,1,Plataforma sem vergonha,"Plataforma sem vergonha que engana descaradamente as pessoas, cobram na taxa de rede a taxa deles junto não dando transparência nenhuma para consumidores e quando reclamamos tá ineficiência deles, eles ainda colocam o Vitor para atender mal as pessoas",0,2024-09-11T18:02:41-07:00
gabriel198,2,Pésimo,"Fiz una transação de reais a pesos argentinos, e estou aguardando a quase 30h para que me enviem o dinheiro. Uma palhaçada com o cliente!",0,2024-04-04T12:35:14-07:00
mariahfulco,5,Excelente,"A bitso manteve sua qualidade dentro do app, além da facilidade na usabilidade é a exchange mais segura de cripto. Recomendo !",0,2024-04-01T12:53:11-07:00
mzapqlhfd,5,Muito bom,Só as taxas que não me agradam muito.,0,2024-01-18T16:19:49-07:00
NathCosta27,1,Pessimo,"A pessoa que orienta esse app, é fraudador. Gosta de enganar as pessoas, dando um se amigo. É só fica roubando o dinheiro dos outros.",0,2024-01-04T05:00:46-07:00
Brendaalbuuh,1,Fiz um saque e não recebi! Golpeeeee,Fiz dois saques na verdade e até agora não caiu na minha conta! Fiz ontem. Golpeeee,0,2023-12-15T11:37:48-07:00
DrHerbertSilva,1,GOLPE,Há 6 dias troquei uma quantidade em reais pra peso na plataforma do aplicativo e até agora não consigo mover meu dinheiro para nada. Todos os dias falo com o suporte e eles me dizem a mesma coisa que amanhã irei receber e-mail com uma resolutiva do meu caso e nada até agora. 6 dias que meu dinheiro está parado no aplicativo deles sem eu poder movimentar ou usá-lo.,0,2023-12-04T15:57:05-07:00
Jordaniapaiva,1,?,"Eu coloquei um dinheiro uma boa quantia no app e comprei a moeda usdt 
A bitso me deslogou do app entrei em contato e tals, agora mandaram um email pedindo que eu diga de onde conseguir dinheiro quem me deu dinheiro e etc pedindo comprovantes e etc. oiii 
Nao devo satisfação de como consigo dinheiro, ou devo",1,2023-11-16T11:31:32-07:00
Anderson.om,3,Travando,Após as últimas atualizações o app está com travamento excessivo ao abrir e atualizar saque da carteira. Algo assim pode ser crucial na tomada de decisões e separar ganhos de perdas. Corrijam!,0,2023-11-13T03:02:39-07:00
Deividbogo,1,Golpe !!! Fraude,App utilizado para realizar golpes de trade/Forex,0,2023-11-11T16:03:35-07:00
