query,value
bitcoin dólar hoje,368950
bitcoin usd,251000
valor do bitcoin hoje,115250
bitcoin hoje real agora,89600
bitcoin hoje usd,82650
bitcoin dolar hoje,81900
gráfico bitcoin dólar,73950
bitcoin icon,72500
valor bitcoin dólar,58300
quanto custa um bitcoin,55050
1 bitcoin em real,39950
cotação do bitcoin hoje,39550
bitcoin hoje real brasileiro,37500
free bitcoin,32850
bitcoin agora dolar,29750
fazenda de mineração de bitcoin,28550
michael saylor,25850
solana,25650
preco bitcoin,23700
bitcoin hoje gráfico tempo real,23550
