videoId,titulo,descricao,canal,publicado_em,link
Gqdi1B7jKsI,BITCOIN | Você NÃO Está ENTENDENDO ISSO... (é agora),"Bitcoin realizou o movimento de SELL THE NEWS no corte de juros do FED, mas esse movimento pode ser outra armadilha para ...",Stefan Lopes - Ghost ,2025-12-11T20:20:00Z,https://www.youtube.com/watch?v=Gqdi1B7jKsI
4r5G_EWUGqM,💣 O MERCADO FOI PEGUO NO PULO! POR QUE O BITCOIN DESABOU MESMO COM NOTÍCIAS BOAS?! 😳🔥,LINK PARA CRIAR CONTA NA BINGX: https://bingx.com/partner/criptografico Link para criar conta na hyblockcapital: ...,Criptográfico,2025-12-11T16:16:35Z,https://www.youtube.com/watch?v=4r5G_EWUGqM
dloBqocJ39I,BITCOIN VAI SUBIR EM 2026 APÓS 3º CORTE NA TAXA DE JUROS?,VENHA TRABALHAR NA ALTSIDE: https://www.linkedin.com/jobs/view/4349105418/ CONHEÇA A ALTSIDE: ...,CRIPTOMANIACOS,2025-12-10T23:03:13Z,https://www.youtube.com/watch?v=dloBqocJ39I
uYro8SWqirM,"Bitcoin (BTC) - Análise de fim de tarde, 11/12/2025!  #BTC #bitcoin #XRP #ripple #ETH #Ethereum #BNB",AGORA GEMAS Altcoins Alert !!! - (R$100/mês): https://pay.hotmart.com/Y93614691E Compre AGORA Curso de Análise Técnica ...,Trade with Renato Ulianov,2025-12-11T20:11:21Z,https://www.youtube.com/watch?v=uYro8SWqirM
rH6PLR7-2ps,BITCOIN DUMP 89K: O CICLO DA NARRATIVA DA ALTA INFINITA: E AGORA?  - Análise Técnica/Sentimento,PROGRAMA DE MEMBROS https://investidormoderno.net/index.php/membros Você também pode assinar pelo Youtube: ...,Investidor Moderno,2025-12-11T15:46:17Z,https://www.youtube.com/watch?v=rH6PLR7-2ps
HU6nJNbjpZc,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025,URGENTE BITCOIN E ALTCOINS PODEM DISPARAR FED VAI IMPRIMIR DINHEIRO - BITCOIN HOJE 10/12/2025 PEÇA ...,Investidor Matuto,2025-12-10T20:51:33Z,https://www.youtube.com/watch?v=HU6nJNbjpZc
R4dVZbD1ZdI,📉 QUEDA! FED SINALIZA CAUTELA ✋🏼 BITCOIN CORRIGE 📉,"Torne-se membro do canal se você gosta dos conteúdos compartilhados, para ter acesso à uma call fechada por semana e para ...",João Hazim,2025-12-11T11:07:22Z,https://www.youtube.com/watch?v=R4dVZbD1ZdI
BgxhP4RA7o4,"Bitcoin (BTC) - Análise dessa movimentação da BTC hoje às 08:53, 11/12/2025!  #BTC #bitcoin",ASSINE AGORA Altcoins GEMAS Alert !!! - (R$100/mês): https://pay.hotmart.com/Y93614691E COMPRE 'Curso AnáliseTécnica ...,Trade with Renato Ulianov,2025-12-11T11:54:09Z,https://www.youtube.com/watch?v=BgxhP4RA7o4
BWaykbR0GVo,BITCOIN E AÇÕES EM RISCO PARA 2026?,Se torne membro do canal para aprender a deixar de ser pobre: ...,Augusto Backes,2025-12-10T15:15:45Z,https://www.youtube.com/watch?v=BWaykbR0GVo
H12gMVRjIns,"30 dias comprando BITCOIN x CAIXINHA, qual valeu a pena? #Shorts",,Gêmeos Investem,2025-05-06T21:54:25Z,https://www.youtube.com/watch?v=H12gMVRjIns
