engine,rank,title,link
google,1,"Cotação do Bitcoin | Preço, gráfico e valor do BTC hoje | MB",https://www.mercadobitcoin.com.br/criptomoedas/bitcoin
google,2,"Bitcoin – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Bitcoin
google,3,Mercado Bitcoin: Sua plataforma de investimentos digitais,https://www.mercadobitcoin.com.br/
google,4,BTC USD — Preço e Gráfico do Bitcoin — TradingView,https://br.tradingview.com/symbols/BTCUSD/
google,5,Cotação Bitcoin Hoje e Preço (BTC) - Investing.com,https://br.investing.com/crypto/bitcoin
google,6,Bitcoin Preço Hoje | BTC para USD Preço Em Tempo Real ...,https://www.binance.com/pt-BR/price/bitcoin
google,7,Bitcoin - Dinheiro P2P de código aberto,https://bitcoin.org/pt_BR/
google,8,Bitcoin: o que é e como funciona essa moeda virtual?,https://blog.nubank.com.br/o-que-e-bitcoin/
google,9,Contrato Futuro de bitcoin tem seu tamanho reduzido em 10 vezes,https://clientes.b3.com.br/w/contrato-futuro-de-bitcoin-tem-seu-tamanho-reduzido-em-10-vezes
google,10,"Bitcoin (BTC) Preço, Gráfico, Capitalização de Mercado ...",https://coinmarketcap.com/pt-br/currencies/bitcoin/
google,11,Bitcoin hoje: Analistas dizem para onde vai o BTC no restante de 2025,https://portaldobitcoin.uol.com.br/bitcoin-hoje-analistas-dizem-para-onde-vai-o-btc-no-restante-de-2025/
google,12,bitcoin bet - Bônus e prêmios todos os dias,http://notafiscal.teresina.pi.gov.br/android/bitcoin-bet/
google,13,"Bitcoin BTC HOJE - Cotação, Indicadores e Notícias",https://www.infomoney.com.br/cotacoes/cripto/ativo/bitcoin-btc/
google,14,"O que é bitcoin, a primeira criptomoeda do mundo - Nexo Jornal",https://www.nexojornal.com.br/index/2024/03/10/o-que-e-bitcoin
google,15,Aprovado em 1º turno projeto que transforma BH na “Capital do ...,https://www.cmbh.mg.gov.br/comunica%C3%A7%C3%A3o/not%C3%ADcias/2025/05/aprovado-em-1%C2%BA-turno-projeto-que-transforma-bh-na-%E2%80%9Ccapital-do-bitcoin%E2%80%9D
google,16,preço bitcoin dolar,https://portal.ifba.edu.br/video/202511/pre%C3%A7o%20bitcoin%20dolar
google,17,Efeito Trump: bitcoin ultrapassa marca de US$ 100 mil pela primeira ...,https://www.cnnbrasil.com.br/economia/macroeconomia/efeito-trump-bitcoin-ultrapassa-marca-de-us-100-mil-pela-primeira-vez-na-historia/
google,18,CVM alerta para atuação irregular do Mercado Bitcoin Serviços ...,https://www.gov.br/cvm/pt-br/assuntos/noticias/2025/cvm-alerta-para-atuacao-irregular-do-mercado-bitcoin-servicos-digitais-ltda-na-intermediacao-de-contratos-de-investimento-coletivo
google,19,bet bitcoin,https://www.cmdv.pr.gov.br/card/bet+bitcoin
google,20,Portal ETF BTG Pactual Teva Bitcoin - BITC11,https://www.btgpactual.com/asset-management/BITC11
brave,1,"Cotação do Bitcoin | Preço, gráfico e valor do BTC hoje | MB",https://www.mercadobitcoin.com.br/criptomoedas/bitcoin
brave,2,Cotação Bitcoin Hoje e Preço (BTC) - Investing.com,https://br.investing.com/crypto/bitcoin
brave,3,Bitcoin - Wikipedia,https://en.wikipedia.org/wiki/Bitcoin
brave,4,BTC USD — Preço e Gráfico do Bitcoin,https://br.tradingview.com/symbols/BTCUSD/
brave,5,Bitcoin - Dinheiro P2P de código aberto,https://bitcoin.org/pt_BR/
brave,6,Sua plataforma de investimentos digitais | Mercado Bitcoin,https://www.mercadobitcoin.com.br/
brave,7,"Preço do Bitcoin | Conversor de BTC para USD, Gráfico e notícias",https://www.binance.com/pt-BR/price/bitcoin
brave,8,Bitcoin (BTC) ‘físico’ vale quase R$ 1 bilhão e lacre é aberto após 13 anos – Money Times,https://www.moneytimes.com.br/bitcoin-btc-fisico-vale-quase-r-1-bilhao-e-lacre-e-aberto-apos-13-anos-isbl/
brave,9,"Bitcoin (BTC) Preço, Gráfico, Capitalização de Mercado | CoinMarketCap",https://coinmarketcap.com/pt-br/currencies/bitcoin/
brave,10,Mergulho do bitcoin pode ser mau presságio para o mercado de ações | CNN Brasil,https://www.cnnbrasil.com.br/economia/mercado/mergulho-do-bitcoin-pode-ser-mal-pressagio-para-o-mercado-de-acoes/
brave,11,Bitcoin: quem são os grandes donos da criptomoeda? - BBC News Brasil,https://www.bbc.com/portuguese/articles/cqe3l3y5d9mo
brave,12,A Foxbit te ensina como começar a investir em criptomoedas,https://foxbit.com.br
brave,13,"Bitcoin BTC HOJE - Cotação, Indicadores e Notícias",https://www.infomoney.com.br/cotacoes/cripto/ativo/bitcoin-btc/
brave,14,Bitcoin. Como funciona o Bitcoin? - Mundo Educação,https://mundoeducacao.uol.com.br/geografia/bitcoin.htm
