"engine","rank","title","link"
"bing","1","Vale a pena investir em Bitcoin em 2025? Guia completo","https://99bitcoins.com/br/criptomoedas/investir-bitcoin/"
"bing","2","Calculadora e conversor de criptomoedas | Coinbase Brasil","https://www.coinbase.com/pt-br/converter/bitcoin"
"bing","3","MoneyGram - Money transfer service in Surrey | ZAUBEE","https://zaubee.com/biz/moneygram-icy4vk37"
"bing","4","Bitcoin cai abaixo de US$ 90 mil - InfoMoney","https://www.infomoney.com.br/mercados/bitcoin-cai-abaixo-de-us-90-mil/"
"bing","5","Bitcoin inicia dezembro abaixo de US$ 90 mil com temor de vendas …","https://valor.globo.com/financas/criptomoedas/noticia/2025/12/01/bitcoin-inicia-dezembro-abaixo-de-us-90-mil-com-temor-de-vendas-pela-strategy-e-insolvncia-da-tether.ghtml"
"bing","6","Bitcoin volta para US$ 90 mil e depende do Fed para novas altas","https://exame.com/future-of-money/bitcoin-volta-para-us-90-mil-e-depende-do-fed-para-novas-altas/"
"bing","7","Bitcoin falls again after weak November as bearish sentiment goes on","https://www.reuters.com/business/finance/bitcoin-falls-5-below-90000-investors-ditch-risk-assets-2025-12-01/"
"bing","8","Bitcoin - Wikipedia","https://en.wikipedia.org/wiki/Bitcoin"
"bing","9","Bitcoin’s Predicted Sky-High Prices Have Not Panned Out - The New …","https://www.nytimes.com/2025/12/03/technology/cryptocurrencies-tumble-trump-rally.html"
"bing","10","Bitcoin Braced For A Huge December Fed Game-Changer As $6.6 …","https://www.forbes.com/sites/digital-assets/2025/11/30/just-the-beginning-66-trillion-december-fed-flip-predicted-to-trigger-massive-bitcoin-price-shock/"
