"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"Juniorxxxxx","https://itunes.apple.com/br/reviews/id1865037158","1","Não funciona","Ao realizar cadastro o app diz que meu cep não existe","0","2025-12-08T18:12:23-07:00","13492021565","13.45.27","0"
"Vini10yw","https://itunes.apple.com/br/reviews/id1835883351","5","Top","A melhor","0","2025-09-24T14:36:42-07:00","13180275718","13.34.21","0"
"abc148315*","https://itunes.apple.com/br/reviews/id670128748","5","COBITBASE","10","0","2025-09-01T08:30:08-07:00","13086682391","13.30.8","0"
"Jmartinspr7","https://itunes.apple.com/br/reviews/id209864297","5","Excelente app","Simples, fácil e eficiente. App excelente!","0","2025-09-03T04:02:42-07:00","13093510331","13.30.8","0"
"fabinho armazem vieira","https://itunes.apple.com/br/reviews/id632787857","5","Cadastro rápido","Plataforma intuitiva e em português","0","2025-09-04T13:58:53-07:00","13099196453","13.31.19","0"
"Sergiomb2013","https://itunes.apple.com/br/reviews/id314994427","1","Saque não é instantâneo","Prometem o saque via PIX como imediato, porém retém o valor por dias.","0","2025-09-05T07:34:15-07:00","13101907656","13.31.19","0"
"Kdualmeida","https://itunes.apple.com/br/reviews/id1671816012","1","App com falha","O app está apresentando falhas não aparece nada.","0","2025-09-05T16:13:12-07:00","13103404851","13.31.19","0"
"moisa10","https://itunes.apple.com/br/reviews/id1340704563","5","Muito bom!","Muito bom!","0","2025-09-12T19:05:36-07:00","13130645200","13.32.5","0"
"Kinsgsman","https://itunes.apple.com/br/reviews/id1245411337","5","Muito bom","Fácil acesso e bem simples para efetuar transações","0","2025-09-14T16:55:57-07:00","13138472177","13.32.5","0"
"MhxbTorres","https://itunes.apple.com/br/reviews/id1628800331","5","Muito prático","Utilizando esse app, o mercado de cripto se torna mais prático e ágil.","0","2025-09-15T09:05:27-07:00","13141024494","13.32.5","0"
"Ondiney","https://itunes.apple.com/br/reviews/id907112488","5","Parabéns","Muito bom app","0","2025-09-16T05:18:20-07:00","13144163596","13.33.32","0"
"Gostei esse aplicativo","https://itunes.apple.com/br/reviews/id1813611724","5","Danie","Danie","0","2025-09-23T05:20:27-07:00","13174104159","13.33.32","0"
"Vinicius A Edu","https://itunes.apple.com/br/reviews/id207286947","5","Aplicativo fácil de utilizar","Muito bom","0","2025-09-27T09:52:19-07:00","13192506152","13.34.21","0"
"Pepebristot","https://itunes.apple.com/br/reviews/id654373779","5","App intuitivo","estou começando a usar a coinbase, me pareceu bastante simples o uso, com boas funcionalidades.","0","2025-12-08T10:15:18-07:00","13490771950","13.44.24","0"
"juliolindo","https://itunes.apple.com/br/reviews/id287053240","5","Simples e rápido","Muito bom aplicativo. Simples e rápido","0","2025-09-29T04:14:08-07:00","13199900406","13.34.21","0"
"NGSilva","https://itunes.apple.com/br/reviews/id768954225","4","Quick","Easy","0","2025-09-29T16:19:27-07:00","13202331121","13.34.21","0"
"JPCB88","https://itunes.apple.com/br/reviews/id158812982","5","Muito fácil!","Recomendo A todos os leigos como eu.","0","2025-09-30T03:52:44-07:00","13204116149","13.34.21","0"
"eu wilkson","https://itunes.apple.com/br/reviews/id1291582084","5","Bom","Bom","0","2025-09-30T05:37:03-07:00","13204485094","13.34.21","0"
"Yarnilo","https://itunes.apple.com/br/reviews/id1517809879","5","Yarnilo Carvalho","App simples e fácil de manusear","0","2025-10-02T11:55:33-07:00","13214929882","13.34.21","0"
"faltam opções","https://itunes.apple.com/br/reviews/id1054283539","5","Great company","Straight to the point and fair game","0","2025-10-04T06:53:40-07:00","13222622784","13.34.21","0"
