"query","value"
"bitcoin dólar","514150"
"bitcoin hoje dólar","354950"
"bitcoin hoje usd","150650"
"valor do bitcoin hoje","95500"
"bitcoin hoje real agora","76350"
"gráfico bitcoin dólar","76100"
"gráfico bitcoin hoje agora","74700"
"quanto vale 1 bitcoin","74350"
"bitcoin hoje tempo real","72850"
"bitcoin hoje dólar gráfico","57600"
"bitcoin icon","53300"
"valor bitcoin dólar","44850"
"preço do bitcoin","42850"
"preco bitcoin","41450"
"grafico bitcoin agora","30350"
"preço bitcoin dolar","21550"
"cotacao bitcoin","17400"
"cotação bitcoin dólar","14850"
"quem criou o bitcoin","13800"
"strategy bitcoin","11950"
