"query","value"
"bitcoin hoje","3195500"
"dolar","843750"
"bitcoin dolar","787950"
"mercado bitcoin","672750"
"bitcoin valor","670400"
"bitcoin real","517300"
"bitcoin grafico","495600"
"bitcoin dólar","421750"
"bitcoin cotação","404900"
"bitcoin agora","381700"
"ethereum","346800"
"valor do bitcoin","325000"
"bitcoin gráfico","299050"
"preço bitcoin","296650"
"bitcoin dolar hoje","275200"
"dolar hoje","272000"
"bitcoin hoje dólar","210200"
"valor bitcoin hoje","203800"
"dólar hoje","201500"
"bitcoin hoje real","201450"
