"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Bibikingtheking","https://itunes.apple.com/br/reviews/id461307456","1","Falso","Apenas consome sua bateria e memória. Não é possível sacar, apenas ilusão.","0","2024-06-18T03:29:42-07:00","11394651597","1.1.8","0","2","Mais antigos"
"Sr~D","https://itunes.apple.com/br/reviews/id1669101096","1","Não consigo sacar","Tem alguma forma para sacar ou é só um jogo","0","2024-06-19T11:07:51-07:00","11399876385","1.1.8","0","2","Mais antigos"
"Maicon goral","https://itunes.apple.com/br/reviews/id579819426","1","Não paga","Lixo","0","2024-08-04T06:17:50-07:00","11571162791","1.1.8","0","2","Mais antigos"
"Botbii","https://itunes.apple.com/br/reviews/id1664129517","1","Como sacar?","Como sacar?","0","2024-10-07T14:09:21-07:00","11808843993","1.1.11","0","2","Mais antigos"
"Selem Gama","https://itunes.apple.com/br/reviews/id728513256","1","Não saca","Não tem como sacar!","0","2025-01-15T09:46:52-07:00","12188099197","1.1.12","0","2","Mais antigos"
"Borracha20","https://itunes.apple.com/br/reviews/id1746631321","1","Jogo ruim da pra sacar nn","1 ruimmmm","0","2025-01-29T13:09:55-07:00","12246364871","1.1.12","0","2","Mais antigos"
"juniojf","https://itunes.apple.com/br/reviews/id1048385613","1","Como faz pra sacar","Gostaria de saber como saca","0","2025-05-21T09:22:25-07:00","12681507035","1.1.13","0","2","Mais antigos"
"Bombom $@","https://itunes.apple.com/br/reviews/id1114120711","5","Jeans","10","0","2025-07-09T05:42:58-07:00","12871058808","1.1.14","0","2","Mais antigos"
"Beneditodias","https://itunes.apple.com/br/reviews/id474185877","2","Saque ou transferência","Quero saber como posso sacar ou transferir?","0","2025-08-31T03:53:39-07:00","13081885879","1.1.15","0","2","Mais antigos"
"gliasch","https://itunes.apple.com/br/reviews/id391872330","1","Ruim","Só gera anúncios, impossível transformar em dinheiro. Não perca seu tempo","0","2025-11-25T17:56:48-07:00","13441446221","1.1.16","0","2","Mais antigos"
