"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"top demais!!!!","https://itunes.apple.com/br/reviews/id1232091039","5","Top","Muito bommmm, pagando  100$ só pra adicionar meu código de convite ZYmLj82dYRekpRbE.","0","2025-11-25T10:21:31-07:00","13440246419","1.4.3","0","3","Melhores avaliadas"
"Fayah-_-13","https://itunes.apple.com/br/reviews/id1698067712","5","Great","First withdraw done and I have received it’s not much but it’s for free just great app","0","2025-10-27T02:38:56-07:00","13320179795","1.4.3","0","3","Melhores avaliadas"
"W'illian","https://itunes.apple.com/br/reviews/id658292912","5","Excelente e transparente","Muito simples e fácil.","0","2025-10-26T16:26:55-07:00","13318705689","1.4.3","0","3","Melhores avaliadas"
"Phmm1001","https://itunes.apple.com/br/reviews/id1349663148","5","Sats coins","You could withdrawl easily !","0","2025-10-11T10:47:40-07:00","13253593155","1.4.3","0","3","Melhores avaliadas"
"Emersonrox","https://itunes.apple.com/br/reviews/id1679672320","5","Ganhei 10% extra minerando com o meu código","Junte-se ao aplicativo Mineração de Bitcoin e ganhe cripto acompanhando o e adicione meu código de convite 7OmYqvl75DOJ5nz2","0","2025-07-22T05:12:05-07:00","12922319384","1.4.2","0","3","Melhores avaliadas"
"Bioncazi","https://itunes.apple.com/br/reviews/id1774256921","5","Ganhe R$!!!!!!","Junte-se ao aplicativo Mineração de Bitcoin e ganhe cripto acompanhando o seu sono. Ganhe 10% de ganhos extras para mim e para você usando meu código de convite XxRNqQA1K97q8zmQ","0","2025-06-05T07:26:18-07:00","12738976132","1.4.2","0","3","Melhores avaliadas"
"NatáliaAFaria","https://itunes.apple.com/br/reviews/id1726948558","5","Bitcoin Miner","O aplicativo cumpre com que promete, tem que ter paciência e minerar todo dia ! Tem anúncios gratuitos que te ajudam no acelerador da mineração. Se forem baixar coloquem meu link de convite ambos ganharam 10% a mais na mineração . Boa sorte 🍀","0","2025-05-29T14:49:23-07:00","12713172534","1.4.2","0","3","Melhores avaliadas"
"......,,hhchjf","https://itunes.apple.com/br/reviews/id265122823","1","Horrível","Nao comprem nada dentro do app. Vc paga uma taxa mensal que nao dá um retorno de nada…é só pra perder dinheiro…se vc pagar 2000 no mes…vc tem um retorno de 100 reais e o seu contrato expira!! Pior programa que há!! Enganação!!!Tem mais chances apostando no tigrinho pq aqui é perder dinheiro com certeza!!!!","0","2025-08-24T09:36:46-07:00","13055458148","1.4.3","0","3","Melhores avaliadas"
"Caírea","https://itunes.apple.com/br/reviews/id439394605","1","Duvido q minere bitcoin de verdade","Acho que os números mostrados são números gerados baseado na velocidade e não vale a pena de maneira nenhuma nem se tiver uma fazenda de celulares, só se vc quiser se divertir vendo o hodómetro girando","0","2025-08-12T14:35:24-07:00","13008293720","1.4.3","0","3","Melhores avaliadas"
"juca Bala Cripto","https://itunes.apple.com/br/reviews/id685202567","1","Rende muito pouco","Eu assinei 100,00 reais que dá 444 gh/s. Em 1 mês não rendeu 2 dólares.
Se você comprar 100 reais em btc da 17 mil satoshis hoje. Não compensa esse app… tem vários outros mais vantajosos","0","2025-05-16T14:58:47-07:00","12663861995","1.4.2","0","3","Melhores avaliadas"
