"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Divo64","https://itunes.apple.com/br/reviews/id1666356895","4","Fundos com nome de criptomoedas","Não gostei. Comprei sendo fundos e aparece como criptomoeda","0","2025-12-08T17:26:51-07:00","13491907818","2.200.0","0","1","Mais novos"
"Alex_deluna","https://itunes.apple.com/br/reviews/id1863547957","5","Excelente","Minha primeira experiência com criptos, investimentos e a MB é muito fácil de utilizar e empolgante!!","0","2025-12-04T22:01:31-07:00","13476635970","2.199.0","0","1","Mais novos"
"Azul cor de mel","https://itunes.apple.com/br/reviews/id1538609484","1","Enganação","Para comprar Bitcoin tá em 500 mil e pra vender tá em 480 mil, que maluquice é essa ?","0","2025-12-03T07:29:12-07:00","13470621697","2.199.0","0","1","Mais novos"
"Eudouglasss","https://itunes.apple.com/br/reviews/id1750845336","1","Golpe","Que arrependimento mesmo eu sabendo a hora certa de entrar e de sair esse app rouba demais pior investimento que fiz em minha vida foi nesse app","0","2025-11-13T04:02:09-07:00","13392368616","2.196.0","0","1","Mais novos"
"Josh Alves","https://itunes.apple.com/br/reviews/id750271206","1","Dificultam muito","Dificultam as movimentações, e fazem de tudo para você não tirar seu dinheiro","0","2025-11-03T01:35:11-07:00","13350379168","2.194.0","0","1","Mais novos"
"VitorSouza93","https://itunes.apple.com/br/reviews/id1698106399","1","Suporte ao cliente pessimo","O suporte ao cliente desse aplicativo ignorou várias vezes as minhas mensagens não resolveu meu problema não entrou em contato comigo não me respondeu eu atualmente estou fora do país preciso do dinheiro pra poder me alimentar e ter onde morar eu já mandei e-mails já abri solicitações porém eles continuam ignorando eu já não sei mais o que fazer vou ter que contratar um advogado","0","2025-10-19T08:16:41-07:00","13287153450","2.192.0","0","1","Mais novos"
"rafacassimiro","https://itunes.apple.com/br/reviews/id1169318659","2","O filtro de criptos “com saldo” não está funcionando","..","0","2025-10-14T09:16:22-07:00","13266020379","2.192.0","0","1","Mais novos"
"Lixoaplicativo 123","https://itunes.apple.com/br/reviews/id1616084949","1","Lixo de plataforma","Plataforma toda bugada , vai vender moeda nunca vende no preço certo , e na hora q vc precisa quando vai vender não tem valor disponível pra venda. Não investem nesse lixo","0","2025-10-14T06:07:16-07:00","13265314124","2.192.0","0","1","Mais novos"
"chorao1","https://itunes.apple.com/br/reviews/id1290834648","5","Bloqueio de tela","Sempre acontece de logo após inserir a senha, abrir a tela do portfólio e trava escurecendo um pouco a tela e não funciona mais.
Sempre procura atualizar o app quando acontece isso, mas no momento na há mais atualizações e o problema persiste, não consigo fazer operações importantes","0","2025-10-06T06:42:49-07:00","13231431630","2.190.0","0","1","Mais novos"
"VitorBotelho","https://itunes.apple.com/br/reviews/id1695187520","5","Bons investimentos","Uma ótima opção para compor carteira de investimentos","0","2025-10-01T09:06:58-07:00","13209865779","2.190.0","0","1","Mais novos"
"FSCfefas","https://itunes.apple.com/br/reviews/id1428496652","3","Precisa de ajustes no layout o no modo negociação avançada","Precisa melhorar a Negociação Pro e permitir a opção de usar “valor” ao invés de ser possível somente usando “quantidade de cripto”.
Precisa de um (i) refinamento no layout e design da negociação avançada, parece antiquado; (ii) melhorias de rapidez no aplicativo; (iii) consertar bug que demora para contabilizar os resultados em até 1h das cripto.","0","2025-09-25T21:10:01-07:00","13185708465","2.189.0","0","1","Mais novos"
