"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"VictorXD018","https://itunes.apple.com/br/reviews/id1863016148","1","Ridículo,","Este jogo demonstra a possibilidade de você ganhar satoshis e sacar, porém, quando efetuar o saque eles afirmam que não foi possível sacar, jogo com muitas propagandas do nada, isso é para enganar bobo, horrível , experiência pessima","0","2025-12-03T09:21:16-07:00","13470977834","3.0.2","0","4","Piores avaliadas"
"DiegoCdLima","https://itunes.apple.com/br/reviews/id763926634","1","Parou - stoped","Simplesmente parou de pagar os 25 sats, da mensagem que já deu limites de saques, e diz que está desatualizado, que é para atualizar porém está atualizado e seque não foi feito. Simplesmente quebrou o aplicativo.","0","2025-04-14T05:02:01-07:00","12542025522","2.7.9","0","4","Piores avaliadas"
"Erro no Chat","https://itunes.apple.com/br/reviews/id1445126222","1","Propaganda enganosa","O “jogo” funciona, porém os 25/sat é por 24horas aí precisa de outro programa pra Sacar, porém mesmo sacando não dá pra transferir pra uma carteira, então é apenas um jogo pra passar o tempo, não dá lucro nenhum","0","2025-08-28T03:47:32-07:00","13070013661","2.9.2","0","4","Piores avaliadas"
"AndersonDF1227","https://itunes.apple.com/br/reviews/id531515513","1","Saque","Só é possível sacar os bitcoin pra um app chamado ZBD, uma carteira de crypto com apenas 1.4 estrelas de avaliação no trust pilot, não tem opção de PayPal nem nada","0","2025-04-01T12:43:34-07:00","12491861403","2.7.5","0","4","Piores avaliadas"
"dnpqd","https://itunes.apple.com/br/reviews/id1311023081","2","A app já foi bom Hoje em dia tá orrivel pfv ajeitem isso !!!!!!!","!!!!!!!","0","2025-04-03T09:12:43-07:00","12499137032","2.7.5","0","4","Piores avaliadas"
"Heloizahisjsnanalam","https://itunes.apple.com/br/reviews/id1452401052","2","Em dúvida","Se eu conseguir sacar eu volto","0","2025-08-15T06:18:32-07:00","13019139227","2.9.0","0","4","Piores avaliadas"
"@aperteoalt","https://itunes.apple.com/br/reviews/id142547396","3","Way too many ads","It’s pretty nice, but the amount of ads is unbearable","0","2025-06-03T18:59:53-07:00","12733266976","2.8.1","0","4","Piores avaliadas"
"aoandrezza","https://itunes.apple.com/br/reviews/id440400781","3","Bom","Poderiam aumentar os saques como antes. Era muito mais atrativo. Muita gente deixa de usar por conta desse limite baixo diário de saque de 25 sats","0","2025-04-01T04:23:52-07:00","12490202788","2.7.5","0","4","Piores avaliadas"
"Mikemurdock","https://itunes.apple.com/br/reviews/id435709713","4","Paga via zebedee","Jogo decente, bom passa tempo e te da uns Satoshis. 25/dia. Tem um bom time de suporte. É isso!","0","2025-08-22T19:50:37-07:00","13049393894","2.9.1","0","4","Piores avaliadas"
"usiwknaka","https://itunes.apple.com/br/reviews/id1125246557","4","Ytallo Sousa","Não gostei muito porque o limite de retirada dos sats é muito baixo, o limite deveria ser maior ou até mesmo sem limite pra pessoa tirar quanto sats quiser, porque agente passo o dia no aplicativo assistindo anúncio direto tentando crescer, pra tirar só 25 sats por dia, na minha opinião esse limite não estar sendo justo pra quem passar várias horas no aplicativo jogando e assistindo anúncios.","0","2025-04-18T16:31:52-07:00","12559577162","2.8.0","0","4","Piores avaliadas"
"Domileao","https://itunes.apple.com/br/reviews/id1800437707","5","Entre com meu código","Já entra com 120 gemas DL1GLE","0","2025-06-21T15:40:00-07:00","12801947211","2.8.1","0","4","Piores avaliadas"
"Erro AD","https://itunes.apple.com/br/reviews/id1438701864","5","Top","Top","0","2025-06-08T08:45:52-07:00","12750866854","2.8.1","0","4","Piores avaliadas"
"pedronightmare","https://itunes.apple.com/br/reviews/id1254447383","5","Muito bom","O pagamento funciona e o suporte tecnico ajudou rapidamente quando tive um problema. Muito bom!","0","2025-05-16T04:37:35-07:00","12662038213","2.8.0","0","4","Piores avaliadas"
"RonadoSS","https://itunes.apple.com/br/reviews/id1580025773","5","Muito bom","Até o momento estou gostando","0","2025-04-20T15:24:12-07:00","12567140025","2.8.0","0","4","Piores avaliadas"
"PAULOHBM-7","https://itunes.apple.com/br/reviews/id313334072","5","Ótimo jogo use o código BSTJI4 para evoluir mais rápido","Excelente jogo, com o código BSTJI4 você consegue evoluir mais rápido e sacar logo","0","2025-04-18T06:36:07-07:00","12557757419","2.8.0","0","4","Piores avaliadas"
"fnsavvvv","https://itunes.apple.com/br/reviews/id1333134822","5","Oi","🤯","0","2025-09-24T07:33:04-07:00","13178846087","2.9.3","0","4","Piores avaliadas"
"Lúcio González","https://itunes.apple.com/br/reviews/id1737342081","5","Gostei deste","Jogo incrível para ganhar dinheiro enquanto joga !","0","2025-04-07T06:16:00-07:00","12514673969","2.7.8","0","4","Piores avaliadas"
"Jean123456788","https://itunes.apple.com/br/reviews/id416292128","5","Top","Gostei muito","0","2025-04-06T21:07:40-07:00","12513336493","2.7.8","0","4","Piores avaliadas"
"Ipitas","https://itunes.apple.com/br/reviews/id191785945","5","Friend code","M47OE2","0","2025-10-31T14:11:14-07:00","13339492034","3.0.1","0","4","Piores avaliadas"
"Thyago1991","https://itunes.apple.com/br/reviews/id116166687","5","Ótimo. Use o código LPWGY8","Excelente jogo. Para impulsionar seu avanço, utilize o código LPWGY8.
Para ativar clique no canto superior esquerdo nos dois bonecos","0","2025-06-26T06:53:01-07:00","12819527098","2.8.3","0","4","Piores avaliadas"
