"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Br.BNB","https://itunes.apple.com/br/reviews/id1204370681","5","Rápido e prático","𝐁𝐞𝐧𝐞𝐟𝐢́𝐜𝐢𝐨𝐬 𝐞𝐱𝐜𝐥𝐮𝐬𝐢𝐯𝐨𝐬 𝐭𝐞 𝐞𝐬𝐩𝐞𝐫𝐚𝐦 𝐧𝐚 𝐁𝐢𝐧𝐚𝐧𝐜𝐞! 𝐔𝐬𝐞 𝐨 𝐜𝐨́𝐝𝐢𝐠𝐨 𝐗𝟓𝐇𝐂𝐅𝟕𝐕𝐕 𝐧𝐨 𝐜𝐚𝐝𝐚𝐬𝐭𝐫𝐨 𝐞 𝐝𝐞𝐬𝐛𝐥𝐨𝐪𝐮𝐞𝐢𝐞 𝐫𝐞𝐜𝐨𝐦𝐩𝐞𝐧𝐬𝐚𝐬 𝐝𝐞 𝐚𝐭𝐞́ $𝟏𝟎𝟎.Diversas opções disponíveis, como ganho automático (earn), lives e gráficos simples e completos para análises. Sem dúvida, é o app mais completo e eficiente para comprar criptomoedas. Possui taxas baixas e muitas ferramentas para usar e fazer as melhores projeções de mercado. Parabéns pelo excelente trabalho!","23","2025-11-24T00:39:26-07:00","13434708825","3.6.3","23","5","Mais votadas"
"Feedbacs_","https://itunes.apple.com/br/reviews/id1399662539","1","Sem acesso","Perdi acesso a minha conta depois do meu celular queimar e não consegui recuperar no meu novo. Mesmo autenticando meu rosto, meu e-mail e número do celular. Mas ainda assim não autoriza o acesso, precisa do antigo aparelho pra confirmar o acesso","0","2025-12-08T16:14:08-07:00","13491725986","3.7.3","0","5","Mais votadas"
"RM_C2025","https://itunes.apple.com/br/reviews/id1714726421","5","Experiência Binance","Excelente","0","2025-12-08T05:17:04-07:00","13489816629","3.7.3","0","5","Mais votadas"
"Lixoderiot","https://itunes.apple.com/br/reviews/id1686304150","1","CZ e seu cartel mataram o mercado cripto","Quadrilha","0","2025-11-19T19:54:58-07:00","13418850717","3.6.2","0","5","Mais votadas"
"Pessimo para entrar","https://itunes.apple.com/br/reviews/id1858293228","2","Pessimo","Pessimo","0","2025-11-20T09:22:27-07:00","13420934231","3.6.2","0","5","Mais votadas"
"antony-dz","https://itunes.apple.com/br/reviews/id1857697372","1","experiência horrivel","nada intuitivo, taxas abusivas, pra sacar real da conta tem que pagar taxa, que absurdo, além de ser um sofrimento para converter de uma moeda pra outra","0","2025-11-20T17:29:36-07:00","13422199892","3.6.2","0","5","Mais votadas"
"François Bitencourt","https://itunes.apple.com/br/reviews/id939415889","5","Muito boa","Muito boa","0","2025-11-21T05:34:43-07:00","13423929566","3.6.2","0","5","Mais votadas"
"Atenção presta atenção","https://itunes.apple.com/br/reviews/id1787813457","5","Vitória","Ótimo","0","2025-11-24T10:25:36-07:00","13436427222","3.6.3","0","5","Mais votadas"
"Victor bortolasse","https://itunes.apple.com/br/reviews/id1272237371","5","Bom","Bom","0","2025-11-26T04:09:29-07:00","13442823914","3.6.3","0","5","Mais votadas"
"admirável mundo novo","https://itunes.apple.com/br/reviews/id1112044420","5","Segurança","Segurança em primeiro lugar, obrigado pela proteção dos meus ativos vcs são grandes parceiros, sei que a segurança depende muito de mim, cada dia aprendo mais e assim procuro não facilitar, é difícil ainda mais com a chegada da Al mas sempre conto com vcs e tem dado certo.","0","2025-11-26T08:45:45-07:00","13443731042","3.6.3","0","5","Mais votadas"
"app rastreio facil","https://itunes.apple.com/br/reviews/id1216149823","5","Melhor","Top","0","2025-11-30T16:25:21-07:00","13460622276","3.7.0","0","5","Mais votadas"
"Matheusinho D.","https://itunes.apple.com/br/reviews/id1845859748","5","A melhor","Prática","0","2025-12-01T03:27:32-07:00","13462153075","3.7.0","0","5","Mais votadas"
"O careta","https://itunes.apple.com/br/reviews/id1859067110","5","Confiável","Estou muito contente com a Binance","0","2025-12-01T03:31:03-07:00","13462162785","3.7.0","0","5","Mais votadas"
"Wallace.95","https://itunes.apple.com/br/reviews/id1862939152","1","Hackearam minha conta","Hackeram minha conta. Alteraram meu e-mail e roubaram meu saldo","0","2025-12-03T05:23:42-07:00","13470206740","3.7.1","0","5","Mais votadas"
"Marcus trader fx","https://itunes.apple.com/br/reviews/id1736564509","5","Cripto","5%","0","2025-12-03T10:34:36-07:00","13471198747","3.7.1","0","5","Mais votadas"
"josedapinga","https://itunes.apple.com/br/reviews/id1759844010","5","Ótimo","Melhor corretora! Criptomoedas são difíceis de lidar, guardar com segurança e etc… estudar sobre Bitcoin é mais importante do que comprar.","0","2025-12-03T16:36:15-07:00","13472133054","3.7.1","0","5","Mais votadas"
"dennysdrud","https://itunes.apple.com/br/reviews/id895860284","4","última atualização","como assim o saldo não acompanha o ponteiro no graficos?","0","2025-12-03T19:36:57-07:00","13472567965","3.7.1","0","5","Mais votadas"
"caroline talita","https://itunes.apple.com/br/reviews/id338096017","5","Fácil e didático","Melhor app de cripto, muito intuitivo e confiável","0","2025-12-05T15:31:12-07:00","13479562030","3.7.1","0","5","Mais votadas"
"Grardian","https://itunes.apple.com/br/reviews/id1864089254","5","Muito seguro e barato","Muito intuitivo","0","2025-12-06T07:00:17-07:00","13482105776","3.7.1","0","5","Mais votadas"
"Jefe santi","https://itunes.apple.com/br/reviews/id456694437","5","Exatamente","Meio difícil de lidar entender: Muito bom.","0","2025-11-18T09:50:01-07:00","13413630343","3.6.2","0","5","Mais votadas"
