"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Daydourao","https://itunes.apple.com/br/reviews/id204120497","3","Até que é legal","O jogo é meio legal só que de se eu dace uma noda olimide seria 10 mais a minha bode é 7","0","2022-09-16T08:31:30-07:00","9090821520","1.0.3","0","1","Mais novos"
"roileticianeh","https://itunes.apple.com/br/reviews/id1198377329","1","1/5","nao gostei propaganda toda hora, cachorro nao eh empregado","0","2022-02-02T11:02:26-07:00","8311630875","1.0.3","0","1","Mais novos"
"つき070707","https://itunes.apple.com/br/reviews/id1150700067","1","Comerciais demais...","A ideia principal do jogo é boa, os comerciais é que são o problema. O que torna o jogo monotono e desinteressante...","1","2021-11-25T08:51:40-07:00","8062207691","1.0.3","1","1","Mais novos"
"jogo super legal aprovo","https://itunes.apple.com/br/reviews/id616786064","5","Super legal","Achei o jogo super legal e interesante","0","2021-07-17T17:33:25-07:00","7588587866","1.0.2","0","1","Mais novos"
"keke te amooooo","https://itunes.apple.com/br/reviews/id706302538","5","Bom pq eu amo cachorro","E muuuito bom mas… do ladrão n da p passar o ladrao pega agente de costa","0","2021-06-20T11:48:02-07:00","7486985761","1.0.2","0","1","Mais novos"
"Sarah wolf 5","https://itunes.apple.com/br/reviews/id1252679759","5","Amei","Sério gnt q vcs n consegue passar d fase do ladrao é facinho ;-;","0","2021-02-10T16:04:27-07:00","6979267253","1.0.2","0","1","Mais novos"
"kkbbameiii","https://itunes.apple.com/br/reviews/id1214484537","1","Lennnntttooooi","Ele nem anda um milímetro por segundo impossível passar da fase do ladrão e se pudesse dava 0000 estrelas","0","2020-10-20T11:35:28-07:00","6555992017","1.0.2","0","1","Mais novos"
"Naomi Diniz Saeyki","https://itunes.apple.com/br/reviews/id333048293","5","Legal","Até que é bom","0","2020-10-11T08:40:03-07:00","6524412846","1.0.2","0","1","Mais novos"
"flamarion_personal","https://itunes.apple.com/br/reviews/id611829649","5","Muito bom o jogo de cachorro🐶","Muito bom jogo só não consigo passar o nivel do ladão
Poroso dou síncope estrelas","0","2020-09-27T13:36:17-07:00","6475332192","1.0.2","0","1","Mais novos"
"oijhytgvcfr","https://itunes.apple.com/br/reviews/id1043643181","5","Leeeeeeeeeeeeeegal","⭐️⭐️⭐️⭐️⭐️","0","2020-08-21T09:28:44-07:00","6345567205","1.0.2","0","1","Mais novos"
"Káj","https://itunes.apple.com/br/reviews/id270937499","5","Pvp","Eu não sei como vou fazer o do ladrão","1","2020-06-12T06:23:08-07:00","6066893586","1.0.2","1","1","Mais novos"
