"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Bruh vieiiraa","https://itunes.apple.com/br/reviews/id912187233","5","O que achei!!","É muuuuuito boooom!!!","0","2018-10-02T13:15:29-07:00","3256546151","1.9.1","0","3","Melhores avaliadas"
"himoki0","https://itunes.apple.com/br/reviews/id1350471591","5","Um jogo mt bom pra passar o tempo","O jogo é mt bom pra qm gosta de cachorros e pra passar o tempo, jogo esse jogo desde pequena, recomendo","0","2022-01-23T09:54:45-07:00","8274408228","2.1.10","0","3","Melhores avaliadas"
"Anramona","https://itunes.apple.com/br/reviews/id636316507","5","Ótimo","5 estrelas 🤩🤩🤩🤩🤩💛💛💛💛💛🏆🏆🏆🏆🏆","0","2021-07-14T11:28:46-07:00","7576481693","2.1.10","0","3","Melhores avaliadas"
"moOnbakah3","https://itunes.apple.com/br/reviews/id1067371951","5","🐶💕","Ótimo jogo pra quem ama cães","0","2020-09-13T09:43:36-07:00","6425535822","2.1.7","0","3","Melhores avaliadas"
"rodrigored","https://itunes.apple.com/br/reviews/id598195578","5","Muito legal","Desde que baixei eu me apaixonei por esse jogo , para quem ama animais é ótimo , muito bom mesmo","0","2020-08-19T13:46:01-07:00","6338825470","2.1.7","0","3","Melhores avaliadas"
"Muito bom😍😻👍🏽🐶🐹🐼","https://itunes.apple.com/br/reviews/id996290071","5","Doghotel","Amo amo amo cachorros meu sonho é ter um . Recomendo 🐩🐕🐶🐶","0","2020-07-06T15:33:10-07:00","6165744064","2.1.1","0","3","Melhores avaliadas"
"A Bia amou!!!!!","https://itunes.apple.com/br/reviews/id516175198","5","Uau","Amei o jogo os animais são incríveis e todo o resto também","0","2018-05-31T14:26:24-07:00","2623465251","1.9.1","0","3","Melhores avaliadas"
"leo eurico","https://itunes.apple.com/br/reviews/id762682852","5","Amei","É ótimo 👍 como gosto de cães acho legal ter uma chance de abrir um hotel para cães recomendo","1","2020-01-05T09:15:35-07:00","5364949838","2.1.1","1","3","Melhores avaliadas"
"jogo o timo a do rei","https://itunes.apple.com/br/reviews/id748525585","5","Dog hotel","Eu amei esse jogo ele é muito fofo mais coisas para fazer tipo uma pet Shop um veterinário mais mesmo sem isso eu amei o jogo super criativo que criou nota 10 eu do 5 estrelas ⭐️⭐️⭐️⭐️⭐️","0","2020-01-04T08:48:00-07:00","5360550258","2.1.1","0","3","Melhores avaliadas"
"f g ffjd","https://itunes.apple.com/br/reviews/id1424742514","5","Encontrei erro","Eu consegui terminar o dia e dos recebi novos cães mais eu saí e tal… mas quando entrei avia “voltado” no tempo, eu voltei no dia anterior. 
    Embora esse erro eu ainda sim Amei, nunca pensei em desinstala AMEI 🥰","0","2023-01-05T15:41:22-07:00","9475598144","2.1.10","0","3","Melhores avaliadas"
