"videoId","titulo","descricao","canal","channelId","channelUrl","publicado_em","views","likes","dislikes","favorites","commentCount","duration","dimension","definition","caption","licensedContent","contentRating","projection","thumbnails","thumbnail_default","thumbnail_medium","thumbnail_high","thumbnail_standard","thumbnail_maxres","tags","categoryId","defaultLanguage","defaultAudioLanguage","liveBroadcastContent","topicIds","topicCategories","recordingDate","locationDescription","actualStartTime","actualEndTime","scheduledStartTime","scheduledEndTime","concurrentViewers","activeLiveChatId","uploadStatus","privacyStatus","license","embeddable","publicStatsViewable","madeForKids","localizations","link","ordenacao","ordenacao_nome"
"jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","","Gideone Félix","UCrfGTUMAwMjVakvfe0ldD9Q","https://www.youtube.com/channel/UCrfGTUMAwMjVakvfe0ldD9Q","2023-09-04T21:18:22Z","8953902","228529","0","0","1758","PT1M1S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/jPh6IYP_KRA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jPh6IYP_KRA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jPh6IYP_KRA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jPh6IYP_KRA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jPh6IYP_KRA/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/jPh6IYP_KRA/default.jpg","https://i.ytimg.com/vi/jPh6IYP_KRA/mqdefault.jpg","https://i.ytimg.com/vi/jPh6IYP_KRA/hqdefault.jpg","https://i.ytimg.com/vi/jPh6IYP_KRA/sddefault.jpg","https://i.ytimg.com/vi/jPh6IYP_KRA/maxresdefault.jpg","[]","22","pt-PT","pt-PT","none","[]","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'en-US': {'title': 'This happened yesterday and nothing can be done #pitbull #animals #dog #pets', 'description': ''}, 'pt-PT': {'title': 'Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos', 'description': ''}}","https://www.youtube.com/watch?v=jPh6IYP_KRA","1","Relevância"
"yJ-W1XeSoQ4","ele subiu nas costas do cachorro kkkk l #humor #engraçado #cachorro #shorts","","Tio Baldo","UCXGb2Xm77q1fzpH5kJuDouQ","https://www.youtube.com/channel/UCXGb2Xm77q1fzpH5kJuDouQ","2025-09-26T13:20:19Z","9458086","256816","0","0","1494","PT1M1S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/yJ-W1XeSoQ4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yJ-W1XeSoQ4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yJ-W1XeSoQ4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/yJ-W1XeSoQ4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/yJ-W1XeSoQ4/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/yJ-W1XeSoQ4/default.jpg","https://i.ytimg.com/vi/yJ-W1XeSoQ4/mqdefault.jpg","https://i.ytimg.com/vi/yJ-W1XeSoQ4/hqdefault.jpg","https://i.ytimg.com/vi/yJ-W1XeSoQ4/sddefault.jpg","https://i.ytimg.com/vi/yJ-W1XeSoQ4/maxresdefault.jpg","[]","24","pt-BR","pt-BR","none","[]","['https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'pt-BR': {'title': 'ele subiu nas costas do cachorro kkkk l #humor #engraçado #cachorro #shorts', 'description': ''}}","https://www.youtube.com/watch?v=yJ-W1XeSoQ4","1","Relevância"
"5KpWlmq-55I","dança da motinha #animais #cachorro #fofura #cute","","trend_kwai","UCOHuS3wQbFRTOHxnL2aI5Jw","https://www.youtube.com/channel/UCOHuS3wQbFRTOHxnL2aI5Jw","2025-08-21T18:15:49Z","1986510","17133","0","0","75","PT9S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/5KpWlmq-55I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5KpWlmq-55I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5KpWlmq-55I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/5KpWlmq-55I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/5KpWlmq-55I/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/5KpWlmq-55I/default.jpg","https://i.ytimg.com/vi/5KpWlmq-55I/mqdefault.jpg","https://i.ytimg.com/vi/5KpWlmq-55I/hqdefault.jpg","https://i.ytimg.com/vi/5KpWlmq-55I/sddefault.jpg","https://i.ytimg.com/vi/5KpWlmq-55I/maxresdefault.jpg","[]","22","pt-PT","pt-PT","none","[]","['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'pt-PT': {'title': 'dança da motinha #animais #cachorro #fofura #cute', 'description': ''}}","https://www.youtube.com/watch?v=5KpWlmq-55I","1","Relevância"
"Yi1uizA75oE","Quando o seu dog destrói a garrafa de groselha | Cachorros Engraçados #shorts","Aprenda a Cuidar do Seu Pet: https://hotm.art/adestra2022 Quando o seu Dog Destrói a Garrafa de Groselha | Cachorros ...","Os Bichos Divertidos","UC-ojXj8EvbN2t_BaiYAesFw","https://www.youtube.com/channel/UC-ojXj8EvbN2t_BaiYAesFw","2021-11-16T20:45:00Z","2831383","25763","0","0","975","PT11S","2d","sd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/Yi1uizA75oE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Yi1uizA75oE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Yi1uizA75oE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Yi1uizA75oE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Yi1uizA75oE/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/Yi1uizA75oE/default.jpg","https://i.ytimg.com/vi/Yi1uizA75oE/mqdefault.jpg","https://i.ytimg.com/vi/Yi1uizA75oE/hqdefault.jpg","https://i.ytimg.com/vi/Yi1uizA75oE/sddefault.jpg","https://i.ytimg.com/vi/Yi1uizA75oE/maxresdefault.jpg","['cachorros engraçados', 'videos engraçados', 'animais engraçados', 'vídeos engraçados de cachorros', 'cachorro engraçado', 'videos engraçados de cachorros', 'engraçados', 'cachorros fofos e engraçados', 'gatos engraçados', 'cachorros engraçados e loucos', 'cachorros engraçados tente não rir', 'vídeos engraçados', 'cachorros', 'funny cachorros engraçados', 'cães engraçados', 'videos engraçados de animais', 'cachorro', 'videos de cachorros engraçados', 'engraçado', 'videos engraçados de cachorros 2021']","24","pt-BR","pt-BR","none","[]","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","2021-11-13T00:00:00Z","","","","","","","","processed","public","youtube","True","True","False","{'pt-BR': {'title': 'Quando o seu dog destrói a garrafa de groselha | Cachorros Engraçados #shorts', 'description': 'Aprenda a Cuidar do Seu Pet: https://hotm.art/adestra2022\nQuando o seu Dog Destrói a Garrafa de Groselha | Cachorros Engraçados \n\nCOMPARTILHE: https://youtu.be/Yi1uizA75oE\n\nSe Inscreva no Nosso Canal: http://www.youtube.com/channel/UC-ojXj8EvbN2t_BaiYAesFw\n\nTags IGNORE: cachorros engraçados,videos engraçados,animais engraçados,vídeos engraçados de cachorros,cachorro engraçado,videos engraçados de cachorros,engraçados,cachorros fofos e engraçados,gatos engraçados,cachorros engraçados e loucos,cachorros engraçados tente não rir,vídeos engraçados,cachorros,funny cachorros engraçados,cães engraçados,videos engraçados de animais,cachorro,videos de cachorros engraçados,engraçado,videos engraçados de cachorros 2021\n\nQuando o seu Dog Destrói a Garrafa de Groselha | Cachorros Engraçados\nQuando o seu Dog Destrói a Garrafa de Groselha | Cachorros Engraçados\nQuando o seu Dog Destrói a Garrafa de Groselha | Cachorros Engraçados'}}","https://www.youtube.com/watch?v=Yi1uizA75oE","1","Relevância"
"HE8WecpNC20","As 5 raças de cães mais mortais e perigosas do mundo!","Você sabia que algumas raças foram criadas para proteger, caçar ou até enfrentar predadores? Apesar da fama, o ...","Um Bicho Amigo","UCJdWHeDOmh6nZuBPqG8X2MA","https://www.youtube.com/channel/UCJdWHeDOmh6nZuBPqG8X2MA","2025-05-29T21:00:15Z","477805","7893","0","0","67","PT16S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/HE8WecpNC20/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HE8WecpNC20/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HE8WecpNC20/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/HE8WecpNC20/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/HE8WecpNC20/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/HE8WecpNC20/default.jpg","https://i.ytimg.com/vi/HE8WecpNC20/mqdefault.jpg","https://i.ytimg.com/vi/HE8WecpNC20/hqdefault.jpg","https://i.ytimg.com/vi/HE8WecpNC20/sddefault.jpg","https://i.ytimg.com/vi/HE8WecpNC20/maxresdefault.jpg","['as 5 raças de cachorros mais mortais e perigosas do mundo', 'as raças de cachorros mais mortais', 'as raças de cães mais mortais', 'as raças de cachorros mais perigosas', 'as raças de cães mais perigosas', 'raças de cachorros', 'raças de cães', 'cachorros perigosos', 'cães perigosos', 'raças de cães perigosas', 'raças de cachorros perigosas', 'cães', 'cão', 'cachorros', 'cachorro', 'pet', 'pitbull', 'dogo argentino', 'presa canário', 'mastim tibetano', 'kangal', 'cachorros mortais', 'cães mortais']","15","pt-PT","en","none","[]","['https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'pt-PT': {'title': 'As 5 raças de cães mais mortais e perigosas do mundo!', 'description': 'Você sabia que algumas raças foram criadas para proteger, caçar ou até enfrentar predadores? Apesar da fama, o comportamento de um cão depende muito da criação e socialização.\nMas essas raças aqui chamam atenção pela força, coragem e instinto protetor. Já conhecia todas elas?\n\n#caesperigosos #racasdecachorro #comportamentocanino #pitbull #mastimtibetano #shorts'}}","https://www.youtube.com/watch?v=HE8WecpNC20","1","Relevância"
"oHW6J5Ek0gg","depois de 8 anos o cachorro do seu dono #albuquerque_edts #emocionante #edits #shorts","","graxa grau","UC39px-aDCJH3j3wAP1CFYQg","https://www.youtube.com/channel/UC39px-aDCJH3j3wAP1CFYQg","2023-09-26T16:10:56Z","493959","17461","0","0","409","PT1M1S","2d","hd","false","False","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/oHW6J5Ek0gg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/oHW6J5Ek0gg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/oHW6J5Ek0gg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/oHW6J5Ek0gg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/oHW6J5Ek0gg/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/oHW6J5Ek0gg/default.jpg","https://i.ytimg.com/vi/oHW6J5Ek0gg/mqdefault.jpg","https://i.ytimg.com/vi/oHW6J5Ek0gg/hqdefault.jpg","https://i.ytimg.com/vi/oHW6J5Ek0gg/sddefault.jpg","https://i.ytimg.com/vi/oHW6J5Ek0gg/maxresdefault.jpg","[]","23","pt-PT","pt-BR","none","[]","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'pt-PT': {'title': 'depois de 8 anos o cachorro do seu dono #albuquerque_edts #emocionante #edits #shorts', 'description': ''}, 'en-US': {'title': ""after 8 years his owner's dog #albuquerque_edts #exciting #edits #shorts"", 'description': ''}}","https://www.youtube.com/watch?v=oHW6J5Ek0gg","1","Relevância"
"ca_nfACEnS8","Olha a Reação do Filhote 🤣😅😂 #americanbully #dog #humorpet #dogvideos #shorts #maoriblue","Olá eu sou a Maori, uma American Bully. Vamos dar boas risadas . Me segue no Instagram: ...","Maori Blue","UCbmU-Xcgy5ePHd9q8r_zfYw","https://www.youtube.com/channel/UCbmU-Xcgy5ePHd9q8r_zfYw","2021-12-27T22:37:34Z","323933067","3039658","0","0","3332","PT9S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/ca_nfACEnS8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ca_nfACEnS8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ca_nfACEnS8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ca_nfACEnS8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ca_nfACEnS8/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/ca_nfACEnS8/default.jpg","https://i.ytimg.com/vi/ca_nfACEnS8/mqdefault.jpg","https://i.ytimg.com/vi/ca_nfACEnS8/hqdefault.jpg","https://i.ytimg.com/vi/ca_nfACEnS8/sddefault.jpg","https://i.ytimg.com/vi/ca_nfACEnS8/maxresdefault.jpg","[]","24","pt-PT","pt-BR","none","[]","['https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'pt-PT': {'title': 'Olha a Reação do Filhote 🤣😅😂 #americanbully #dog #humorpet #dogvideos #shorts #maoriblue', 'description': 'Olá eu sou a Maori, uma American Bully.\nVamos dar boas risadas .\n\nMe segue no Instagram: https://www.instagram.com/maori.blue/'}}","https://www.youtube.com/watch?v=ca_nfACEnS8","1","Relevância"
"y4RYVUQ-yoA","Cachorro Latindo","Som de Cachorro Latindo - Dog Sounds and Barking Puppies Descubra a incrível linguagem dos cães! Neste vídeo, você vai ...","Bicho Curioso ","UCwjW6u46RkqKgYLCata-YMQ","https://www.youtube.com/channel/UCwjW6u46RkqKgYLCata-YMQ","2024-11-19T22:03:00Z","79640","450","0","0","7","PT7M58S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/y4RYVUQ-yoA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/y4RYVUQ-yoA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/y4RYVUQ-yoA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/y4RYVUQ-yoA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/y4RYVUQ-yoA/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/y4RYVUQ-yoA/default.jpg","https://i.ytimg.com/vi/y4RYVUQ-yoA/mqdefault.jpg","https://i.ytimg.com/vi/y4RYVUQ-yoA/hqdefault.jpg","https://i.ytimg.com/vi/y4RYVUQ-yoA/sddefault.jpg","https://i.ytimg.com/vi/y4RYVUQ-yoA/maxresdefault.jpg","['sons de cachorro', 'latidos de cachorro', 'cachorro latindo', 'som de cachorro filhote', 'filhotes latindo', 'sons de animais', 'sons para relaxar', 'sons para dormir', 'som ambiente', 'efeito sonoro', 'som natural', 'pet', 'cachorro', 'cão', 'canino', 'animal de estimação', 'dog sounds', 'barking sounds', 'puppy sounds', 'animal sounds', 'relaxing sounds', 'sleep sounds', 'ambient sound', 'sound effect', 'natural sound', 'dog', 'canine', 'pet animal', 'barulho de cachorro latindo', 'cachorro chorando', 'som de cachorro latindo', 'dogs']","15","pt-BR","pt","none","[]","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","False","True","False","{'pt-BR': {'title': 'Cachorro Latindo', 'description': 'Som de Cachorro Latindo - Dog Sounds and Barking Puppies\n\nDescubra a incrível linguagem dos cães! Neste vídeo, você vai escutar os diversos sons de cachorros. Uma jornada fascinante com nossos amigos de quatro patas.\n\nINSCREVA-SE EM NOSSO CANAL 👉 https://www.youtube.com/channel/UCwjW6u46RkqKgYLCata-YMQ?sub_confirmation=1'}}","https://www.youtube.com/watch?v=y4RYVUQ-yoA","1","Relevância"
"X_mzXjxCFQw","CACHORROS DANÇANDO 😹 #shorts #dog #humor #animals #engraçado #beatrizmag","DOGS eståo dançando ! Oiie Sejam bem vindos, inscrevam-se aqui ⏬️@BEATRIZMAG1111 para ver mais vídeos incríveis.","BEATRIZ MAG","UCXUgitopxPshHwLxtHtVZzQ","https://www.youtube.com/channel/UCXUgitopxPshHwLxtHtVZzQ","2024-09-26T18:42:24Z","1444839","9382","0","0","115","PT10S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/X_mzXjxCFQw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/X_mzXjxCFQw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/X_mzXjxCFQw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/X_mzXjxCFQw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/X_mzXjxCFQw/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/X_mzXjxCFQw/default.jpg","https://i.ytimg.com/vi/X_mzXjxCFQw/mqdefault.jpg","https://i.ytimg.com/vi/X_mzXjxCFQw/hqdefault.jpg","https://i.ytimg.com/vi/X_mzXjxCFQw/sddefault.jpg","https://i.ytimg.com/vi/X_mzXjxCFQw/maxresdefault.jpg","['Dog', 'Funny', 'Memes', 'Cachorro', 'Fyp', 'Shorts']","15","pt-PT","pt-BR","none","[]","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Performing_arts', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'pt-PT': {'title': 'CACHORROS DANÇANDO 😹 #shorts #dog #humor #animals #engraçado #beatrizmag', 'description': '🔹🧚\u200d♀️✨🪄DOGS eståo dançando ! Oiie  Sejam bem vindos, inscrevam-se aqui  🆓⏬️@BEATRIZMAG1111   para ver mais vídeos incríveis. #dog #gameplay  #cachorro #fun #trending #shortsfeed #shorts #viralshorts #fyp #humor #dança #engraçado #humor'}}","https://www.youtube.com/watch?v=X_mzXjxCFQw","1","Relevância"
"BO3eiDV4GK0","5 raças de cachorros perfeitas para apartamentos!","Está pensando em ter um cachorro, mas mora em apartamento? Descubra as 5 raças perfeitas para espaços pequenos! Desde o ...","Um Bicho Amigo","UCJdWHeDOmh6nZuBPqG8X2MA","https://www.youtube.com/channel/UCJdWHeDOmh6nZuBPqG8X2MA","2024-11-10T21:00:05Z","409686","13677","0","0","198","PT41S","2d","hd","false","True","{}","rectangular","{'default': {'url': 'https://i.ytimg.com/vi/BO3eiDV4GK0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BO3eiDV4GK0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BO3eiDV4GK0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/BO3eiDV4GK0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/BO3eiDV4GK0/maxresdefault.jpg', 'width': 1280, 'height': 720}}","https://i.ytimg.com/vi/BO3eiDV4GK0/default.jpg","https://i.ytimg.com/vi/BO3eiDV4GK0/mqdefault.jpg","https://i.ytimg.com/vi/BO3eiDV4GK0/hqdefault.jpg","https://i.ytimg.com/vi/BO3eiDV4GK0/sddefault.jpg","https://i.ytimg.com/vi/BO3eiDV4GK0/maxresdefault.jpg","['5 raças de cachorros perfeitas para apartamentos', 'raças de cachorros perfeitas para apartamentos', 'cachorros perfeitos para apartamentos', 'cachorros para apartamentos', 'raças de cães perfeitas para apartamentos', 'cães perfeitos para apartamentos', 'cães para apartamentos', 'raças de cachorros', 'raças de cães', 'pug', 'shih tzu', 'bulldog francês', 'dachshund', 'chihuahua', 'raças de cães perfeitos', 'raças de cachorros perfeitas', 'cães perfeitos', 'cachorros perfeitos', 'melhores cães', 'melhores cachorros']","15","pt-PT","pt-PT","none","[]","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']","","","","","","","","","processed","public","youtube","True","True","False","{'en-US': {'title': '5 dog breeds perfect for apartments!', 'description': 'Thinking about getting a dog but live in an apartment? Discover the 5 perfect breeds for small spaces! From the calm Pug to the compact Chihuahua, these breeds are ideal for those who want a companion without worrying about space. If you love dogs and want tips like this, like and share the video. 🐶\n\n5 dog breeds perfect for apartments!\n\n5. Pug\n4. Shih Tzu\n3. French Bulldog\n2. Dachshund\n1. Chihuahua\n\nWhich of these breeds would be perfect for you?'}, 'pt-PT': {'title': '5 raças de cachorros perfeitas para apartamentos!', 'description': 'Está pensando em ter um cachorro, mas mora em apartamento? Descubra as 5 raças perfeitas para espaços pequenos! Desde o calmo Pug até o compacto Chihuahua, essas raças são ideais para quem quer um companheiro sem preocupações com o espaço. Se você ama cachorros e quer dicas como essa, curta e compartilhe o vídeo. 🐶\n\n5 raças de cachorros perfeitas para apartamentos!\n\n5. Pug\n4. Shih Tzu\n3. Bulldgo francês\n2. Dachshund\n1. Chihuahua\n\nQual dessas raças seria perfeita para você?'}}","https://www.youtube.com/watch?v=BO3eiDV4GK0","1","Relevância"
