"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"makcoletta","https://itunes.apple.com/br/reviews/id931813981","4","Ux","O app funciona bem, poderia deixar o usuário criar atalhos para locais favoritos . 

O problema maior é como educar as pessoas, pois nāo respeitam a reserva das vagas. Mesmo sem estar carregando, deixam o carro parado na vaga e plugado. 

Seria interessante que o app gerenciasse melhor isso, solicitando retirada do veiculo e até penalizar caso ocorra x vezes. 

Isso poderia se aplica também para quem mantem o carro plugado depois de 100% da carga, pois lojistas do shopping fazem isso, chegam cedo e saem bem tarde. 

No mais , obrigado pelos serviços prestados","1","2024-03-09T07:09:52-07:00","11025702036","1.27.2","1","2","Mais antigos"
"Biancarsantos","https://itunes.apple.com/br/reviews/id1142338760","5","Ótimo!","Muito bom, me ajudou muito!","0","2024-03-22T11:51:43-07:00","11073517812","1.27.2","0","2","Mais antigos"
"GersonBorini","https://itunes.apple.com/br/reviews/id336545210","1","Erro ao inserir dados","Ao inserir dados de endereço o sistema pula pra tela em branco e não aceita dados","0","2024-04-09T15:09:31-07:00","11140246493","1.27.2","0","2","Mais antigos"
"Lalalalalaparalelepipedo","https://itunes.apple.com/br/reviews/id190194426","5","Boa opção","Uso pois os pontos do meu trabalho são gerenciados pelo app. As funcionalidades e usabilidade são muito boas. Nesta versão reporto apenas alguns bugs: (1) quando o app dá algum erro, ele retorna com um mapa em uma localização padrão de SP, sugestão de buscar novamente a localização atual. (2) ao finalizar uma recarga grátis, recebo uma notificação do app de “recarga finalizada e valor não pago, confira dados do cartão”. Obrigado","0","2024-04-10T08:51:06-07:00","11142878384","1.27.2","0","2","Mais antigos"
"caiooalves","https://itunes.apple.com/br/reviews/id1402199606","4","Complexo para cadastrar conta, fácil de usar.","O cadastro não foi simples. Como pagamento, deveriam permitir a Apple Pay e Google Pay, que é mais confiável e agiliza. Depois de cadastrado, contudo, o uso é fácil.","0","2024-09-11T11:50:03-07:00","11713632904","2.0.16","0","2","Mais antigos"
"Romsilva","https://itunes.apple.com/br/reviews/id1368146556","4","Endereço de outro pais","Quando vc vai cadastrar o endereço o app só mostrar endereço de outro pais .","0","2024-10-05T02:30:46-07:00","11799380539","2.0.17","0","2","Mais antigos"
"Dolphin Udia","https://itunes.apple.com/br/reviews/id1677210968","1","Reserva","App da condição de reservar o bico , isso tá dando é briga no ponto de abastecimento, onde fica 5 ou mais carros aguardando , no desplugar o bico a pessoa faz a reserva e chega achando que não tem que pegar fila. Aqui na minha cidade tá dando é treta.","0","2024-10-11T03:43:18-07:00","11821241992","2.0.17","0","2","Mais antigos"
"Marinapqueiroz","https://itunes.apple.com/br/reviews/id284751336","5","Surpreendente!","Comecei minha jornada com carro elétrico e esse app está realmente me ajudando a navegar por esse mundo, com dicas, conteúdos e facilitando que eu encontre os eletropostos!","0","2024-12-11T11:31:50-07:00","12052093845","2.0.21","0","2","Mais antigos"
"Rrsplough","https://itunes.apple.com/br/reviews/id278824181","3","Boa opção mas caro","Aplicativo funciona perfeitamente , problema é custo muito alto do carregamento , 3x valor do KW cobrado pela cia de energia","0","2024-12-12T04:01:50-07:00","12054440612","2.0.21","0","2","Mais antigos"
"Ttfons","https://itunes.apple.com/br/reviews/id762896896","5","Um dos melhores apps e mais organizados.","Muito bom o app e fácil de usar, além de ter um layout bem fácil e de acompanhar o carro.","0","2024-12-12T05:47:08-07:00","12054764139","2.0.21","0","2","Mais antigos"
