"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"RubilarB","https://itunes.apple.com/br/reviews/id996786178","5","Excelente","Um salve para galera do RS","0","2025-11-15T16:31:23-07:00","13402943881","7.30.1","0","5","Mais votadas"
"mixsom o som do seu evento","https://itunes.apple.com/br/reviews/id1125319631","5","Eletroposto Carga Rapida","Excelente!","0","2025-11-14T16:11:33-07:00","13398656879","7.30.1","0","5","Mais votadas"
"hre.es","https://itunes.apple.com/br/reviews/id1773465494","2","Mapa","Os pontos de recarga não são atualizados no mapa. Não respondem quando são enviadas correções. Não tem como saber ao certo o qual tipo de carregador existe no local indicado.","0","2025-04-20T17:33:52-07:00","12567428251","7.24.0","0","5","Mais votadas"
"Dr Newton Azevedo","https://itunes.apple.com/br/reviews/id449882464","5","Ótimo","Super recomendo parabéns","0","2025-04-21T18:54:03-07:00","12571351048","7.25.0","0","5","Mais votadas"
"smarquezini","https://itunes.apple.com/br/reviews/id694410837","5","Payment method","Misssing only a Payment Method direct in the app to use the rechargers.","0","2025-06-01T15:25:38-07:00","12725115282","7.25.0","0","5","Mais votadas"
"Caruaru2018","https://itunes.apple.com/br/reviews/id930976375","5","Muito t","Ajuda demais","0","2025-06-18T08:29:50-07:00","12789186003","7.26.1","0","5","Mais votadas"
"Natynbr","https://itunes.apple.com/br/reviews/id298741668","4","BOM","Bom, mas pode melhorar ainda!","0","2025-07-24T18:17:07-07:00","12932835750","7.27.0","0","5","Mais votadas"
"fsccosta","https://itunes.apple.com/br/reviews/id384958869","5","Ótimo aplicativo","O melhor aplicativo de localização de carregadores para veículos elétricos.","0","2025-08-02T17:26:59-07:00","12968961156","7.27.0","0","5","Mais votadas"
"GURGEL_NAUTA","https://itunes.apple.com/br/reviews/id148544118","5","Awesome!!!","Perfect","0","2025-08-06T15:54:33-07:00","12984768351","7.27.0","0","5","Mais votadas"
"Ansfla","https://itunes.apple.com/br/reviews/id604167410","5","Muito bom","Excelente aplicativo.","0","2025-08-07T17:57:24-07:00","12989128901","7.27.0","0","5","Mais votadas"
"Ezequiel83","https://itunes.apple.com/br/reviews/id1604064628","5","Satisfação","Atendimento excelente! Muito bem atendido.","0","2025-08-26T06:14:43-07:00","13062714895","7.28.1","0","5","Mais votadas"
"ardsfhfa","https://itunes.apple.com/br/reviews/id242398930","5","Ótimo","Ótimo","0","2025-09-08T08:13:08-07:00","13113784344","7.28.1","0","5","Mais votadas"
"SamuelrsSousa","https://itunes.apple.com/br/reviews/id1105348079","5","Cumpre o que promete","Melhor app para info de pontos de abastecimento.","0","2025-09-15T08:36:10-07:00","13140924382","7.28.1","0","5","Mais votadas"
"Marcelodiniz13","https://itunes.apple.com/br/reviews/id472492363","5","Top","🚀","0","2025-09-25T21:47:41-07:00","13185796752","7.29.0","0","5","Mais votadas"
"Bruno Corradi Rabello","https://itunes.apple.com/br/reviews/id1401245237","5","Excelente!","App sensacional até o momento!","0","2025-09-27T05:07:10-07:00","13191386235","7.29.0","0","5","Mais votadas"
"Eu e o EV","https://itunes.apple.com/br/reviews/id1841643819","5","Muito bom","Permite organizar viagens através do acesso pelo computador","0","2025-10-08T16:48:02-07:00","13241901309","7.29.0","0","5","Mais votadas"
"Val Gonça","https://itunes.apple.com/br/reviews/id1113380402","1","Pontos sem funcionamento","As informações não estão atualizadas. O Petropen da rede Grajaú em Registro não está em operação e o site diz que está funcionando.","0","2025-10-15T08:07:32-07:00","13269984116","7.29.0","0","5","Mais votadas"
"Jeandre Pereira","https://itunes.apple.com/br/reviews/id422408224","1","Não mostra nada","Não funciona","0","2025-10-17T03:27:56-07:00","13277413173","7.29.0","0","5","Mais votadas"
"Alexsandro Guimarães","https://itunes.apple.com/br/reviews/id1434952328","5","Aplicativo","Top","0","2025-10-18T19:10:05-07:00","13284808891","7.29.0","0","5","Mais votadas"
"IgorMedeiros AM","https://itunes.apple.com/br/reviews/id356224172","5","Extremamente funcional","Ótimo app para quem procura carregadores veiculares.","0","2025-04-06T05:57:31-07:00","12510680859","7.24.0","0","5","Mais votadas"
