title,developer,rating,ratings_count,id,url
Mockup - UI/UX,Apprime Studio sarl,4.3,36,1527554407,https://apps.apple.com/br/app/mockup-ui-ux/id1527554407?uo=4
"Uxcel: Learn UX design, PM, AI","Uxcel, Inc.",4.4,15,6448016672,https://apps.apple.com/br/app/uxcel-learn-ux-design-pm-ai/id6448016672?uo=4
Marvel,Marvel Prototyping LTD,4.8,1127,765801658,https://apps.apple.com/br/app/marvel/id765801658?uo=4
ProApp: Online Design Courses,Proapp Pte. Ltd.,5.0,4,1469080893,https://apps.apple.com/br/app/proapp-online-design-courses/id1469080893?uo=4
Medium: Read & Write Stories,A Medium Corporation,4.9,11547,828256236,https://apps.apple.com/br/app/medium-read-write-stories/id828256236?uo=4
Behance – Portfólios Criativos,Adobe Inc.,4.8,1664,489667151,https://apps.apple.com/br/app/behance-portf%C3%B3lios-criativos/id489667151?uo=4
LottieFiles - Animate & Design,Design Barn Inc.,4.8,66,1231821260,https://apps.apple.com/br/app/lottiefiles-animate-design/id1231821260?uo=4
Design de Moda: Estilista,Pocket Art Studio,4.4,670,1413710253,https://apps.apple.com/br/app/design-de-moda-estilista/id1413710253?uo=4
DetailsPro,Fun Focus Software LLC,5.0,14,1524366536,https://apps.apple.com/br/app/detailspro/id1524366536?uo=4
"Logomarca, criar logo,logotipo",Logo Maker LLC,4.7,13265,950802372,https://apps.apple.com/br/app/logomarca-criar-logo-logotipo/id950802372?uo=4
ibis Paint X,ibis inc.,4.7,14563,450722833,https://apps.apple.com/br/app/ibis-paint-x/id450722833?uo=4
Figma,Figma Inc.,4.7,4331,1152747299,https://apps.apple.com/br/app/figma/id1152747299?uo=4
Adobe Fresco: Arte Digital,Adobe Inc.,4.8,2498,1458660369,https://apps.apple.com/br/app/adobe-fresco-arte-digital/id1458660369?uo=4
