engine,rank,title,link
google,1,Criptomoedas | Nubank,https://nubank.com.br/nu/nubank-criptomoeda
google,2,Regulação Cripto: o que muda com as novas normas do Banco ...,https://www.insper.edu.br/pt/eventos/2025/12/regulacao-cripto-o-que-muda-com-as-novas-normas-do-banco-central
google,3,CRIPTO CONFORME: Receita Federal avança em ação de ...,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2024/agosto/cripto-conforme-receita-federal-avanca-em-acao-de-conformidade-de-exchanges-de-criptoativos
google,4,Esmalte Cripto Rosa Risqué Cremoso | Loja Coty - Coty Mobile,https://www.lojacoty.com.br/esmalte-risque-nosso-metaverso-rosa-cremoso-cripto-rosa-8ml/p
google,5,Fundos de cripto ganham novas regras de governança e diligência ...,https://www.anbima.com.br/pt_br/noticias/fundos-de-cripto-ganham-novas-regras-de-governanca-e-diligencia.htm
google,6,Detalhe do Fundo: Empiricus Cripto 20 Prev FIM,https://investimentos.btgpactual.com/previdencia-privada/empiricus-cripto-20-prev-fim
google,7,‎App Cripto-Cruzadas – App Store,https://apps.apple.com/br/app/cripto-cruzadas/id1137372438
google,8,Mercado Bitcoin: Sua plataforma de investimentos digitais,https://www.mercadobitcoin.com.br/
google,9,Banco Central regulamenta 'cripto' com regras mais duras para ...,https://valor.globo.com/financas/criptomoedas/noticia/2025/11/11/banco-central-regulamenta-cripto-com-regras-mais-duras-para-empresas-pequenas.ghtml
google,10,‎App Binance: Compre BTC e Cripto – App Store,https://apps.apple.com/br/app/binance-compre-btc-e-cripto/id1436799971
google,11,Todas as Criptomoedas: Lista de nomes - Investing.com,https://br.investing.com/crypto/currencies
google,12,SAF CRIPTO SELECTION CI MM RL | Banco Safra,https://www.safra.com.br/investimentos/fundos-de-investimentos/saf-cripto-selection-ci-mm-rl.htm
google,13,Análise - XP Cripto: Alta Limitada - COE - XP Investimentos,https://conteudos.xpi.com.br/coe/xp-cripto-alta-limitada/
google,14,ETF de Cripto | B3,https://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/etf/renda-variavel/etf-de-cripto/
google,15,"Negociar criptomoedas no Inter é seguro a partir de R$1,00",https://inter.co/pra-voce/investimentos/criptomoedas/
google,16,Binance: Compre BTC e Cripto – Apps no Google Play,https://play.google.com/store/apps/details?id=com.binance.dev&hl=pt_BR
google,17,Cripto Coquetel Na Amazon.com.br,https://www.amazon.com.br/cripto-coquetel/s?k=cripto+coquetel
google,18,Mercado de cripto avança na B3 após aceitar registro em ...,https://www.b3.com.br/pt_br/noticias/mercado-de-cripto-avanca-na-b3-apos-aceitar-registro-em-derivativos-e-coe.htm
google,19,"Queda do bitcoin gera discussão sobre novo ""inverno cripto ...",https://www.cnnbrasil.com.br/economia/financas/queda-do-bitcoin-gera-discussao-sobre-novo-inverno-cripto-entenda/
google,20,Cripto-sodomitas em Pernambuco colonia | Revista AntHropológicas,https://periodicos.ufpe.br/revistas/index.php/revistaanthropologicas/article/view/23592
