title,developer,rating,installs,id
Bybit: Compre Bitcoin & Cripto,Bybit,4.8,10.000.000+,com.bybit.app
Binance: Compre BTC e Cripto,Binance Inc.,4.8,100.000.000+,com.binance.dev
Coinbase: Bitcoin & Ethereum,Coinbase Inc,4.6,50.000.000+,com.coinbase.android
"Crypto.com - Compre BTC, CRO",Crypto Technology Holdings Limited,4.5,10.000.000+,co.mona.android
App cripto Ledger Wallet™,Ledger,4.7,1.000.000+,com.ledger.live
Carteira DeFi Bitcoin e Cripto,Bitcoin.com Developer,4.6,10.000.000+,com.bitcoin.mwallet
"OKX: Cartão 0 IOF, BTC, Cripto",OKX,4.5,10.000.000+,com.okinc.okex.gp
MEXC: Compre Bitcoin e Cripto,MEXC Ltd,4.7,10.000.000+,com.mexcpro.client
Blockchain.com Wallet: Cripto,Blockchain.com,4.6,10.000.000+,piuk.blockchain.android
KuCoin: compre BTC e criptos,KuCoin,4.5,10.000.000+,com.kubi.kucoin
