"engine","rank","title","link"
"brave","1","Sua plataforma de investimentos digitais | Mercado Bitcoin","https://www.mercadobitcoin.com.br/"
"brave","2","Preços, Gráficos e Capitalização de Mercado das Criptomoedas | CoinMarketCap","https://coinmarketcap.com/pt-br/"
"brave","3","Todas as Criptomoedas: Lista de nomes - Investing.com","https://br.investing.com/crypto/currencies"
"brave","4","Criptomoedas","https://nubank.com.br/nu/nubank-criptomoeda"
"brave","5","Bitcoin hoje: cripto sobe 8% e ensaia recuperação de volta ao nível de US$ 90 mil","https://www.infomoney.com.br/mercados/bitcoin-hoje-cripto-sobe-8-e-ensaia-recuperacao-de-volta-ao-nivel-de-us-90-mil/"
"brave","6","Bitcoin hoje: cripto cai ao menor nível desde abril com piora no sentimento de risco","https://www.infomoney.com.br/mercados/bitcoin-hoje-cripto-cai-ao-menor-nivel-desde-abril-com-piora-no-sentimento-de-risco/"
"brave","7","O que é cripto? Conheça o mundo dos criptoativos - íon Itaú","https://www.ion.itau/news/o-que-e-cripto-criptoativos/"
"brave","8","Bitcoin e criptomoedas começam dezembro em queda | InvestNews","https://investnews.com.br/investimentos/bitcoin-e-criptomoedas-comecam-dezembro-em-queda-entenda-os-motivos/"
"brave","9","Notícias sobre Criptomoedas | Exame","https://exame.com/noticias-sobre/Criptomoedas/1/"
"brave","10","Por que o bitcoin cai mesmo após o fim do shutdown?","https://investnews.com.br/investimentos/por-que-o-bitcoin-cai-apos-fim-do-shutdown/"
"brave","11","Crypto.com: Securely Buy, Sell and Trade Bitcoin, Ethereum and 400+ Crypto","https://crypto.com/us"
"brave","12","Investidor milionário revela a verdadeira causa da queda do bitcoin | Exame","https://exame.com/future-of-money/investidor-milionario-revela-a-verdadeira-causa-da-queda-do-bitcoin/"
"brave","13","Bitcoin hoje: cripto tenta recuperação após queda, mas mercado segue pressionado","https://www.infomoney.com.br/mercados/bitcoin-hoje-cripto-tenta-recuperacao-apos-queda-mas-mercado-segue-pressionado/"
"brave","14","Cryptocurrency Prices, Charts, Daily Trends, Market Cap, and Highlights | Coinbase","https://www.coinbase.com/en-br/explore"
"brave","15","O que é criptomoeda e como funciona?","https://www.kaspersky.com.br/resource-center/definitions/what-is-cryptocurrency"
"brave","16","Por que criptomoedas despencaram logo após tarifas de Trump contra China | CNN Brasil","https://www.cnnbrasil.com.br/economia/mercado/por-que-criptomoedas-despencaram-logo-apos-tarifas-de-trump-contra-china/"
"brave","17","Criptoativos | Itaú","https://www.itau.com.br/investimentos/criptoativos"
"brave","18","CNN Brasil estreia “Cripto na Real”, novo programa sobre criptomoedas | CNN Brasil","https://www.cnnbrasil.com.br/economia/negocios/cnn-brasil-estreia-cripto-na-real-novo-programa-sobre-criptomoedas/"
"brave","19","""Medo extremo"" toma conta do mercado cripto após queda bilionária nas ações dos EUA","https://portaldobitcoin.uol.com.br/medo-extremo-toma-conta-do-mercado-cripto-apos-queda-bilionaria-nas-acoes-dos-eua/"
"brave","20","Trump inicia guerra comercial com China e derruba mercado cripto","https://br.beincrypto.com/tarifa-de-trump-sobre-a-china-desencadeia-queda-de-200-bilhoes-na-cripto/"
"bing","1","Не грузит фото, где открыть ссылку на Gekkko, что делать?","https://www.bolshoyvopros.ru/questions/4637823-ne-gruzit-foto-gde-otkryt-ssylku-na-gekkko-chto-delat.html"
