"author","authorUri","rating","title","content","votes","date","id","version","voteSum"
"Joseilson 669","https://itunes.apple.com/br/reviews/id1446077133","2","Perdendo a graça!","Eu salvo o gráfico de um jeito, mas sempre que fecho e volto outro dia, as marcações ficam fora do lugar. Isso é irritante!","0","2025-12-07T05:28:27-07:00","13485916237","2.121.0","0"
"Gtfsetbv","https://itunes.apple.com/br/reviews/id195832772","5","Eric","Super intuitivo","0","2025-12-01T07:14:44-07:00","13462879403","2.120.2","0"
"LCBoachar","https://itunes.apple.com/br/reviews/id1149009827","5","Excelente","Melhor app para análise gráfica de preço!
Ps. Se tivesse um opção própria do app de “espelhar” para televisão seria ótimo!","0","2025-07-29T20:41:56-07:00","12953083964","2.112.0","0"
"lamb cristiano","https://itunes.apple.com/br/reviews/id533417724","5","Trading","Muito bom","0","2025-08-11T13:51:59-07:00","13004306351","2.113.0","0"
"Antonio Fernandes 33","https://itunes.apple.com/br/reviews/id1077798715","5","Visão de Águia","Esteja sempre com a visão aguçada! Esteja no TradingView","0","2025-08-16T23:03:36-07:00","13026062162","2.113.0","0"
"gustavopv94","https://itunes.apple.com/br/reviews/id474281360","5","Top","Melhor app de análise!","0","2025-08-17T07:47:44-07:00","13027552316","2.114","0"
"RodPin1973","https://itunes.apple.com/br/reviews/id18683007","5","Finance app","VERY GOOD!!!","0","2025-09-01T13:15:16-07:00","13087595972","2.114","0"
"Rodgd","https://itunes.apple.com/br/reviews/id179414560","5","Perfeito","O aplicativo é completo e intuitivo. Com opções de pesquisa e consulta rápidas. Perfeito para acompanhar cotações dos mais variados ativos, de índices a ações, de forma simples e prática. Melhor layout e navegabilidade dentro todos os demais disponíveis no mercado.","0","2025-09-19T17:44:10-07:00","13159127551","2.116.0","0"
"Ticuna$","https://itunes.apple.com/br/reviews/id1717266670","5","Obscuro, tenebroso","Como confiar??? Um gráfico de 15 minutos mostra uma configuração de imagens, no 1H mostra outra totalmente diferente","0","2025-10-03T11:38:47-07:00","13219291484","2.117.0","0"
"Plebeueterno","https://itunes.apple.com/br/reviews/id1634469720","5","Tope","Top","0","2025-10-09T11:24:02-07:00","13245199705","2.118.0","0"
"leorossafa","https://itunes.apple.com/br/reviews/id663475528","4","Top mas tiraram os detalhes dos ETFs","Porque vocês tiraram os detalhes , e informações sobre os ETFs americanos ? Era tão bom","0","2025-10-11T09:01:44-07:00","13253202218","2.118.1","0"
"de Badek","https://itunes.apple.com/br/reviews/id608408979","3","⚠️ Por favor eu suplico","🆙 Adicionem a função Portfólio para a versão app. Chega ser absurdo vocês perderem o 1º lugar para o Yahoo Finanças por não terem o Portfólio disponível no app. Que mancada. Atualizem e sejam os melhores. 🎯","0","2025-10-15T04:08:55-07:00","13269100225","2.118.1","0"
"Breno Santana Bruno","https://itunes.apple.com/br/reviews/id1173910209","5","Good tool","If are you looking for a good toolkit to help you with your decision… you find","0","2025-10-21T10:14:37-07:00","13296138788","2.118.1","0"
"Marcio Ferro","https://itunes.apple.com/br/reviews/id145515982","5","Muito bom","Até para iniciantes é muito bom, ferramentas inclíveis","0","2025-10-28T12:35:18-07:00","13326463987","2.118.1","0"
"Cicosk8","https://itunes.apple.com/br/reviews/id1349339144","5","Cícero","Muito bom","0","2025-11-01T08:08:01-07:00","13342647723","2.118.1","0"
"edsc_","https://itunes.apple.com/br/reviews/id738798947","2","Última atualização sumiu o gráfico de 60minutos","Gosto muito do aplicativo e minha nota deveria ser 5 porém hoje fui atualizar e “sumiu” a possibilidade de ver o gráfico de 60minutos diretamente pela lista (normalmente eu vou passando de forma mais rápida direto na lista) agora tem semanal, 5 minutos, 120 minutos e 240 minutos. Por favor voltem com o de 60minutos ou me expliquem como volto para a versão anterior. Obrigado","0","2025-11-12T04:44:01-07:00","13388543031","2.119.3","0"
"HMoreira51","https://itunes.apple.com/br/reviews/id1857560532","2","Widgets dando erro","O app é muito bom, mas quase toda hora o widget da erro e não exibe as informações","0","2025-11-18T07:36:34-07:00","13413205329","2.120.1","0"
"Volnistem","https://itunes.apple.com/br/reviews/id824989253","5","Bom app","App muito bom","0","2025-11-20T08:41:45-07:00","13420810448","2.120.1","0"
"DoctorFelippe","https://itunes.apple.com/br/reviews/id484161959","5","Bom!","Eficiente.","0","2025-11-29T02:55:31-07:00","13454207001","2.120.2","0"
"hans leon","https://itunes.apple.com/br/reviews/id894107078","5","Fabulous","Top","0","2025-07-08T15:39:48-07:00","12868924196","2.110.0","0"
