"data","valor"
"2025-11-12","77"
"2025-11-13","67"
"2025-11-14","100"
"2025-11-15","55"
"2025-11-16","48"
"2025-11-17","79"
"2025-11-18","67"
"2025-11-19","81"
"2025-11-20","67"
"2025-11-21","98"
"2025-11-22","72"
"2025-11-23","56"
"2025-11-24","61"
"2025-11-25","75"
"2025-11-26","68"
"2025-11-27","52"
"2025-11-28","55"
"2025-11-29","42"
"2025-11-30","49"
"2025-12-01","69"
"2025-12-02","61"
"2025-12-03","59"
"2025-12-04","52"
"2025-12-05","56"
"2025-12-06","47"
"2025-12-07","46"
"2025-12-08","53"
"2025-12-09","57"
"2025-12-10","53"
"2025-12-11","55"
"2025-12-12","48"
