"engine","rank","title","link"
"brave","1","Sua plataforma de investimentos digitais | Mercado Bitcoin","https://www.mercadobitcoin.com.br/"
"brave","2","Preços, Gráficos e Capitalização de Mercado das Criptomoedas | CoinMarketCap","https://coinmarketcap.com/pt-br/"
"brave","3","Todas as Criptomoedas: Lista de nomes - Investing.com","https://br.investing.com/crypto/currencies"
"brave","4","Criptomoedas","https://nubank.com.br/nu/nubank-criptomoeda"
"brave","5","Bitcoin hoje: cripto sobe 8% e ensaia recuperação de volta ao nível de US$ 90 mil","https://www.infomoney.com.br/mercados/bitcoin-hoje-cripto-sobe-8-e-ensaia-recuperacao-de-volta-ao-nivel-de-us-90-mil/"
"brave","6","Bitcoin hoje: cripto cai ao menor nível desde abril com piora no sentimento de risco","https://www.infomoney.com.br/mercados/bitcoin-hoje-cripto-cai-ao-menor-nivel-desde-abril-com-piora-no-sentimento-de-risco/"
"brave","7","O que é cripto? Conheça o mundo dos criptoativos - íon Itaú","https://www.ion.itau/news/o-que-e-cripto-criptoativos/"
"brave","8","Bitcoin e criptomoedas começam dezembro em queda | InvestNews","https://investnews.com.br/investimentos/bitcoin-e-criptomoedas-comecam-dezembro-em-queda-entenda-os-motivos/"
"brave","9","Notícias sobre Criptomoedas | Exame","https://exame.com/noticias-sobre/Criptomoedas/1/"
"brave","10","Por que o bitcoin cai mesmo após o fim do shutdown?","https://investnews.com.br/investimentos/por-que-o-bitcoin-cai-apos-fim-do-shutdown/"
