"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"fabiojgomes","https://itunes.apple.com/br/reviews/id185501532","1","Dificuldade para sacar valores","Muito facil de depositar, porém na hora de sacar, mesmo atendendo aos critérios de valor mínimo e gás, não deixa o saque acontecer e pede para contatar o suporte. Já foi boa, hoje é pedir para ter prejuízo.","0","2025-11-26T10:28:22-07:00","13444056897","25.46.14","0","1","Mais novos"
"Vanitasqwl","https://itunes.apple.com/br/reviews/id1860021845","5","Vanitas","Muito boa amei","0","2025-11-25T04:37:00-07:00","13439130779","25.46.13","0","1","Mais novos"
"fuçadinho2025","https://itunes.apple.com/br/reviews/id815714134","5","Fácil de usar","Extremamente fácil de usar","0","2025-11-20T07:58:14-07:00","13420673476","25.46.11","0","1","Mais novos"
"Paraty8","https://itunes.apple.com/br/reviews/id1573767512","2","Taxas altas","As taxas são muito altas no geral, você tem sempre que estar colocando crédito em Ethereum … vou mudar de carteira","0","2025-11-14T06:09:59-07:00","13396793880","25.46.10","0","1","Mais novos"
"Nuno Filipe777","https://itunes.apple.com/br/reviews/id1807080681","5","Nice","Very good app","0","2025-10-31T10:09:51-07:00","13338741870","25.43.16","0","1","Mais novos"
"RykoFps","https://itunes.apple.com/br/reviews/id143307114","5","No problema at moment","Everthing ok","0","2025-10-28T06:57:31-07:00","13325268990","25.43.16","0","1","Mais novos"
"Lucasmauricio","https://itunes.apple.com/br/reviews/id1830862976","5","Meu app nao abre mais com meu dinheiro","Nao consigo mexer mais nessa atualizao alguem ai ta igual eu","0","2025-09-11T08:50:33-07:00","13125184522","25.37.14","0","1","Mais novos"
"Lion santos","https://itunes.apple.com/br/reviews/id767617366","5","Muito bom sim","Legal","0","2025-08-26T14:13:39-07:00","13064174117","25.31.13","0","1","Mais novos"
"Lann1%#","https://itunes.apple.com/br/reviews/id1703138660","5","Aplicativo","Excelente interface e várias crípton e tokens","0","2025-08-21T22:01:15-07:00","13045808497","25.31.13","0","1","Mais novos"
"MestreArqueiro","https://itunes.apple.com/br/reviews/id1670460259","5","Auto custodian","Without a doubt, one of the best wallets on the market, evolving every day toward the future of blockchain 📲","0","2025-08-01T04:41:14-07:00","12962652094","25.31.13","0","1","Mais novos"
