"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"todoritp","https://itunes.apple.com/br/reviews/id1150869090","5","Muito bom","Incrível sem bug sem sai do jogo sozinho","1","2022-01-06T14:27:20-07:00","8212097723","2.2","1","5","Mais votadas"
"bvgufaafvdrvxzzzz","https://itunes.apple.com/br/reviews/id1326638383","2","Tenho que pagar pra jogar !","Oque aconteceu com o jogo ? Nem consigo mais jogar , por favor concertem isso, nem personagens de dbs tem mais ,","0","2022-11-08T19:19:43-07:00","9270027566","3.0","0","5","Mais votadas"
"wudnesjdyej","https://itunes.apple.com/br/reviews/id1457657981","1","Um lixo","Da nem pra matar o primeiro bicho","0","2022-10-26T09:07:13-07:00","9224251493","3.0","0","5","Mais votadas"
"9282827366363738839100103993","https://itunes.apple.com/br/reviews/id1293480261","1","NAO TENHO O QUE FALAR","TUDO TEM QUE PAGAR E TEM PROPAGANDA TODA HORA NAO INSTALA PORQ7E VC VAI INTEDIAR EM 1 MIN E TBM TODA HORA VC VAI TER QUE PAGAR A UNICA COISA QUE POSSO FALAR DESSE JOGO E LIXO!  PERDI TEMPO DA MINHA CIDA E VCS TAMBEM VAO PERDER ENTAO NAO INSTALA PRFV","0","2021-05-26T12:07:46-07:00","7391641110","1.8","0","5","Mais votadas"
"deixa eu conpra robus","https://itunes.apple.com/br/reviews/id1245766338","5","Muito bon","Melhor jogo de Dragon ball que ja joguei","0","2021-06-29T07:41:45-07:00","7519471087","1.8","0","5","Mais votadas"
"Marcão Xavier","https://itunes.apple.com/br/reviews/id512674592","5","Top","O melhor de luta","0","2021-07-15T18:39:04-07:00","7581256331","1.9","0","5","Mais votadas"
"Renan Tossi","https://itunes.apple.com/br/reviews/id489427318","5","Divertido","O jogo é divertido, o problema é que tem muitas propagandas. 
Obs: não sou fake. Meu insta é Rtossi_","0","2021-07-26T12:39:02-07:00","7621171415","1.9","0","5","Mais votadas"
"eu gostei de jogar","https://itunes.apple.com/br/reviews/id288003143","3","É bom","O jogo é muito bom mas irrita pela quantidade de anuncios e se desenstalar perde a conta e outra coisa é que tem muita coisa que é para pagar com dinheiro","0","2021-08-02T09:29:55-07:00","7647118177","1.9","0","5","Mais votadas"
"Melhor pvz de todos","https://itunes.apple.com/br/reviews/id1038646311","5","Tia Arromba recados…","Muito bom, queria que pudesse chamar os amigos pro x1 mas gosto bastante","0","2021-09-30T12:00:59-07:00","7862661352","2.1","0","5","Mais votadas"
"iarafuentes","https://itunes.apple.com/br/reviews/id539775665","5","KKKKKKKKKKKKK","Eu gostei muito do jogo","0","2022-01-11T15:22:11-07:00","8230160947","2.2","0","5","Mais votadas"
"art kkkkkk","https://itunes.apple.com/br/reviews/id1216352980","5","Bom de mais","Tudo de bom","0","2022-01-24T18:46:12-07:00","8279469477","2.2","0","5","Mais votadas"
"cara critico feio :)","https://itunes.apple.com/br/reviews/id1264384638","5","Adorei o jogo,mas... sinto que falta alguns personagens mas o jogo é muito bom","É legal","0","2022-02-13T12:33:23-07:00","8352436440","2.2","0","5","Mais votadas"
"VICTOR_FILHO","https://itunes.apple.com/br/reviews/id114152391","5","Pop Play Time","É o último esse jogo não tem como negar","0","2022-03-25T16:34:23-07:00","8495526806","2.4","0","5","Mais votadas"
"sonic cg","https://itunes.apple.com/br/reviews/id942886632","5","Bom jogo","Bom jogo","0","2022-05-15T16:57:14-07:00","8675173124","2.5","0","5","Mais votadas"
"CarameloGamer1000","https://itunes.apple.com/br/reviews/id1391646982","3","Propaganda falsa 😡","Esse jogo está roubando vídeos do YouTube sem autorização dos criadores, e estão fazendo propaganda falsa do jogo, se vcs querem fazer o jogo crescer, faça as suas próprias propagandas 😡😡😡","0","2022-06-04T08:40:19-07:00","8740688084","2.5","0","5","Mais votadas"
"mt legal adorei","https://itunes.apple.com/br/reviews/id1211271278","5","Mt bom adorei","Melhor jogo","0","2022-07-29T08:00:04-07:00","8924116257","2.5","0","5","Mais votadas"
"gkthry","https://itunes.apple.com/br/reviews/id1079851589","5","Ótimo","5estrelas","0","2022-08-21T21:28:39-07:00","9003830145","2.9","0","5","Mais votadas"
"#*#&##*363627##'sd","https://itunes.apple.com/br/reviews/id329184371","5","Gostei🥳","Um dos melhores 
Dos jogos do mundo","0","2022-09-02T16:34:12-07:00","9046059586","2.9","0","5","Mais votadas"
"Wagner273","https://itunes.apple.com/br/reviews/id1413865415","1","Decepcionante","Jogo pay2win demais e tirou todas as coisas que eu consegui antes dessa atualização, coisas que levei 2 anos pra conseguir sem gastar dinheiro","0","2022-10-22T11:10:53-07:00","9211306575","3.0","0","5","Mais votadas"
"top 46","https://itunes.apple.com/br/reviews/id1212539378","4","Mas ou menos","Fecha o jogo algumas vezes mas é bom","0","2020-11-02T09:13:37-07:00","6601652742","1.0","0","5","Mais votadas"
