"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Squadra21","https://itunes.apple.com/br/reviews/id1795260066","1","Parou de funcionar","Parou de funcionar no iphone15 pro o jogo trava antes de poder selecionar o personagem que vou jogar.","0","2025-12-07T07:21:15-07:00","13486312360","1.2.2","0","4","Piores avaliadas"
"Mateus Ricardo Marques","https://itunes.apple.com/br/reviews/id1779410406","1","O jogo é bom mas tá muito mal otimizado muita queda de fps","Rodou legal não","0","2025-11-29T04:51:29-07:00","13454540938","1.2.1","0","4","Piores avaliadas"
"Narazakisenpai","https://itunes.apple.com/br/reviews/id1644434548","1","Decepcionante","A expectativa era boa, mas ao jogar vi que não vale a pena","0","2025-10-07T21:27:13-07:00","13238397389","1.1.3","0","4","Piores avaliadas"
"bolsonario","https://itunes.apple.com/br/reviews/id878586048","1","Jogo travando","Jogo tá até bom, mas quase toda partida tá travando","0","2025-11-26T17:46:27-07:00","13445203870","1.2.1","0","4","Piores avaliadas"
"Bot8876","https://itunes.apple.com/br/reviews/id1825595496","1","Colocar","Tem que por uma call para podermos falr com jogadores jogo saindo sozinho e travando","0","2025-11-25T11:48:22-07:00","13440506286","1.2.1","0","4","Piores avaliadas"
"MarcelloRenan","https://itunes.apple.com/br/reviews/id1765459738","1","Sair e fechar sozinho","Quando resolverem esse problema eu vou joga porque não tem como joga um jogo quê sair no meio da partida","0","2025-11-24T15:41:24-07:00","13437309482","1.2.1","0","4","Piores avaliadas"
"Dusuajsu","https://itunes.apple.com/br/reviews/id1377276931","1","Não tem como pegar novos personagens de forma free","O jogo é legal, porém… extremamente repetitivo por só ter um modo de batalha. O pior de tudo é que quando lança personagem novo, você só consegue pegar ele PAGANDO. 40,00R$ cada personagem! Não faz sentido….","0","2025-10-14T08:33:13-07:00","13265859770","1.1.3","0","4","Piores avaliadas"
"Tá Rui esse jogo","https://itunes.apple.com/br/reviews/id1488183475","1","Dragon ball squadra","Falta umas melhorias tipo mapas novos na ranqueada, coloca uma ranqueada diferente pq essa é um pouco estranha tipo ranqueada misturada com padrão esquisito demais se arrumasse esses pontos ia fica bom demais.o jogo","0","2025-10-20T09:24:22-07:00","13291723976","1.1.4","0","4","Piores avaliadas"
"Miguel Gama Almeida","https://itunes.apple.com/br/reviews/id1749668703","1","😫","Eu não saio da tela de início eu não consigo entrar no jogo eu experimentei eu fiquei um dia esperando e não consegui aproveitar nada das experiência","0","2025-10-02T18:33:13-07:00","13216059919","1.1.3","0","4","Piores avaliadas"
"LcDvinte6","https://itunes.apple.com/br/reviews/id1584198249","2","IMPOSSÍVEL TERMINAR UMA PARTIDA","Meu Deus 
Terminar ou achar uma partida tá impossível 
Ou o jogo te quita por problemas de conexão ou a partida acaba porque tem alguém off
Vamo querer né bandai pq pra lançar personagem pago vcs sabem","0","2025-10-26T10:12:09-07:00","13317531188","1.1.4","0","4","Piores avaliadas"
"tiguligo","https://itunes.apple.com/br/reviews/id1351511905","2","Vários bugs","Jogo é muito bom, super nostálgico, mas eu nunca joguei um jogo na minha vida com tanto bug, demora um século pra encontrar partida, jogo sai sozinho, várias vezes fiquei atrasado no farm por conta disso, e entre outras coisas, melhorem esses bugs que melhorarei a nota","0","2025-09-27T12:12:52-07:00","13192997461","1.1.3","0","4","Piores avaliadas"
