"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Lucashorusa","https://itunes.apple.com/br/reviews/id1666338613","5","Amei o jogo mas…","Comecei a jogar há um tempo atrás e cara eu pensei como ninguém tinha pensado em fazer dragon ball antes e até que eu tive um pesadelo jogando sem poder me transformar em super saiajyn blue me desculpe mas o jogo ainda precisa melhorar.. aguardo pela a atualização!","0","2024-07-01T08:41:27-07:00","11444791151","5.20.2","0","3","Melhores avaliadas"
"jvito1010","https://itunes.apple.com/br/reviews/id897029156","5","Goated game","Have been playing this for 7 years, but the excitement when I get the new LR has never gone away.","0","2025-01-30T11:21:56-07:00","12249995891","5.25.1","0","3","Melhores avaliadas"
"IsaacGabriel2304","https://itunes.apple.com/br/reviews/id861306394","5","Minha conta do facebook não conecta, o que faço ?","Minha conta do facebook não conecta, o que faço ?","0","2025-07-24T22:30:10-07:00","12933454079","5.28.6","0","3","Melhores avaliadas"
"lucaslh31","https://itunes.apple.com/br/reviews/id1023780139","5","Muito Bom !!","Uns dos melhores jogos de Dragon Ball que eu já joguei","0","2024-07-30T19:36:37-07:00","11554132238","5.20.2","0","3","Melhores avaliadas"
"Matheu_0001","https://itunes.apple.com/br/reviews/id1670877838","4","Enche dms a memória","O que eu acho do jogo é muito bom, só que tipo o jogo é mais pesado que o próprio dragom ball legends.Para quem é iPhone sabe muito bem que 12 GB é muita coisa Ent por favor diminuam isso","0","2024-08-16T00:30:49-07:00","11615831202","5.21.0","0","3","Melhores avaliadas"
"ajhdhrbeidufbr","https://itunes.apple.com/br/reviews/id1238880462","4","Muito bom","Jogo ótimo, excelente, porém 16 gb não dá né fica difícil!","0","2024-08-26T01:04:23-07:00","11653987213","5.22.1","0","3","Melhores avaliadas"
"GusttavoGC","https://itunes.apple.com/br/reviews/id1815674074","4","Tradução em PT-BR","Se tivesse tradução em português daria 5 estrelas, mas a pergunta é: será que algum dia teremos a tradução desse jogo? Estarei sonhando com esse dia.","0","2025-07-31T20:37:21-07:00","12961398983","5.28.6","0","3","Melhores avaliadas"
"Joas14s","https://itunes.apple.com/br/reviews/id1658723696","4","Quase perfeito","Esse jogo está sendo ótimo mas está tendo uma dificuldade de criatividade de ataques no jogo mas de resto tá ótimo.","0","2025-01-05T09:57:38-07:00","12148774169","5.24.1","0","3","Melhores avaliadas"
"Coffeetons","https://itunes.apple.com/br/reviews/id1788839319","3","File size 🥀🥀","Turn of the decade ahhh engine, file size is too much 20 gbs 🥀🥀🥀","0","2025-05-20T11:04:38-07:00","12678052695","5.25.6","0","3","Melhores avaliadas"
"Alissinho19191","https://itunes.apple.com/br/reviews/id1384704017","3","Tradutor","Quando vão lançar o idioma em Portugues Br?","0","2024-09-23T01:38:45-07:00","11755054436","5.22.1","0","3","Melhores avaliadas"
"MaioralGames","https://itunes.apple.com/br/reviews/id1633917147","2","Onde estão as legendas PT-BR?","Assim como o dragon ball legends este também não tem a opção português Brasil! 
Bom… hoje em dia seria o mínimo já que o jogo está disponível em nosso país.","0","2025-06-04T05:29:23-07:00","12734740321","5.26.0","0","3","Melhores avaliadas"
"Nzxtrem","https://itunes.apple.com/br/reviews/id1807456945","2","Vai toma no c—","Jogo ruim demais muito pessimo tomara que esse jogo seja banido 👎🏿👎🏿jogo imundo","0","2025-07-10T05:32:06-07:00","12875028637","5.28.5","0","3","Melhores avaliadas"
"OllagTV","https://itunes.apple.com/br/reviews/id1736544644","1","Jogo legal. Mas suporte e dowloads são patéticos.","Nota dó.","0","2025-04-01T08:22:03-07:00","12491019059","5.25.6","0","3","Melhores avaliadas"
"Felps019","https://itunes.apple.com/br/reviews/id1609515055","1","Horrível","Jogo até que é bom, porém ele dá erro no download, não importa o que você faça ou tente, sempre vai dar erro","0","2025-01-15T08:22:50-07:00","12187827272","5.24.1","0","3","Melhores avaliadas"
"Felipeesillva","https://itunes.apple.com/br/reviews/id1666657928","1","Mds","Jogo horrivel, não tem mecânica. Presta pra quem tiver 3 anos","0","2024-10-24T18:27:37-07:00","11871431153","5.23.0","0","3","Melhores avaliadas"
"Felippusx","https://itunes.apple.com/br/reviews/id1404055261","1","ruim","mal feito","0","2024-10-11T08:31:52-07:00","11822139758","5.22.1","0","3","Melhores avaliadas"
"luizhol","https://itunes.apple.com/br/reviews/id1001718790","1","Péssimo","O jogo é basicamente uma história em inglês. Horrível de se jogar.","0","2024-10-10T09:00:47-07:00","11818660500","5.22.1","0","3","Melhores avaliadas"
"erikopostigo","https://itunes.apple.com/br/reviews/id1271405888","1","Não posso usar moedas vermelhas do jogo","Levei muitos dias para conseguir as moedas vermelhas de dragão que servem para trocar por personagens e simplesmente após eu conseguir as 500 moedas para trocar por um personagem bacana o jogo simplesmente bloqueia a opção de eu trocar minhas moedas por personagens, por isso mudei minha avaliação de 5 estrelas para 2 estrelas. 

Caso consertem isso volto para 5 estrelas e tornarei a indicar novamente o jogo para quem conheço.","0","2024-09-28T18:08:41-07:00","11776011220","5.22.1","0","3","Melhores avaliadas"
"Mouard99","https://itunes.apple.com/br/reviews/id1574181183","1","Horrível","Péssimo","0","2025-05-22T04:50:27-07:00","12684360226","5.25.6","0","3","Melhores avaliadas"
"jrdelley","https://itunes.apple.com/br/reviews/id1097718689","1","Jogo nao baixa tudo","O jogo começa progredido e quando passa um tempo diz que teve perda de conexão e volta pro menu.","0","2025-09-22T08:53:33-07:00","13170650023","5.30.0","0","3","Melhores avaliadas"
