"engine","rank","title","link"
"bing","1","About Wayfair | Leadership Bios","https://www.aboutwayfair.com/leadership-bios"
"bing","2","Niraj Shah - Wikipedia","https://en.wikipedia.org/wiki/Niraj_Shah"
"bing","3","Wayfair - Governance - Board of Directors","https://investor.wayfair.com/governance/board-of-directors/default.aspx?itemid=834dbcd2-61bf-4342-8ae8-6a7354a4788e"
"bing","4","Niraj Shah - Forbes","https://www.forbes.com/profile/niraj-shah/"
"bing","5","All About Wayfair CEO Niraj Shah - Candor","https://candor.co/articles/profiles/all-about-wayfair-ceo-niraj-shah"
"bing","6","Niraj Shah - CEO and Co-founder of Wayfair | LinkedIn","https://www.linkedin.com/in/nirajshah10"
"bing","7","Wayfair CEO and Key Executive Team - Craft.co","https://craft.co/wayfair/executives"
"bing","8","Niraj Shah - Business Roundtable","https://www.businessroundtable.org/members/niraj-shah"
"bing","9","Niraj Shah - Chief Executive Officer and Co-Founder @ Wayfair ...","https://www.crunchbase.com/person/niraj-shah-12b4"
"bing","10","Wayfair Org Chart + Executive Team - The Official Board","https://www.theofficialboard.com/org-chart/wayfair"
