author,rating,title,content,votes,date
VictorXD018,1,"Ridículo,","Este jogo demonstra a possibilidade de você ganhar satoshis e sacar, porém, quando efetuar o saque eles afirmam que não foi possível sacar, jogo com muitas propagandas do nada, isso é para enganar bobo, horrível , experiência pessima",0,2025-12-03T09:21:16-07:00
Ipitas,5,Friend code,M47OE2,0,2025-10-31T14:11:14-07:00
fnsavvvv,5,Oi,🤯,0,2025-09-24T07:33:04-07:00
Erro no Chat,1,Propaganda enganosa,"O “jogo” funciona, porém os 25/sat é por 24horas aí precisa de outro programa pra Sacar, porém mesmo sacando não dá pra transferir pra uma carteira, então é apenas um jogo pra passar o tempo, não dá lucro nenhum",0,2025-08-28T03:47:32-07:00
Mikemurdock,4,Paga via zebedee,"Jogo decente, bom passa tempo e te da uns Satoshis. 25/dia. Tem um bom time de suporte. É isso!",0,2025-08-22T19:50:37-07:00
Heloizahisjsnanalam,2,Em dúvida,Se eu conseguir sacar eu volto,0,2025-08-15T06:18:32-07:00
Thyago1991,5,Ótimo. Use o código LPWGY8,"Excelente jogo. Para impulsionar seu avanço, utilize o código LPWGY8.
Para ativar clique no canto superior esquerdo nos dois bonecos",0,2025-06-26T06:53:01-07:00
Domileao,5,Entre com meu código,Já entra com 120 gemas DL1GLE,0,2025-06-21T15:40:00-07:00
Erro AD,5,Top,Top,0,2025-06-08T08:45:52-07:00
@aperteoalt,3,Way too many ads,"It’s pretty nice, but the amount of ads is unbearable",0,2025-06-03T18:59:53-07:00
pedronightmare,5,Muito bom,O pagamento funciona e o suporte tecnico ajudou rapidamente quando tive um problema. Muito bom!,0,2025-05-16T04:37:35-07:00
RonadoSS,5,Muito bom,Até o momento estou gostando,0,2025-04-20T15:24:12-07:00
usiwknaka,4,Ytallo Sousa,"Não gostei muito porque o limite de retirada dos sats é muito baixo, o limite deveria ser maior ou até mesmo sem limite pra pessoa tirar quanto sats quiser, porque agente passo o dia no aplicativo assistindo anúncio direto tentando crescer, pra tirar só 25 sats por dia, na minha opinião esse limite não estar sendo justo pra quem passar várias horas no aplicativo jogando e assistindo anúncios.",0,2025-04-18T16:31:52-07:00
PAULOHBM-7,5,Ótimo jogo use o código BSTJI4 para evoluir mais rápido,"Excelente jogo, com o código BSTJI4 você consegue evoluir mais rápido e sacar logo",0,2025-04-18T06:36:07-07:00
DiegoCdLima,1,Parou - stoped,"Simplesmente parou de pagar os 25 sats, da mensagem que já deu limites de saques, e diz que está desatualizado, que é para atualizar porém está atualizado e seque não foi feito. Simplesmente quebrou o aplicativo.",0,2025-04-14T05:02:01-07:00
Lúcio González,5,Gostei deste,Jogo incrível para ganhar dinheiro enquanto joga !,0,2025-04-07T06:16:00-07:00
Jean123456788,5,Top,Gostei muito,0,2025-04-06T21:07:40-07:00
dnpqd,2,A app já foi bom Hoje em dia tá orrivel pfv ajeitem isso !!!!!!!,!!!!!!!,0,2025-04-03T09:12:43-07:00
AndersonDF1227,1,Saque,"Só é possível sacar os bitcoin pra um app chamado ZBD, uma carteira de crypto com apenas 1.4 estrelas de avaliação no trust pilot, não tem opção de PayPal nem nada",0,2025-04-01T12:43:34-07:00
aoandrezza,3,Bom,Poderiam aumentar os saques como antes. Era muito mais atrativo. Muita gente deixa de usar por conta desse limite baixo diário de saque de 25 sats,0,2025-04-01T04:23:52-07:00
Kellybpa,5,Se pagar volto aqui,O jogo é legal,0,2025-03-19T11:57:32-07:00
Jrsergioap,5,Code TX5IMS,Nice game. Use this code TX5IMS to earn faster.,3,2025-03-18T03:50:30-07:00
mrsanchesergkbs,1,Muito pouco sats!!!!,Vocês precisam aumentar o limite de saque dos sats!!!!! 25 sats por dia é pouco!!!!,0,2025-03-16T22:41:12-07:00
chakalllllll,1,Não funciona vincular carteira,"Só aparece erro de rede e nao conecta a carteira para sacar, já instalei e desinstalei varias vezes! Lixo !",0,2025-03-14T19:06:22-07:00
DiiMendes,5,Forma rápida de ganhar Sats,"O jogo realmente permite, de uma forma fácil, rápida e divertida de ganhar Satoshi com alguns cliques diários e pouquíssimos anúncios, que é o melhor.
Ponto a melhorar: poderiam aumentar o limite de saque aqui no Brasil (25 Sats, é muito pouco...😔). Poderiam implementar uma maneira de login para que pudéssemos jogar em outro aparelho e manter nosso progresso no jogo.

Usem meu código no Bitcoin Miner e melhorem sua experiência no jogo ganhando recompensas incríveis: LQ8FTA;
Usem meu código na ZBD Wallet: 8WHTXC",0,2025-03-08T05:28:43-07:00
durigets,1,Jogo Enganoso,Pura enganação,0,2025-03-07T04:15:18-07:00
DG Harckness,2,Não serve de muita coisa,"Uma experiência até que legal pela forma criativa de minerar porém o limite é só de 25sat por dia sendo que a gente facilmente faz muito mais, oque acontece com o restante dos Sat que ficam no app? 25 sat não serve pra nada podiam aumentar o limite de saque",0,2025-02-27T12:32:15-07:00
T.PimentelL,1,erro de saque,"ta dando erro em sacar e ja estou quase desistindo do app e nn consigo mandar msg para a equipe, ainda e um limite horrível de um valor baixo dos saques, nn recomendo pq vai perder seu tempo",0,2025-02-19T15:23:16-07:00
