author,rating,title,content,votes,date
XandDUBET,5,Vim pra ganhar Money,Bom,0,2022-03-21T12:38:28-07:00
lua❤️‍🩹,5,Muito bom‼️,"O melhor é que tem a opção paga é grátis,a grátis tem um limite💕",0,2022-03-19T03:17:52-07:00
bella e iza,5,Robux,Vim pelo hack pra ganhar robux grátis,0,2022-02-09T09:42:22-07:00
pablofaz343333,4,Sla kkkk,Só estou aqui pra concluir a verificação,1,2022-02-07T09:37:49-07:00
wralixandre,5,Top,Amei,0,2022-02-01T14:34:49-07:00
3l_dolly,4,É um vpn,"O ruin desse vpn e que se você quiser escolher um local para estar,você tem que assinar o premium",0,2022-02-01T01:14:38-07:00
nanaisugajamakaka,5,Kur,Ba,0,2022-01-31T08:40:32-07:00
003297,5,:),Só vim pelo jogo,0,2022-01-09T00:48:02-07:00
Xandeex,5,Go,Já,0,2022-01-06T08:47:44-07:00
dida280,5,Top,Muito bom,0,2022-01-01T09:44:38-07:00
Catzinha_kun,1,VÍRUS!!!!,NAO BAIXEM EU FUI USAR UM HACK E COMEÇOU A BAIXAR 235 JOGOS NO MEU CELULAR DEMOROU 1 MÊS PARA TIRAR OS VIROS NÃO BAIXEM!!!!!,0,2021-12-31T09:13:15-07:00
agskskaka,3,th,vim pelo the sims,0,2021-12-19T08:45:44-07:00
acho que vai dar,5,Pokemon,Vem pra hackear o Pokemon go espero que dê,0,2021-12-17T11:44:34-07:00
ThecAvaloimundo,5,Hack,Hack,0,2021-11-29T13:10:01-07:00
Fernanda_coie,5,.,vim pra baixar addons pro mind 😼,0,2021-11-27T05:39:26-07:00
chanxez,5,Baixei só para liberar o only fãs da Lana Rhodes,😂🤤,0,2021-11-10T12:41:46-07:00
yuri yuri lima,1,QUERO REEMBOLSO!!,"Foi feita uma assinatura anual sem que eu saiba

Fui debitado, na mesma hora já cancelei a assinatura, não consigo solicitar reembolso!!!!",0,2021-11-06T07:01:43-07:00
kenny44444,5,Nice,It’s really great,0,2021-10-18T15:17:38-07:00
Capao city,5,Ótimo aplicativo,Aplicativo muito bom,0,2021-09-14T22:31:20-07:00
LelaCosenza,5,Great!,Great!,0,2021-09-06T05:43:59-07:00
RUMOAOHHI2019,5,Booom,Fodaaaa,0,2021-09-05T08:08:49-07:00
domjos3,5,Uhu,Roubo de casa,0,2021-09-04T07:09:13-07:00
jjdhrhrnrnsn,5,Legal…,Tchau,0,2021-09-02T08:45:20-07:00
snoopdrdr,5,Ótimo,Vale a pena,0,2021-08-30T19:59:13-07:00
Girl Balmant Gamer,4,Bom,Muito bom,0,2021-08-29T18:33:37-07:00
gabrieldown,5,Vpn,Bom,0,2021-08-27T22:55:23-07:00
biioss,5,Top,Eficiente,0,2021-08-27T20:38:52-07:00
Btpj2,5,VPN,Top show,0,2021-08-27T08:07:47-07:00
VNP ajudem,3,Gostei mas  por favor tirem o premium,Tirem o premium e muito ruim,0,2021-08-26T05:01:03-07:00
sousa.mila,5,.,. Works,0,2021-08-23T19:51:36-07:00
pamella16,5,Avaliação,App maravilhoso!,0,2021-08-23T16:17:21-07:00
Caeta-sz,5,Bom,Já sabe né ksks,0,2021-08-14T07:54:16-07:00
lindomamilo,5,Bom,Poderia ter mais acesso pra quem não tem premium.,0,2021-08-12T21:58:18-07:00
LucasVesal,5,gudi,live,0,2021-08-12T11:27:26-07:00
"Eduardo""20311",5,Muito bom,Adorei o aplicativo assim consigo acessar servidores de outros jogos pelo mundo,0,2021-08-11T05:50:02-07:00
ksksksjshha,5,Gostei,Ksksksks,0,2021-08-07T07:17:46-07:00
Yw Pedru,5,✊🏽,gostei dms,0,2021-08-06T06:21:41-07:00
jose augusto pereira,3,👍,👍,0,2021-08-05T21:11:32-07:00
cfjt um o já fd,5,chutoubh,não,0,2021-08-04T06:16:01-07:00
rabisgoba,1,G,Gg,0,2021-08-02T23:00:18-07:00
gabriel_japa,5,Muito bom,Esse App é o melhor,0,2021-07-31T02:46:49-07:00
anadasilveira__,5,bom,bom,0,2021-07-29T22:49:14-07:00
moreira farhat,5,Legal,Vim por hack :D,0,2021-07-28T05:07:42-07:00
Matheusrocha123,5,Opaaa,Opaaa,0,2021-07-26T06:57:52-07:00
jronermd,1,Teste,Nao abre,0,2021-07-26T04:46:13-07:00
girafaburra,5,Vim pelo hack,Upup,0,2021-07-24T06:48:04-07:00
Seufel,4,Kack,Hack,0,2021-07-23T07:33:53-07:00
Rafozzo,5,Bom e pratico,Bom vpn,0,2021-07-22T07:41:49-07:00
