reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f5330531-59b0-4086-85e8-da3266427526,Joao Luka,https://play-lh.googleusercontent.com/a-/ALV-UjWOHrZ93dsUav48KdardaL3O0VLwtMObXK-bn64lC1c3gH7jJCp,"eu acho que esse app é bom eu so acho por enquanto,mas como usa esse app?",3,0,1.0.57,2025-11-12 10:04:17,Thank you for the feedback very much ❤️,2025-11-13 08:16:20,1.0.57
cb9a0511-0fe4-4c8c-9170-3b4d4020ea11,Sargento Herbert Quest,https://play-lh.googleusercontent.com/a/ACg8ocJQ0DF5uSYBocaTe1uCcvKY3DfjrYsyogbG6mdC1B_fzPznPh2j=mo,"PERFEITO... Simples e objetivo... Muito apropriado para os dias de hoje, com total segurança. Att.: Sgt PM Herbert Quest",5,2,1.0.55,2025-08-28 13:00:04,hank you for the feedback very much!,2025-08-28 22:09:13,1.0.55
67a0127b-a956-4a17-8dc1-270d29ddaa2c,Kinavuidi Kim,https://play-lh.googleusercontent.com/a/ACg8ocLoXxCeCW8WJKx35j0e29zopXF64d2GWCFX2W4KbIjHiacKcw=mo,"Muito bom, que continuem a trabalhar e deixar ainda mais sofisticado.",4,0,,2025-04-30 05:29:24,Thank you for the feedback very much!,2025-05-21 22:27:52,
379178d7-5638-47ab-b7bc-218eb63fb312,Ricardo F. Santos,https://play-lh.googleusercontent.com/a-/ALV-UjV7SR_HubR_5ATf_tpbeRZHjxX176kKJTi8DZApTFCUlhIrGTRvmw,Ótimo app sensacional parabéns aos desenvolvedores.,5,2,1.0.52,2024-09-25 15:14:40,Thank you for the feedback very much!,2024-10-01 03:44:56,1.0.52
f1cdf6d9-b606-41db-89c7-beb932bdf600,Cornélio Lilaula,https://play-lh.googleusercontent.com/a-/ALV-UjXUIrVJu1_02A88pQd-p_MLBGh55GeMIgaaN0C749FOnEl8ErQ,O melhor entre os melhores,5,1,,2024-08-28 16:05:32,Thank you for the feedback very much.,2024-08-28 20:25:54,
306e8911-4438-42fe-a810-052bd7dc4005,black_sheep,https://play-lh.googleusercontent.com/a-/ALV-UjVBk1w7FDHIrIkY3K6HQKFGE1_HtVQKFx5_rDXsjUOtrIh90eM,Não funcionou foi em nada,1,0,,2024-08-09 14:15:18,Thank you for the feedback very much. Can you description error?,2024-08-11 12:34:31,
7b5ede10-d297-4351-93da-28accc661d83,Kaylan Domingos,https://play-lh.googleusercontent.com/a-/ALV-UjXPWWKZfHxhNTCbNqtaleSqBUQUXL_eMioGl9Gxmeuri0qdAV8,Funciona perfeitamente!,5,0,,2024-07-05 20:26:19,Thank you for the feedback!,2024-07-07 07:18:17,
6dd74384-345e-417a-a0f2-920b733b1d22,Matthews 4050,https://play-lh.googleusercontent.com/a/ACg8ocL1BzFTr0Le8nB4x6cPVa3kIUkvTmTg4Pcq-jluXkyaPUBW=mo,Incrível app ❤️,5,0,1.0.51,2024-05-28 13:01:53,Thank you for the feedback!,2024-05-29 22:07:02,1.0.51
303ff8b2-3fab-495d-b541-0052a50d5386,Paulo Truglio,https://play-lh.googleusercontent.com/a-/ALV-UjU584cpRSf5Zgkynihu68WUY49yx9NoEn1mDExAjdXJ_OKY3X0z,O app funciona bem e cumpre o que promete. Há poucas explicações sobre o funcionamento. Os vários métodos utilizados são funcionais. Gostei.,4,1,1.0.51,2024-03-24 14:40:39,Thank you for the feedback!,2024-03-24 22:03:21,1.0.51
4970ab2b-735b-460e-8fea-eb5f8300d080,godzilla anims,https://play-lh.googleusercontent.com/a-/ALV-UjUhCrc3aL6cQGaiKQDq3zOqSuoWahtqB6SLQnGg-oUOEyS8ifN4,COMO desencriptografar arquivos?,4,9,1.0.37,2023-10-07 21:40:22,"Thank you for the feedback, we will update in next version!",2023-10-16 22:22:25,1.0.37
db400d52-4274-41a8-91b5-b6b713137a09,GAIOLAS MARCHETADA,https://play-lh.googleusercontent.com/a-/ALV-UjUUjKC1em0dFmz8cteRcUHvFl4d1Dw9iiCdDcS54jXGLD-rpVwn,Não dá para PDF né.,1,0,1.0.36,2023-08-01 23:48:27,"Thank you for the feedback, we will update in next version!",2023-08-01 22:09:10,1.0.36
3c9d3a80-664b-44f9-9e1c-baa2effaaf05,Acacio Ap. Balejo,https://play-lh.googleusercontent.com/a-/ALV-UjXYKAlzQ7py7tWzYp0tcyAkP16NVLy2jpv28J2KI-nrRhWwp-Oi,Parabéns para o desenvolvedor,5,3,1.0.36,2023-07-26 16:48:51,Thank you for the feedback!,2023-07-26 22:11:14,1.0.36
b714eb00-4745-4a19-ad31-2692bf9808c9,Eduardo Assuncao,https://play-lh.googleusercontent.com/a-/ALV-UjVmOYVhkiBfk38z91-cAki9rE11ygJlnB8RxDOgjf1zjM5Kn_3a,Horrível não dá para entender nada,1,5,,2023-05-26 21:31:42,app for Encrypt Text and scan QR Code. Thank you for the feedback!,2023-05-26 22:01:53,
071b6a87-c0e3-4e68-9d8a-3ad6e29c8c37,Jair Labre,https://play-lh.googleusercontent.com/a-/ALV-UjVyRO8cWWcCFLBSP3ovltz_QENk13TVl7eeouvqFLdlV2Pl1WYt,Excelente,5,4,1.0.36,2023-04-26 19:46:16,Thank you for the feedback!,2023-04-27 05:18:31,1.0.36
a56ec501-9e6e-42c1-9bdf-f9a8aad715a3,blachy Y,https://play-lh.googleusercontent.com/a/ACg8ocKdBvANhUcmDizPlfaIJE-R7riMM9eFV303yIbQnGx_B7e5xQ=mo,Very good,5,2,1.0.33,2023-04-06 18:33:10,Thank you for the feedback!,2023-04-06 20:31:50,1.0.33
ca822c95-baf8-4891-9345-1eef22e30374,GUILDA G7 ESPORT-S,https://play-lh.googleusercontent.com/a/ACg8ocIZWT6xxignYj1IWqSOeqQgb_GyWwHR00_0JoQStdLQamfX8A=mo,Muito bom!!!,5,3,1.0.27,2023-01-02 02:53:01,Thank you for the feedback!,2023-01-05 00:50:47,1.0.27
5b440ed2-4cfb-4b99-9190-93b660d9c7c5,Gustavo Diniz,https://play-lh.googleusercontent.com/a-/ALV-UjVnT_rwoVB0a5yxiBsWuMXf8W7q6k-kw9h4uff8pawcMMfdEuBC,"Muito bom esse app, super recomendo!✌",5,13,1.0.27,2022-10-16 01:52:34,Thank you for the feedback!,2022-10-18 05:33:26,1.0.27
