author,rating,title,content,votes,date
.V.L.,1,Impossível de jogar.,"O jogo tem gráficos e itens excelentes. Mas é impossível de jogar. 
Chega um ponto que você só consegue jogar investindo dinheiro real no jogo (e vale salientar que não é barato!). Os itens são caríssimos e limitados, fazendo você entrar numa questão cíclica de gastar dinheiro para conseguir jogar. Não tem como você ganhar dinheiro no jogo, mesmo quando entrega o projeto o pagamento é mínimo, e você não consegue comprar absolutamente nada com as recompensas.
Infelizmente o jogo caiu nessa ladainha, mas seria um excelente jogo que essa questão não existisse.  Estava me causando angústia e desinstalei.",1,2025-11-04T15:53:46-07:00
amarantebia,1,Comprei um pacote de moedas e não recebi,"Comprei moedas e diamantes pelo vip design, pagamento aprovado, recibo no e-mail e não foi computado no jogo, o suporte não responde",0,2025-10-30T19:07:18-07:00
Drih_ih,1,Preciso de ajuda,"Efetuei duas compras na loja VIP e não consta em minha conta, todos os prêmios que ganhei ao efetuar a compra também não vieram e não consta como item comprado para relatar o problema ou solicitar reembolso. Tenho os comprovantes da compra e e-mail de confirmação. Tem algum e-mail que eu possa enviá-los para comprovar?",0,2025-10-27T12:12:52-07:00
britorrogerio,5,Otimo,Muito bom,0,2025-10-11T16:33:39-07:00
P_ChannG,1,Horrível,"Game horrível, tem mais tutorial que qualquer coisa.",0,2025-09-28T17:07:43-07:00
Manu Balino,1,estão roubando meu cartão,"adoro o jogo, mas comprei com meu cartão lá e desde então fico sendo roubada. eu troco de cartão e mesmo assim conseguem achar o cartão e me roubar.",0,2025-09-19T10:57:03-07:00
Ni Lugli,5,Meu jogo preferido,Excelente!,0,2025-09-16T20:10:15-07:00
gans b carter,3,Legal mas…,Pior coisa é receber uma nota injusta… vc demora pra fazer o projeto gasta grana e recebe nota baixa,0,2025-09-09T04:13:43-07:00
Miccar19,4,Sugestão,Podia colocar opção de classificar os objetos pelo valor!,0,2025-08-06T08:22:47-07:00
carolnevs,4,.,"só não é melhor por cada vez mais ficar caro as coisas e você simplesmente não consegue dinheiro tão fácil, o jogo praticamente obriga ter que a comprar com dinheiro real pra conseguir seguir jogando",0,2025-08-06T06:47:38-07:00
TayliseSilveir,3,Pouca recompensa,"As recompensas são baixas e o jogo te obriga a comprar diamante basicamente, antes pelo menos você completava os cômodos das casas e ganhava 500 diamantes mas agora nem isso",1,2025-07-29T15:10:18-07:00
Isarowfler,1,SÓ JOGA COM DINHEIRO,"é, sem dúvidas, um dos jogos mais viciantes e visualmente bonitos que já joguei.
MAS (e aqui vai o grande “mas”)… chega um ponto em que o jogo deixa de ser sobre criatividade e começa a ser sobre gastar dinheiro real. A forma como ele limita os diamantes e o dinheiro virtual é totalmente injusta. Você é forçado a comprar itens caríssimos e repetidamente, mas quase não tem oportunidade de ganhar o suficiente jogando. Ou seja, se você não gastar dinheiro real, simplesmente não consegue progredir.
Isso transforma uma experiência maravilhosa em algo frustrante e desmotivador. Um jogo que deveria incentivar a criatividade acaba sendo uma máquina de lucro disfarçada.
Patético ver um jogo com tanto potencial se prender a uma estratégia de monetização tão agressiva. Desinstalei hoje.",0,2025-07-13T18:44:31-07:00
Pigarta,5,Adoro,Muito interessante para quem gosta de decoração,0,2025-07-13T13:53:02-07:00
Eneida36,5,Upgrades excelentes,"O jogo é muito bonito e tem tido upgrades excelentes, que fazem a diferença.",0,2025-07-05T10:18:16-07:00
Huangnath,1,Péssimo,"Aplicativo desde o dia que eu baixei eu não consegui realizar nenhum projeto, fica o tempo inteiro no automático me obrigando a seguir um robô que fica mostrando umas coisas aleatoriamente do app, mas não deixa exercer a função. Um saco! Não percam tempo pq ele não funciona",0,2025-07-01T18:59:20-07:00
vespaferoz,5,muito bom,"eu adorei esse jogo de decorar casa ,tem muitos móveis legais e bonitos.resumindo amei tudo!",0,2025-06-26T14:43:20-07:00
Elliiineee,4,Amei,Ótimo,0,2025-06-24T14:30:45-07:00
Mokiny,3,Precusa mudar o sistema de recompensas,"esse jogo foi um dos pioneiros em de decoração para celular, mas envelheceu e ficou antiquado. Prova disso é que se você fizer a pontuação acima de 4 você ganha um prêmio. Mas o prêmio é o mesmo se você fizer 4,01 ou 4,99. Acaba desmotivando o jogador.",0,2025-06-19T11:27:20-07:00
CanosGio,1,IMPOSSÍVEL,"O jogo está impossível de ser jogado. Tudo MUTO caro, todo dia coleção nova, impossível de combinar tudo. Infelizmente o jogo quer te forçar a comprar os itens, o que torna muito chato de jogar.",0,2025-06-07T06:59:13-07:00
Thata Pedrosa,4,Muito bom,"O jogo é ótimo, mas tem um ponto negativo. Vc precisa gastar dinheiro pra conseguir ter as coisas e cumprir os desafios. E quando vc compra algo, vc só tem 5 daquele objeto, então precisa ficar comprando sempre. Se for uma mesa de jantar com 6 cadeiras, por exemplo, vc precisa comprar as cadeiras duas vezes. Eu acho que comprou, é ilimitado. Até porque pra obrigar a comprar as coisas já existe os pré requisitos para entrar em um desafio, então a pessoa já vai ter que gastar",0,2025-06-03T08:46:44-07:00
Absurdo!!!!!!!!!,1,Caro,"Qualquer coisinha é um valor absurdo, e não tem como você fazer um Design se não houver diamantes ou dinheiro, consequentemente te forçam a gastar dinheiro real pra conseguir comprar uma simples coisa, acho que isso desvaloriza muito o jogo, e me fez migrar pro Redecor",0,2025-05-21T06:28:42-07:00
adri!1,1,Erro de internet,"minha mãe joga esse no tablet. Porém de faz 1 mes que diz que ela não tem internet, o jogo não carrega, hoje baixei no meu celular e aconteceu o mesmo problema, já usamos outras internet já falei com meu distribuidor de internet e minha internet está normal, entra em qualquer outro aplicativo menos nesse jogo que diz não ter internet",0,2025-05-17T08:21:11-07:00
Moraes1953,1,Bug,"Ao clicar no item, não entra e a tela trema sem parar.
Outra pessoa que possui o Air2, está enfrentando o mesmo problema.
O IPad está atualizado, mas não é possível jogar.",0,2025-05-15T13:53:04-07:00
Ltuyama,1,Don’t install,"The game itself is not any different from any other decoration game, they require purchase on app in order to be funcional and all ratings are based on users opinion so you will find out so many weird compositions (not to say ugly af and tacky) getting 5 star review just because it’s bright and super colorful but not matching any other concept of the building. They use real designer furnitures on game but I don’t think it’s worth downloading just for this reason so don’t waste your time…",1,2025-05-09T08:03:41-07:00
Carolcfscarol,1,Video promocional,"Tem um vídeo promocional que assistimos para ganhar diamantes que ele não libera os mesmos. Já perdi com isso mais de 45 diamantes. Inclusive, Preciso fechar o jogo e reabrí-lo para continuar jogando.",0,2025-05-09T03:37:52-07:00
Dubusu,3,Travou,"É muito bom, mas o meu travou, já tentei reiniciar mas não adiantou.",0,2025-05-05T16:20:07-07:00
_Dai08,2,Decepcionante,"O estilo é maravilhoso e bem leve de jogar, mas o que você recebe pra gastar e os valores dos móveis são incompatíveis, o que te trava por dias até conseguir o valor pra jogar de novo. Por isso já desinstalei várias vezes.",0,2025-05-05T07:26:26-07:00
Luolialves,1,Developers are destroying the game,"The game used to be fun, but now it’s getting worse and worse, bad new features, elite challenges are not worthy anymore, voting system got worse and they keep the decisions even though users are complaining, I’m going to spend time with things that are worthy!",0,2025-05-03T18:37:56-07:00
monique cardoso,1,Muito caro,"A última atualização deixou a votação muito bagunçada. Além disso, tudo é muito caro, as recompensas deveria ser maiores, pois demora muito passar de nível por causa disso.",0,2025-04-11T04:48:58-07:00
CamiBarp,1,TUDO TEM QUE GASTAR DINHEIRO!,Extremamente limitado para jogar! Tem que ficar comprando os móveis e vc nunca ganha dinheiro o suficiente com o próprio jogo! Ter que pagar pra jogar joguinho de decoração é o cúmulo!,0,2025-03-18T04:07:30-07:00
Carol_MT,2,Os anúncios da apple não pagam diamantes,Assisto os anúncios da Apple mas nunca bonifica diamantes. O o jogo trava! Horrível,0,2025-03-17T10:21:57-07:00
Marcel Omar miguel,5,Ameiiii,É legal divertido,0,2025-03-04T10:10:03-07:00
bbcloeabhj,1,Travando,"Acabei de instalar e comprar diamantes, na tela seguinte o jogo travou e não destrava. Já instalei e desinstalei e nada funciona.",0,2025-02-23T06:58:29-07:00
