"engine","rank","title","link"
"google","1","Realengo (Rio de Janeiro) – Wikipédia, a enciclopédia livre","https://pt.wikipedia.org/wiki/Realengo_(Rio_de_Janeiro)"
"google","2","Realengo","https://arrozrealengo.com.br/"
"google","3","Massacre de Realengo – Wikipédia, a enciclopédia livre","https://pt.wikipedia.org/wiki/Massacre_de_Realengo"
"google","4","Novo Palácio Realengo, sede da Prefeitura no Parque Susana ...","https://prefeitura.rio/noticias/novo-palacio-realengo-sede-da-prefeitura-no-parque-susana-naspolini-e-inaugurado-na-zona-oeste/"
"google","5","25º GBM – Realengo – CBMERJ","https://www.cbmerj.rj.gov.br/sobre-o-cbmerj/unidade/unidades-operacionais/25o-gbm-realengo/"
"google","6","Realengo – RJ – Celso Lisboa","https://celsolisboa.edu.br/polo---curso/realengo-rj/"
"google","7","Campus Realengo | IFRJ","https://portal.ifrj.edu.br/realengo"
"google","8","Realengo - Apaixonados Por Quatro Patas","https://apaixonadosporquatropatas.com.br/unidades/realengo-3/"
"google","9","Polo de Rio de Janeiro - Realengo | EAD UniCesumar","https://www.unicesumar.edu.br/ead/polo/rio-de-janeiro-realengo-rj/"
"google","10","G1 - Atirador entra em escola em Realengo, mata alunos e se suicida","https://g1.globo.com/Tragedia-em-Realengo/noticia/2011/04/atirador-entra-em-escola-em-realengo-mata-alunos-e-se-suicida.html"
"google","11","Parques Realengo e Oeste terão bailes de Carnaval pela primeira vez","https://coordenacaogovernamental.prefeitura.rio/coordenacao-governamental/parques-realengo-e-oeste-terao-bailes-de-carnaval-pela-primeira-vez/"
"google","12","Rio de Janeiro/Rj - Realengo - Unidade de Rio de Janeiro","https://portal.uniasselvi.com.br/institucional/locais/rio-de-janeiro-rj-realengo"
"google","13","Massacre de Realengo: os 10 anos do ataque a escola que deixou ...","https://www.bbc.com/portuguese/brasil-56657419"
"google","14","Realengo | Sérgio Franco","https://sergiofranco.com.br/en/unidades/realengo"
"google","15","Prefeitura do Rio apresenta projeto contra enchentes em Realengo ...","https://fundacaorioaguas.prefeitura.rio/noticias/prefeitura-do-rio-apresenta-projeto-contra-enchentes-em-realengo-que-tera-reservatorio-semelhante-ao-da-praca-da-bandeira/"
"google","16","Blog do Campus Realengo II já pode ser acessado - Colégio Pedro II","https://www.cp2.g12.br/ultimas_publicacoes/223-noticiaas2017/6025-o-blog-do-campus-realengo-ii-pode-ser-acessado-a-partir-do-dia-14-3.html"
"google","17","Festa junina no Parque Realengo Susana Naspolini tem quadrilhas ...","https://coordenacaogovernamental.prefeitura.rio/coordenacao-governamental/festa-junina-no-parque-realengo-tem-quadrilhas-forro-baile-charme-e-djs/"
"google","18","Direção – Colégio Realengo","https://colegiorealengo.br/direcao/"
"google","19","Inauguração da Nave do Conhecimento de Realengo: Espaço ...","https://www.navedoconhecimento.rio/inauguracao-da-nave-do-conhecimento-de-realengo-espaco-inovador-com-tecnologia-educacao-e-entretenimento/"
"google","20","realengo/batan - JUSTIÇA ITINERANTE","https://www.tjrj.jus.br/documents/d/guest/realengo-batan_2025_18"
