"engine","rank","title","link"
"brave","1","Rio de Janeiro - Wikipedia","https://en.wikipedia.org/wiki/Rio_de_Janeiro"
"brave","2","Rio de Janeiro City Hall","https://en.prefeitura.rio/"
"brave","3","Governo do Estado do Rio de Janeiro","https://www.rj.gov.br/"
"brave","4","Prefeitura do Rio de Janeiro (@prefeitura_rio) • Instagram photos and videos","https://www.instagram.com/prefeitura_rio/"
"brave","5","g1 Rio de Janeiro: notícias e vídeos da Globo","https://g1.globo.com/rj/rio-de-janeiro/"
"brave","6","Rio de Janeiro | Cidade | G1","https://g1.globo.com/rj/rio-de-janeiro/cidade/rio-de-janeiro/"
"brave","7","Rio de Janeiro | Panorama","https://cidades.ibge.gov.br/brasil/rj/rio-de-janeiro/panorama"
"brave","8","Rio de Janeiro (estado) – Wikipédia, a enciclopédia livre","https://pt.wikipedia.org/wiki/Rio_de_Janeiro_(estado)"
"brave","9","Câmara Municipal do Rio de Janeiro - Home","https://www.camara.rio/"
"brave","10","Descubra a magia do Rio - Visit Rio | Convention Bureau","https://visitrio.com.br/"
"brave","11","Governo do RJ confirma 121 mortos em megaoperação | G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/29/corpos-sao-levados-por-moradores.ghtml"
"brave","12","Imprensa Oficial - Prefeitura do Rio de Janeiro","https://doweb.rio.rj.gov.br/"
"brave","13","Rio de Janeiro | História & Fotos","https://cidades.ibge.gov.br/brasil/rj/rio-de-janeiro/historico"
"brave","14","Rio de Janeiro (RJ): notícias sobre o estado | Folha","https://www1.folha.uol.com.br/cotidiano/riodejaneiro/"
"brave","15","Operação Contenção no Salgueiro: Polícia do RJ é recebida a tiros | G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/12/11/forcas-de-seguranca-cumprem-mandados-no-rj.ghtml"
"brave","16","Operação Barricada Zero na Cidade Alta fecha Avenida Brasil | G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/11/27/tiros-na-cidade-alta.ghtml"
"brave","17","O que está acontecendo no Rio de Janeiro: veja perguntas e respostas","https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/28/o-que-esta-acontecendo-no-rio-de-janeiro-veja-perguntas-e-respostas-sobre-a-situacao-da-cidade-em-dia-de-megaoperacao.ghtml"
"brave","18","Megaoperação no RJ: veja a lista de corpos identificados | G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/31/lista-mortos-identificados-megaoperacao-rj-penha-alemao.ghtml"
"brave","19","Disparos deixam três mortos na Cefet do Maracanã, no Rio | CNN Brasil","https://www.cnnbrasil.com.br/nacional/sudeste/rj/disparos-deixam-tres-mortos-na-cefet-do-maracana-no-rio/"
