"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"sbb na fhk BC cs","https://itunes.apple.com/br/reviews/id1126903453","1","Pessimo!","Fica dias sem aparecer onibus e sem funciona","0","2024-01-29T10:42:35-07:00","10878313501","3.0.7","0","4","Piores avaliadas"
"Auler_1606","https://itunes.apple.com/br/reviews/id1108306446","1","Moovit","Dps que a moovit entrou a vá de ônibus parou, lembro que as empresas de ônibus propagaram bastante a moovit na minha cidade, devem ter exclusividade","0","2022-10-08T05:14:31-07:00","9163515315","3.0.5","0","4","Piores avaliadas"
"rafabl_7","https://itunes.apple.com/br/reviews/id745583977","1","Péssimo, não mostra os ônibus","O objetivo do app era mostrar a localização dos ônibus, mas não mostra, então não tem função alguma.","0","2022-11-08T03:43:26-07:00","9267734175","3.0.5","0","4","Piores avaliadas"
"LeticiaK","https://itunes.apple.com/br/reviews/id253914204","1","Não serve pra nada","Nunca vi um aplicativo ser tão ruim. Não é intuitivo, nem fácil de usar. Além disso, nenhuma das informações nunca estão certas. Ele diz que vai chegar o ônibus em 2 minutos e a pessoa fica 20 minutos esperando pelo tal ônibus. Resumindo: é um engana bobo, não serve pra mais nada além de enganar.","0","2023-02-19T10:14:57-07:00","9634557911","3.0.7","0","4","Piores avaliadas"
"jcjesusmendes","https://itunes.apple.com/br/reviews/id1192490159","1","Novas rotas","Atualização do GPS dos ônibus é lenta.
Tem linhas que há meses fazem novas rotas e o APP continua na antiga.","0","2023-07-15T09:52:54-07:00","10143794782","3.0.7","0","4","Piores avaliadas"
"Amanda Giardini","https://itunes.apple.com/br/reviews/id1590913279","1","Não funciona","Tem mais de um mês que não está mais mostrando a localização dos ônibus em Petrópolis. Tem previsão de voltar a funcionar?","0","2023-11-14T03:48:01-07:00","10584407859","3.0.7","0","4","Piores avaliadas"
"RogerDutra","https://itunes.apple.com/br/reviews/id285189491","1","Totalmente desatualizado !","Ainda tem o trajeto antigo do 513 ! Muito antigo ! Faz pelo meia 5 anos que mudou ! Não tem as linhas 518 e 519 que tem mais de dois anos !","0","2023-12-04T08:32:11-07:00","10657007693","3.0.7","0","4","Piores avaliadas"
"felipebarcelos","https://itunes.apple.com/br/reviews/id362883679","1","Não compatível com telas grandes","Troquei de um iPhone 6S para um 11 e o aplicativo não é compatível com a tela maior e os recortes na parte de cima, ter que abrir e fechar o app para selecionar uma linha nova é ridículo.","0","2022-07-21T19:47:11-07:00","8898706607","3.0.5","0","4","Piores avaliadas"
"danismfp","https://itunes.apple.com/br/reviews/id662286500","1","Péssimo","Não funciona","0","2022-03-18T10:29:35-07:00","8469501622","3.0.5","0","4","Piores avaliadas"
"Tutioff","https://itunes.apple.com/br/reviews/id1482699748","1","Não dá para confiar","Não está funcionando há dias. Sempre com problemas.","0","2024-07-30T03:59:49-07:00","11551511414","3.0.7","0","4","Piores avaliadas"
"luli.ane2023","https://itunes.apple.com/br/reviews/id958569566","2","Melhorias","Tem dias que não mostra a localização dos ônibus. Fica dias sem funcionar. 👎","0","2023-08-02T12:51:21-07:00","10212425327","3.0.7","0","4","Piores avaliadas"
"patriciafgr","https://itunes.apple.com/br/reviews/id1440540188","2","Não mostra em tempo real","Além dele mostrar só os ônibus que estão muito próximos, ele demora muito pra atualizar a localização, o que faz com que a gente não saiba onde realmente o ônibus está. As vezes vc vê no app que o ônibus tá chegando quando na vdd ele já passou do ponto","0","2022-09-22T10:03:28-07:00","9110810368","3.0.5","0","4","Piores avaliadas"
"Sir Dotô","https://itunes.apple.com/br/reviews/id378861493","5","Melhorou bastante","Essa nova versão melhorou muito em relação à última. A tela nova está muito boa de usar e está com muitas linhas cadastradas.","0","2024-12-30T10:05:24-07:00","12124425845","4.0.1","0","4","Piores avaliadas"
"DinhaWeiss","https://itunes.apple.com/br/reviews/id210917020","5","Melhor app","Tem melhorado muito! 😍","0","2025-08-14T06:10:40-07:00","13014883454","4.0.10","0","4","Piores avaliadas"
"Myllena Vit.","https://itunes.apple.com/br/reviews/id1830510451","5","Que app incrível","Uso a linha 232 e o no Vá de Ônibus ela sempre aparece certinha, muito bom porque sei exatamente quantos minutos vou aguardar! Recomendo muito, pra quem usa ônibus é uma mão na roda!!!","0","2025-09-10T08:17:43-07:00","13121354858","4.0.11-beta","0","4","Piores avaliadas"
"Vá de Ônibus","https://itunes.apple.com/br/reviews/id175018302","5","Arrasou","Excelente","0","2025-09-10T09:44:37-07:00","13121640841","4.0.11-beta","0","4","Piores avaliadas"
"Guima_51","https://itunes.apple.com/br/reviews/id946262818","5","Melhora incrível!!","Os meus parabéns aos desenvolvedores e mantenedores. Melhor APP hoje, sem dúvida.🙏","0","2025-09-16T07:11:05-07:00","13144558827","4.1.12-beta","0","4","Piores avaliadas"
"GuidoPadel","https://itunes.apple.com/br/reviews/id691620914","5","Tempo de chegada","O ônibus chegou na hora que estava planejada","0","2025-09-16T07:24:23-07:00","13144607296","4.1.12-beta","0","4","Piores avaliadas"
"Andherson Peter","https://itunes.apple.com/br/reviews/id233726633","5","O melhor app no Rio de Janeiro","A nova versão está maravilhosa","0","2025-11-02T16:14:57-07:00","13348981291","4.1.12-beta","0","4","Piores avaliadas"
"PeterOjeda","https://itunes.apple.com/br/reviews/id1755391038","5","Quase todas as linhas com gps!","Adorei!","0","2025-11-04T11:06:48-07:00","13356578534","4.1.12-beta","0","4","Piores avaliadas"
